f5a70, device, south_route
5.24299098e+1, 1.35309728e+1, 3900, 2
5.24299058e+1, 1.35309806e+1, 8936, 2
5.24299078e+1, 1.35309855e+1, 13944, 2
5.24299171e+1, 1.35309803e+1, 18910, 2
5.24299006e+1, 1.35309864e+1, 23324, 2
5.24299055e+1, 1.35310069e+1, 28052, 2
5.24298877e+1, 1.35310469e+1, 33288, 2
5.24298403e+1, 1.35311081e+1, 38457, 2
5.24296453e+1, 1.35313425e+1, 43190, 3
5.24294706e+1, 1.35315849e+1, 48402, 3
5.24293348e+1, 1.35318629e+1, 53426, 3
5.24291666e+1, 1.35320282e+1, 58310, 3
5.24289717e+1, 1.35323334e+1, 63640, 4
5.24288443e+1, 1.35325803e+1, 68396, 4
5.24286937e+1, 1.3532832e+1, 73464, 4
5.24285245e+1, 1.35330706e+1, 78258, 4
5.24284501e+1, 1.35332262e+1, 83636, 4
5.24281728e+1, 1.35336511e+1, 88417, 4
5.24279515e+1, 1.35340088e+1, 93873, 4
5.24277493e+1, 1.3534262e+1, 98925, 5
5.24275487e+1, 1.35345367e+1, 103931, 5
5.24273693e+1, 1.35348012e+1, 108920, 5
5.24271851e+1, 1.35350666e+1, 113924, 5
5.24271877e+1, 1.35352549e+1, 118948, 5
5.24273504e+1, 1.35355072e+1, 123912, 5
5.24275053e+1, 1.35358076e+1, 128928, 5
5.24276896e+1, 1.35361199e+1, 133938, 5
5.24278704e+1, 1.35364149e+1, 138926, 5
5.24280578e+1, 1.3536742e+1, 143936, 5
5.24282431e+1, 1.35370276e+1, 148922, 5
5.24284115e+1, 1.35373427e+1, 153897, 5
5.24285752e+1, 1.35376684e+1, 158934, 5
5.2428733e+1, 1.35379759e+1, 163933, 5
5.24288625e+1, 1.35381828e+1, 168925, 5
5.2428892e+1, 1.35381592e+1, 173359, 5
5.24292448e+1, 1.35387331e+1, 178906, 5
5.24294312e+1, 1.35390263e+1, 183922, 5
5.24295946e+1, 1.35393167e+1, 188928, 5
5.24297665e+1, 1.35396118e+1, 193923, 5
5.24299487e+1, 1.35399164e+1, 198919, 5
5.24301393e+1, 1.35401937e+1, 203928, 5
5.24303088e+1, 1.35403943e+1, 208933, 5
5.24303992e+1, 1.35405489e+1, 213899, 5
5.24303911e+1, 1.35406319e+1, 218940, 5
5.24303849e+1, 1.35406243e+1, 223956, 5
5.24303816e+1, 1.35406002e+1, 228942, 4
5.24303818e+1, 1.3540607e+1, 233930, 1
5.24303818e+1, 1.35406054e+1, 238931, 1
5.24303722e+1, 1.35405962e+1, 243928, 1
5.24303713e+1, 1.35405954e+1, 248929, 1
5.24303766e+1, 1.35406159e+1, 253915, 1
5.24303771e+1, 1.35406177e+1, 258945, 1
5.24303833e+1, 1.35406397e+1, 263923, 1
5.24303855e+1, 1.35406558e+1, 268919, 1
5.24303967e+1, 1.35407115e+1, 273922, 1
5.2430486e+1, 1.35406681e+1, 278922, 1
5.2430635e+1, 1.35404256e+1, 283918, 3
5.24308038e+1, 1.35401392e+1, 288941, 3
5.24310044e+1, 1.35398327e+1, 293939, 3
5.2431187e+1, 1.35395314e+1, 298923, 3
5.24313687e+1, 1.3539217e+1, 303925, 3
5.24315185e+1, 1.35389587e+1, 308934, 3
5.24316382e+1, 1.35387701e+1, 313954, 3
5.24317962e+1, 1.35384815e+1, 318943, 3
5.24319566e+1, 1.35381893e+1, 323939, 3
5.24321325e+1, 1.35378977e+1, 328942, 4
5.24323062e+1, 1.35376242e+1, 333925, 4
5.24325045e+1, 1.35373368e+1, 338950, 4
5.24326545e+1, 1.35370327e+1, 343925, 4
5.24328213e+1, 1.35367824e+1, 348931, 4
5.24328956e+1, 1.35366767e+1, 353923, 4
5.24329072e+1, 1.35366721e+1, 358935, 4
5.24329239e+1, 1.35366489e+1, 363944, 4
5.2432948e+1, 1.35365991e+1, 368934, 4
5.24329625e+1, 1.35365893e+1, 373924, 4
5.24329564e+1, 1.35365708e+1, 378932, 4
5.24329671e+1, 1.35365619e+1, 383926, 4
5.24329669e+1, 1.35365622e+1, 388916, 4
5.24329669e+1, 1.35365622e+1, 393933, 4
5.24329669e+1, 1.35365622e+1, 398912, 4
5.24329669e+1, 1.35365622e+1, 403921, 4
5.24329619e+1, 1.35365668e+1, 408924, 4
5.24329978e+1, 1.35364985e+1, 413923, 4
5.24330135e+1, 1.35364551e+1, 418925, 4
5.24330138e+1, 1.35364555e+1, 423935, 3
5.24330138e+1, 1.35364556e+1, 428942, 3
5.24330138e+1, 1.35364556e+1, 433918, 3
5.24330237e+1, 1.35364564e+1, 438934, 3
5.24330558e+1, 1.35363999e+1, 443934, 3
5.243307e+1, 1.3536149e+1, 448921, 3
5.24329062e+1, 1.3535873e+1, 453936, 3
5.24327245e+1, 1.35356038e+1, 458933, 3
5.24325708e+1, 1.35353412e+1, 463931, 3
5.24324593e+1, 1.35351666e+1, 468938, 3
5.24325507e+1, 1.3534922e+1, 473935, 3
5.24327444e+1, 1.3534739e+1, 478926, 3
5.24329285e+1, 1.35344126e+1, 483924, 3
5.24330852e+1, 1.3534146e+1, 488946, 3
5.24332386e+1, 1.35338461e+1, 493933, 3
5.24333933e+1, 1.35335982e+1, 498948, 3
5.24335848e+1, 1.35333239e+1, 503956, 3
5.24337707e+1, 1.35330916e+1, 508940, 3
5.24337664e+1, 1.35329602e+1, 513701, 3
5.24337205e+1, 1.35328242e+1, 518241, 3
5.24334326e+1, 1.35324783e+1, 523922, 3
5.24333001e+1, 1.3532204e+1, 528637, 3
5.24331188e+1, 1.35321077e+1, 533418, 3
5.24330809e+1, 1.3532058e+1, 538930, 3
5.24331541e+1, 1.35319052e+1, 543932, 3
5.24330413e+1, 1.35316791e+1, 548701, 3
5.24330894e+1, 1.35315746e+1, 553956, 3
5.24332158e+1, 1.35313895e+1, 558941, 3
5.24333421e+1, 1.35311981e+1, 563917, 3
5.2433411e+1, 1.35311017e+1, 568949, 3
5.24333659e+1, 1.35311798e+1, 573949, 3
5.24332382e+1, 1.35311149e+1, 578953, 3
5.24330923e+1, 1.35308508e+1, 583940, 3
5.24329464e+1, 1.35306168e+1, 588956, 3
5.24327945e+1, 1.35303297e+1, 593951, 3
5.24326752e+1, 1.35300724e+1, 598948, 3
5.24325886e+1, 1.35299581e+1, 603937, 3
5.2432516e+1, 1.35299957e+1, 608932, 3
5.24323565e+1, 1.35302289e+1, 613963, 3
5.24321857e+1, 1.35304856e+1, 618955, 3
5.24320404e+1, 1.3530413e+1, 623937, 3
5.24318825e+1, 1.35301458e+1, 628930, 2
5.24317527e+1, 1.35299488e+1, 633948, 2
5.24316162e+1, 1.35297228e+1, 638933, 2
5.24314758e+1, 1.35295013e+1, 643948, 2
5.24313459e+1, 1.35296355e+1, 648925, 2
5.24312056e+1, 1.35299043e+1, 653951, 2
5.24310788e+1, 1.35301359e+1, 658949, 2
5.24309236e+1, 1.35304248e+1, 663923, 3
5.24307185e+1, 1.35307222e+1, 668930, 3
5.24305601e+1, 1.35309333e+1, 673939, 3
5.24305482e+1, 1.3530818e+1, 678961, 3
5.24305568e+1, 1.35308006e+1, 683937, 3
5.24305573e+1, 1.35307997e+1, 688923, 3
5.24305573e+1, 1.35307996e+1, 693933, 3
5.24305573e+1, 1.35307996e+1, 698937, 3
