1e86f, mapping, north_route
5.2430588e+1, 1.35307981e+1, 4554, 5
5.2430588e+1, 1.35307981e+1, 9560, 5
5.2430588e+1, 1.35307981e+1, 14569, 5
5.2430588e+1, 1.35307981e+1, 19555, 5
5.24305882e+1, 1.35307874e+1, 24559, 5
5.24306291e+1, 1.35308133e+1, 29563, 5
5.24307295e+1, 1.35307345e+1, 34571, 5
5.24307591e+1, 1.35307281e+1, 39570, 5
5.24307322e+1, 1.35307479e+1, 44452, 5
5.24311844e+1, 1.35301258e+1, 49579, 5
5.24312448e+1, 1.35300029e+1, 54575, 5
5.24312538e+1, 1.35298159e+1, 59409, 5
5.24312742e+1, 1.35297543e+1, 64318, 5
5.2431367e+1, 1.3529593e+1, 69589, 5
5.24314729e+1, 1.35294866e+1, 74281, 5
5.24316367e+1, 1.35292876e+1, 79288, 5
5.2431783e+1, 1.35291224e+1, 83941, 5
5.24319385e+1, 1.35289215e+1, 88914, 5
5.24320485e+1, 1.35287058e+1, 94083, 5
5.2432235e+1, 1.35285084e+1, 98702, 5
5.24323019e+1, 1.35283959e+1, 103433, 5
5.24325613e+1, 1.3528132e+1, 108482, 5
5.24325961e+1, 1.35280687e+1, 113412, 5
5.24326957e+1, 1.35280084e+1, 117919, 5
5.24328449e+1, 1.35278386e+1, 122621, 5
5.2432984e+1, 1.35277138e+1, 127699, 5
5.24331476e+1, 1.35273564e+1, 132823, 5
5.24333357e+1, 1.35271645e+1, 137663, 5
5.24334755e+1, 1.35268812e+1, 142717, 5
5.24335761e+1, 1.35267024e+1, 147314, 5
5.24337409e+1, 1.35264368e+1, 151997, 5
5.24338425e+1, 1.35262034e+1, 156796, 5
5.24340222e+1, 1.35259095e+1, 161877, 5
5.24341429e+1, 1.3525646e+1, 166743, 1
5.24342931e+1, 1.35254324e+1, 172462, 1
5.24345165e+1, 1.35253659e+1, 177273, 1
5.24344128e+1, 1.35253608e+1, 182356, 1
5.2434461e+1, 1.35252065e+1, 187378, 1
5.24344266e+1, 1.35251578e+1, 192299, 1
5.2434582e+1, 1.35250479e+1, 197409, 5
5.24346967e+1, 1.35248296e+1, 201926, 5
5.24348792e+1, 1.352457e+1, 206999, 5
5.24350222e+1, 1.3524297e+1, 211957, 5
5.24351561e+1, 1.35241613e+1, 216861, 5
5.24353092e+1, 1.35238849e+1, 221918, 5
5.24354675e+1, 1.35237134e+1, 226768, 5
5.24356297e+1, 1.35235006e+1, 231515, 5
5.24357179e+1, 1.35233677e+1, 236535, 5
5.24357055e+1, 1.35233104e+1, 244605, 5
5.24356744e+1, 1.35233328e+1, 249588, 5
5.24356841e+1, 1.35233192e+1, 254582, 5
5.2435722e+1, 1.3523258e+1, 259323, 5
5.24359283e+1, 1.35227768e+1, 264458, 5
5.24360229e+1, 1.3522661e+1, 269581, 5
5.2436144e+1, 1.35224996e+1, 274584, 1
5.24364168e+1, 1.35224608e+1, 279591, 5
5.24365899e+1, 1.3522438e+1, 284207, 5
5.24366674e+1, 1.35224639e+1, 289096, 5
