6ad0a, audio, east_route
5.24299742e+1, 1.35311159e+1, 4617, 5
5.24299742e+1, 1.35311159e+1, 9609, 5
5.24299742e+1, 1.35311159e+1, 14606, 5
5.24299742e+1, 1.35311159e+1, 19613, 5
5.24299657e+1, 1.35310944e+1, 24571, 5
5.24299658e+1, 1.35310903e+1, 29597, 5
5.24299672e+1, 1.35310914e+1, 34613, 5
5.24299673e+1, 1.35310915e+1, 39607, 5
5.24299673e+1, 1.35310915e+1, 44613, 5
5.24299673e+1, 1.35310915e+1, 49609, 5
5.24299673e+1, 1.35310915e+1, 54609, 5
5.24299673e+1, 1.35310915e+1, 59608, 5
5.24299669e+1, 1.35310829e+1, 64600, 5
5.24299751e+1, 1.35310647e+1, 69609, 5
5.24300395e+1, 1.35311121e+1, 74612, 5
5.24301602e+1, 1.35313713e+1, 79620, 5
5.24302713e+1, 1.35316101e+1, 84627, 5
5.24303866e+1, 1.35318583e+1, 89628, 5
5.24304967e+1, 1.35321663e+1, 94640, 5
5.24306038e+1, 1.35324757e+1, 99607, 5
5.24307158e+1, 1.35327773e+1, 104630, 5
5.24308028e+1, 1.35330361e+1, 109253, 5
5.24309257e+1, 1.35333655e+1, 114088, 5
5.24311221e+1, 1.35337059e+1, 119614, 5
5.24313016e+1, 1.35339898e+1, 124637, 5
5.24314875e+1, 1.35342586e+1, 129614, 5
5.24316559e+1, 1.35345253e+1, 134577, 5
5.24318273e+1, 1.35348068e+1, 139631, 5
5.24319642e+1, 1.35350483e+1, 144618, 5
5.2432044e+1, 1.35352489e+1, 149111, 5
5.24320874e+1, 1.35352757e+1, 154631, 5
5.24320855e+1, 1.35352542e+1, 159628, 5
5.24320818e+1, 1.35352526e+1, 164619, 5
5.24320793e+1, 1.35352462e+1, 169135, 5
5.24323585e+1, 1.35356264e+1, 174093, 5
5.2432517e+1, 1.35359193e+1, 179134, 5
5.24327171e+1, 1.35362213e+1, 184627, 5
5.24327787e+1, 1.35363383e+1, 189618, 5
5.24327989e+1, 1.35363459e+1, 194613, 5
5.24328093e+1, 1.35363299e+1, 199621, 5
5.24328705e+1, 1.35361853e+1, 204609, 5
5.24329484e+1, 1.35360707e+1, 209617, 5
5.24330152e+1, 1.35360434e+1, 214616, 5
5.24330532e+1, 1.35360628e+1, 219604, 5
5.24331602e+1, 1.35362227e+1, 224620, 5
5.24331732e+1, 1.35363143e+1, 229598, 5
5.24333995e+1, 1.35364616e+1, 234601, 5
5.24335216e+1, 1.35363632e+1, 239635, 1
5.24336518e+1, 1.35360966e+1, 244184, 1
5.24338508e+1, 1.35360169e+1, 249023, 1
5.24339962e+1, 1.35357338e+1, 254036, 1
5.24340066e+1, 1.35356235e+1, 259374, 1
5.24340612e+1, 1.353544e+1, 264419, 1
5.24341979e+1, 1.35353078e+1, 269168, 1
5.24342776e+1, 1.35351657e+1, 273669, 1
5.24343686e+1, 1.35350182e+1, 278491, 1
5.24344984e+1, 1.35348308e+1, 284607, 1
5.24346016e+1, 1.35347014e+1, 289628, 1
5.24346139e+1, 1.35347024e+1, 294634, 1
5.24346274e+1, 1.35346808e+1, 299614, 1
5.24347112e+1, 1.35347012e+1, 304637, 1
5.24348391e+1, 1.35349817e+1, 309625, 1
5.24349979e+1, 1.35352425e+1, 314642, 5
5.24351445e+1, 1.35354969e+1, 319615, 5
5.24351763e+1, 1.35355676e+1, 324636, 5
5.24351955e+1, 1.3535592e+1, 329631, 5
5.24352065e+1, 1.35354812e+1, 334635, 5
5.24353575e+1, 1.35352574e+1, 339625, 5
5.2435511e+1, 1.35350196e+1, 344622, 4
5.24356587e+1, 1.35347935e+1, 349643, 4
5.24358019e+1, 1.35345213e+1, 354635, 4
5.24356843e+1, 1.35342686e+1, 359616, 4
5.24356008e+1, 1.35339663e+1, 364652, 4
5.24357252e+1, 1.35337475e+1, 369616, 4
5.24357251e+1, 1.35336476e+1, 374046, 4
5.24355681e+1, 1.35333588e+1, 379327, 4
5.24353922e+1, 1.35331076e+1, 384637, 4
5.24354084e+1, 1.35331708e+1, 389312, 4
5.24354069e+1, 1.35330698e+1, 394327, 4
5.24354023e+1, 1.35328806e+1, 399631, 4
5.24352528e+1, 1.35326155e+1, 404630, 4
5.2435084e+1, 1.35323441e+1, 409629, 5
5.24349273e+1, 1.35320709e+1, 414656, 5
5.24347898e+1, 1.35318594e+1, 419617, 5
5.24347188e+1, 1.35317106e+1, 424635, 5
5.24347027e+1, 1.35316651e+1, 429647, 5
5.24347158e+1, 1.35316811e+1, 434617, 5
5.24347119e+1, 1.35316767e+1, 439613, 5
5.24347052e+1, 1.35316772e+1, 444599, 5
5.24347032e+1, 1.35316754e+1, 449603, 5
5.24346405e+1, 1.35315792e+1, 454617, 5
5.2434474e+1, 1.35313055e+1, 459574, 3
5.2434313e+1, 1.35310268e+1, 464621, 3
5.24341413e+1, 1.35307136e+1, 469644, 3
5.24339831e+1, 1.35304462e+1, 474605, 3
5.24338255e+1, 1.35301844e+1, 479621, 5
5.24336552e+1, 1.3529923e+1, 484610, 5
5.24334932e+1, 1.35296095e+1, 489618, 5
5.24333407e+1, 1.3529353e+1, 494644, 5
5.24332096e+1, 1.35290633e+1, 499627, 5
5.24330732e+1, 1.35288217e+1, 504639, 5
5.24329354e+1, 1.35285422e+1, 509636, 5
5.24327415e+1, 1.35283512e+1, 514369, 4
5.2432544e+1, 1.35279919e+1, 519643, 4
5.24324275e+1, 1.35281024e+1, 524517, 4
5.24323291e+1, 1.35276529e+1, 529561, 4
5.24321096e+1, 1.35272244e+1, 534648, 4
5.24320584e+1, 1.35270841e+1, 539645, 4
5.24319613e+1, 1.35270701e+1, 544499, 4
5.24317619e+1, 1.35271321e+1, 549616, 4
5.24314819e+1, 1.3527374e+1, 554425, 4
5.24312126e+1, 1.35277987e+1, 559634, 4
5.243099e+1, 1.35280114e+1, 564631, 4
5.24307647e+1, 1.35281933e+1, 569624, 4
5.24305424e+1, 1.35283932e+1, 574624, 4
5.24303487e+1, 1.35285361e+1, 579627, 4
5.24303511e+1, 1.35287578e+1, 584627, 4
5.24304077e+1, 1.35291405e+1, 589635, 4
5.24304059e+1, 1.35295813e+1, 594635, 4
5.24304014e+1, 1.35299818e+1, 599632, 4
5.24303684e+1, 1.35303653e+1, 604620, 4
5.24303832e+1, 1.35307473e+1, 609614, 4
5.24304785e+1, 1.35309361e+1, 614615, 4
5.24304385e+1, 1.35310832e+1, 619625, 4
5.24304272e+1, 1.35310921e+1, 624623, 4
