c0b98, device, east_route
5.24298785e+1, 1.35309171e+1, 196, 4
5.24299385e+1, 1.35310158e+1, 5412, 4
5.24299368e+1, 1.35310192e+1, 10471, 4
5.24299366e+1, 1.35310229e+1, 15458, 4
5.242994e+1, 1.35310197e+1, 20421, 4
5.24299501e+1, 1.35310015e+1, 25418, 4
5.24299624e+1, 1.35309952e+1, 30456, 4
5.24299897e+1, 1.35309686e+1, 35444, 4
5.24300843e+1, 1.35311044e+1, 40465, 4
5.24301622e+1, 1.35313331e+1, 45474, 4
5.24302746e+1, 1.35315894e+1, 50431, 5
5.24303825e+1, 1.35318334e+1, 55458, 5
5.24304928e+1, 1.35321249e+1, 60481, 4
5.24306083e+1, 1.35324082e+1, 65484, 4
5.24306766e+1, 1.35325799e+1, 70482, 4
5.24306812e+1, 1.35325655e+1, 75466, 4
5.24306807e+1, 1.35325631e+1, 80471, 4
5.24306807e+1, 1.3532563e+1, 85475, 4
5.24306849e+1, 1.3532569e+1, 90455, 4
5.24307319e+1, 1.35327448e+1, 95470, 4
5.24308147e+1, 1.35329935e+1, 100471, 4
5.24308997e+1, 1.35332555e+1, 105465, 4
5.24310309e+1, 1.35335292e+1, 110487, 5
5.24311813e+1, 1.35337752e+1, 115471, 5
5.24313605e+1, 1.35340434e+1, 120489, 5
5.24315131e+1, 1.35342852e+1, 125486, 5
5.24316445e+1, 1.3534521e+1, 130473, 5
5.2431787e+1, 1.35347269e+1, 135486, 5
5.24319242e+1, 1.35349466e+1, 140473, 5
5.24320492e+1, 1.353513e+1, 145478, 5
5.24320984e+1, 1.35351947e+1, 150479, 5
5.24320979e+1, 1.35351936e+1, 155478, 5
5.24320979e+1, 1.35351936e+1, 160469, 5
5.24320979e+1, 1.35351936e+1, 165416, 5
5.24320979e+1, 1.35351936e+1, 170468, 5
5.24321036e+1, 1.35352188e+1, 175466, 5
5.24321478e+1, 1.35353411e+1, 180469, 5
5.24323269e+1, 1.3535623e+1, 185462, 5
5.24324592e+1, 1.35358331e+1, 190462, 5
5.24326161e+1, 1.35360836e+1, 195483, 5
5.24327328e+1, 1.35362578e+1, 200464, 5
5.24328101e+1, 1.35363672e+1, 205424, 5
5.24328224e+1, 1.35363584e+1, 210466, 5
5.24328723e+1, 1.35362792e+1, 215484, 4
5.24329402e+1, 1.35361987e+1, 220481, 4
5.24330201e+1, 1.35360926e+1, 225475, 4
5.24331141e+1, 1.35361327e+1, 230488, 4
5.24332344e+1, 1.35362849e+1, 235478, 4
5.24333592e+1, 1.35364363e+1, 240498, 4
5.24334481e+1, 1.35365231e+1, 245486, 4
5.24335603e+1, 1.35363673e+1, 250473, 4
5.24336748e+1, 1.35361775e+1, 255473, 4
5.24337944e+1, 1.35359851e+1, 260452, 4
5.24339087e+1, 1.35358245e+1, 265506, 4
5.2433964e+1, 1.35357256e+1, 270476, 4
5.2434002e+1, 1.35355816e+1, 275482, 3
5.24340933e+1, 1.35354606e+1, 280468, 3
5.24342034e+1, 1.35353442e+1, 285468, 3
5.24342826e+1, 1.35351795e+1, 290472, 3
5.24343621e+1, 1.35350533e+1, 295464, 3
5.2434428e+1, 1.35349137e+1, 300438, 3
5.24344971e+1, 1.35347913e+1, 305489, 3
5.24345729e+1, 1.35347494e+1, 310496, 3
5.24346136e+1, 1.35347226e+1, 315477, 3
5.24346603e+1, 1.3534647e+1, 320474, 2
5.24347413e+1, 1.35347193e+1, 325488, 2
5.24347767e+1, 1.35348086e+1, 330470, 2
5.24348284e+1, 1.35349253e+1, 335508, 4
5.24349069e+1, 1.35350836e+1, 340470, 4
5.24350034e+1, 1.35352414e+1, 345501, 4
5.24351101e+1, 1.35354171e+1, 350479, 4
5.24352157e+1, 1.35355047e+1, 355462, 4
5.24353358e+1, 1.35353329e+1, 360481, 3
5.24354332e+1, 1.3535141e+1, 365462, 3
5.24355648e+1, 1.35349343e+1, 370476, 3
5.24356853e+1, 1.35347254e+1, 375491, 3
5.24357924e+1, 1.35344934e+1, 380484, 3
5.24357036e+1, 1.35342647e+1, 385485, 3
5.24355953e+1, 1.35340748e+1, 390480, 3
5.24356722e+1, 1.3533864e+1, 395495, 3
5.24357677e+1, 1.35337217e+1, 400497, 3
5.24357419e+1, 1.35336334e+1, 405495, 3
5.24356729e+1, 1.35335181e+1, 410488, 4
5.24356011e+1, 1.35333721e+1, 415473, 4
