08888, audio, north_route
5.2430464e+1, 1.3531042e+1, 3167, 4
5.24304664e+1, 1.35310409e+1, 8212, 4
5.24304672e+1, 1.35310305e+1, 13187, 4
5.24304826e+1, 1.35309864e+1, 18196, 4
5.24304847e+1, 1.35309767e+1, 23204, 4
5.24304974e+1, 1.35309611e+1, 28206, 4
5.24305899e+1, 1.35309114e+1, 33209, 4
5.24307273e+1, 1.35307479e+1, 38225, 5
5.24308761e+1, 1.35305238e+1, 43212, 5
5.24310135e+1, 1.35303025e+1, 48207, 5
5.24311423e+1, 1.35300948e+1, 53216, 5
5.24312363e+1, 1.3529912e+1, 58227, 4
5.24313418e+1, 1.3529745e+1, 63211, 4
5.24314934e+1, 1.35295179e+1, 68223, 5
5.2431652e+1, 1.35292747e+1, 73241, 5
5.24318277e+1, 1.35290701e+1, 78228, 5
5.24320041e+1, 1.35288219e+1, 83219, 5
5.24321833e+1, 1.35285587e+1, 88227, 5
5.24323855e+1, 1.35283607e+1, 93216, 5
5.24325309e+1, 1.35281518e+1, 98213, 5
5.24325785e+1, 1.35280886e+1, 103227, 5
5.24326704e+1, 1.35279827e+1, 108233, 4
5.24327999e+1, 1.35277928e+1, 113206, 4
5.24329867e+1, 1.35275958e+1, 118222, 4
5.24331396e+1, 1.35273413e+1, 123229, 5
5.24333165e+1, 1.35270729e+1, 128208, 5
5.24334692e+1, 1.35267886e+1, 133207, 5
5.24336476e+1, 1.35265076e+1, 138235, 5
5.24337672e+1, 1.35263234e+1, 143205, 5
5.24338787e+1, 1.35261183e+1, 148220, 5
5.24340544e+1, 1.35258759e+1, 153209, 5
5.24341997e+1, 1.35256114e+1, 158196, 5
5.24343547e+1, 1.35255078e+1, 163204, 5
5.24344897e+1, 1.35254324e+1, 168221, 5
5.2434426e+1, 1.35253471e+1, 173217, 5
5.24344546e+1, 1.35252948e+1, 178214, 3
5.24344358e+1, 1.35252545e+1, 183213, 3
5.24344697e+1, 1.35251819e+1, 188228, 3
5.24346079e+1, 1.35249829e+1, 193219, 3
5.24347747e+1, 1.35247146e+1, 198204, 3
5.24349427e+1, 1.35244188e+1, 203229, 3
5.24351444e+1, 1.35241703e+1, 208236, 3
5.2435291e+1, 1.35238713e+1, 213228, 3
5.24354518e+1, 1.35236498e+1, 218203, 3
5.24355839e+1, 1.35234293e+1, 223219, 3
5.24356399e+1, 1.35233221e+1, 228213, 3
5.24356973e+1, 1.35232084e+1, 233224, 4
5.24358127e+1, 1.35229948e+1, 238226, 5
5.24359741e+1, 1.3522744e+1, 243237, 5
5.24361226e+1, 1.35225067e+1, 248239, 5
5.24362768e+1, 1.35224533e+1, 253199, 5
5.24364473e+1, 1.3522521e+1, 258213, 5
5.24366094e+1, 1.35224588e+1, 263246, 3
5.24367849e+1, 1.35224148e+1, 268216, 3
5.24369782e+1, 1.35223598e+1, 273193, 3
5.2437178e+1, 1.35223013e+1, 278229, 3
5.24373763e+1, 1.35222637e+1, 283246, 3
5.24375759e+1, 1.35222115e+1, 288254, 3
5.24377793e+1, 1.35221589e+1, 293225, 3
5.24379862e+1, 1.35221177e+1, 298226, 3
5.24381504e+1, 1.35221818e+1, 303246, 5
5.24381691e+1, 1.35225248e+1, 308229, 5
5.2438165e+1, 1.35228907e+1, 313224, 5
5.24381636e+1, 1.35232803e+1, 318240, 5
5.2438165e+1, 1.35236784e+1, 323219, 5
5.24381596e+1, 1.35240799e+1, 328227, 5
5.24381607e+1, 1.35244837e+1, 333228, 5
5.24381623e+1, 1.35248923e+1, 338226, 5
5.24381669e+1, 1.35252843e+1, 343231, 5
5.24381705e+1, 1.35256512e+1, 348212, 5
5.24381685e+1, 1.35260084e+1, 353202, 4
