95f88, mapping, south_route
5.24297861e+1, 1.35312002e+1, 6344, 5
5.2429753e+1, 1.35311964e+1, 11386, 5
5.24297313e+1, 1.35312337e+1, 16376, 5
5.24296136e+1, 1.35314379e+1, 21396, 5
5.24294683e+1, 1.35316782e+1, 26384, 5
5.24293007e+1, 1.35319408e+1, 31378, 5
5.24291084e+1, 1.35321895e+1, 36389, 5
5.2428939e+1, 1.35324326e+1, 41338, 5
5.24288134e+1, 1.3532645e+1, 46366, 5
5.24286481e+1, 1.35328836e+1, 51328, 5
5.2428482e+1, 1.35331507e+1, 56346, 5
5.24282829e+1, 1.35334349e+1, 61360, 5
5.24280909e+1, 1.35336868e+1, 66331, 5
5.24279084e+1, 1.35339219e+1, 71362, 5
5.24277318e+1, 1.35342109e+1, 76342, 5
5.24275568e+1, 1.35344988e+1, 81377, 5
5.24273814e+1, 1.35347744e+1, 86331, 5
5.24272084e+1, 1.35350334e+1, 91327, 5
5.24272256e+1, 1.35353258e+1, 96358, 5
5.24273993e+1, 1.35356042e+1, 101331, 5
5.24275764e+1, 1.35359231e+1, 106353, 5
5.24277332e+1, 1.35362356e+1, 111351, 5
5.2427937e+1, 1.35365745e+1, 116352, 5
5.24281514e+1, 1.35368966e+1, 121342, 5
5.24283422e+1, 1.35372343e+1, 126351, 5
5.24285521e+1, 1.35375546e+1, 131334, 5
5.24287133e+1, 1.35378791e+1, 136353, 5
5.24288913e+1, 1.35381746e+1, 141356, 5
5.24290726e+1, 1.35384779e+1, 146337, 5
5.24292574e+1, 1.35388001e+1, 151340, 5
5.24294479e+1, 1.35390918e+1, 156339, 5
5.24296379e+1, 1.3539423e+1, 161350, 5
5.24298546e+1, 1.35397361e+1, 166346, 5
5.24300503e+1, 1.35400488e+1, 171348, 5
5.24302209e+1, 1.35403421e+1, 176346, 5
5.24304032e+1, 1.35405901e+1, 181342, 4
5.24305555e+1, 1.3540637e+1, 186353, 5
5.24307084e+1, 1.35403551e+1, 191360, 5
5.24308646e+1, 1.35400957e+1, 196339, 5
5.24310521e+1, 1.35397973e+1, 201347, 5
5.2431233e+1, 1.35394651e+1, 206350, 5
5.24314095e+1, 1.35391619e+1, 211339, 5
5.24315728e+1, 1.35388798e+1, 216342, 5
5.24317473e+1, 1.35385536e+1, 221352, 5
5.24319263e+1, 1.35382758e+1, 226330, 5
5.24321021e+1, 1.35379665e+1, 231330, 5
5.24322781e+1, 1.35376581e+1, 236346, 5
5.24324778e+1, 1.35373763e+1, 241323, 5
5.24326542e+1, 1.35370628e+1, 246327, 5
5.2432794e+1, 1.35367678e+1, 251357, 5
5.24328643e+1, 1.35366623e+1, 256351, 5
5.24328649e+1, 1.3536675e+1, 261342, 5
5.24328645e+1, 1.35366762e+1, 266352, 5
5.24328644e+1, 1.35366764e+1, 271339, 5
5.24328644e+1, 1.35366764e+1, 276338, 5
5.24329198e+1, 1.35366351e+1, 281349, 4
5.24330434e+1, 1.35363769e+1, 286356, 4
5.24330309e+1, 1.35361229e+1, 291363, 3
5.24329711e+1, 1.35360193e+1, 296357, 3
5.24328891e+1, 1.35358535e+1, 301345, 5
5.24327456e+1, 1.35355937e+1, 306355, 5
5.24325802e+1, 1.35353519e+1, 311387, 5
5.24324863e+1, 1.35351543e+1, 316348, 5
5.24324452e+1, 1.35350859e+1, 321359, 5
5.24325852e+1, 1.35348494e+1, 326360, 5
5.24328109e+1, 1.3534571e+1, 331345, 5
5.24330077e+1, 1.35343229e+1, 336370, 5
5.24331263e+1, 1.35340758e+1, 341363, 5
5.24333052e+1, 1.35337689e+1, 346352, 5
5.24335069e+1, 1.35334565e+1, 351353, 5
5.24336817e+1, 1.35331919e+1, 356368, 5
5.24337091e+1, 1.35329755e+1, 361354, 5
5.24335594e+1, 1.35326911e+1, 366356, 5
5.24333962e+1, 1.35324118e+1, 371351, 5
5.24332375e+1, 1.35321596e+1, 376362, 5
5.24331646e+1, 1.35320923e+1, 381362, 2
5.2433046e+1, 1.35320486e+1, 386356, 2
5.24329555e+1, 1.35319053e+1, 391370, 2
5.24328878e+1, 1.35317632e+1, 396357, 2
5.24328569e+1, 1.35316196e+1, 401352, 2
5.2432954e+1, 1.3531496e+1, 406354, 2
5.24330561e+1, 1.3531671e+1, 411356, 2
5.24331598e+1, 1.35315142e+1, 416360, 4
5.2433307e+1, 1.35312923e+1, 421357, 4
5.24332946e+1, 1.35311352e+1, 426347, 3
5.2433152e+1, 1.3530926e+1, 431352, 3
5.24329916e+1, 1.35306507e+1, 436353, 3
5.24328501e+1, 1.35303903e+1, 441353, 3
5.24327096e+1, 1.35301247e+1, 446368, 3
5.2432622e+1, 1.35299947e+1, 451368, 5
5.243249e+1, 1.35300261e+1, 456360, 5
5.24323285e+1, 1.35303023e+1, 461347, 5
5.24321765e+1, 1.35305503e+1, 466360, 5
5.24320426e+1, 1.35303813e+1, 471346, 5
5.24318788e+1, 1.3530166e+1, 476346, 2
5.24317291e+1, 1.35299035e+1, 481349, 2
5.24316146e+1, 1.35296659e+1, 486358, 5
5.24314826e+1, 1.35295489e+1, 491340, 5
5.24313365e+1, 1.35297633e+1, 496373, 5
5.24312113e+1, 1.35299145e+1, 501355, 5
5.24311399e+1, 1.3530103e+1, 506377, 5
5.24309975e+1, 1.35303698e+1, 511373, 5
5.24308264e+1, 1.35306559e+1, 516348, 5
5.24306555e+1, 1.35309149e+1, 521356, 5
5.24304766e+1, 1.35310576e+1, 526366, 5
5.24303678e+1, 1.35311704e+1, 531348, 5
5.24303013e+1, 1.35309834e+1, 536351, 5
5.24302506e+1, 1.35308305e+1, 541364, 5
