a533f, mapping, south_route
5.24298657e+1, 1.35309013e+1, 3961, 4
5.24298641e+1, 1.35309139e+1, 8952, 4
5.24298616e+1, 1.35309238e+1, 13940, 4
5.24298617e+1, 1.35309366e+1, 18962, 4
5.24298633e+1, 1.35309378e+1, 23959, 4
5.24298629e+1, 1.35309418e+1, 28950, 4
5.24298769e+1, 1.35309492e+1, 33933, 4
5.24298972e+1, 1.35309622e+1, 38958, 4
5.24299066e+1, 1.35309723e+1, 43985, 4
5.24299177e+1, 1.35309935e+1, 48961, 4
5.24299205e+1, 1.3531062e+1, 53956, 4
5.2429907e+1, 1.35310047e+1, 58562, 4
5.24297961e+1, 1.35312549e+1, 63403, 4
5.24295078e+1, 1.35316031e+1, 67905, 4
5.24293937e+1, 1.35318439e+1, 72704, 4
5.24292088e+1, 1.35320471e+1, 77259, 4
5.24290457e+1, 1.3532251e+1, 81847, 4
5.24289208e+1, 1.35324368e+1, 87210, 4
5.24288063e+1, 1.35326884e+1, 91946, 4
5.24286503e+1, 1.35329404e+1, 96607, 4
5.24284606e+1, 1.35331679e+1, 101570, 4
5.24282875e+1, 1.35334206e+1, 106268, 4
5.24280252e+1, 1.35338109e+1, 113995, 4
5.24279513e+1, 1.35339665e+1, 118360, 4
5.24277566e+1, 1.35341959e+1, 123227, 4
5.24276129e+1, 1.35343808e+1, 127772, 4
5.24273378e+1, 1.35348081e+1, 133978, 4
5.24272031e+1, 1.3535109e+1, 138997, 4
5.24273051e+1, 1.35354112e+1, 143975, 4
5.2427467e+1, 1.35357305e+1, 148997, 4
5.24276236e+1, 1.35360253e+1, 153969, 4
5.24277847e+1, 1.35363082e+1, 158969, 4
5.24279605e+1, 1.35366097e+1, 163968, 4
5.24281261e+1, 1.35369002e+1, 168953, 4
5.24282816e+1, 1.3537155e+1, 173980, 4
5.24284466e+1, 1.35373758e+1, 178974, 4
5.24285931e+1, 1.35376533e+1, 183975, 4
5.24287e+1, 1.35378924e+1, 188976, 4
5.24288513e+1, 1.3538193e+1, 193973, 4
5.24289925e+1, 1.3538459e+1, 198878, 4
5.2429143e+1, 1.35387174e+1, 203986, 4
5.2429318e+1, 1.35389386e+1, 208970, 4
5.242941e+1, 1.35390556e+1, 213933, 4
5.24297573e+1, 1.35395463e+1, 218945, 4
5.24299562e+1, 1.35398252e+1, 223950, 4
5.24301254e+1, 1.35400605e+1, 228979, 4
5.24303002e+1, 1.35402904e+1, 233986, 4
5.243044e+1, 1.35404871e+1, 238966, 4
5.24303957e+1, 1.35406008e+1, 243985, 4
5.2430424e+1, 1.35406331e+1, 248994, 4
5.24304324e+1, 1.35406448e+1, 253975, 4
5.2430387e+1, 1.35406766e+1, 258956, 4
5.24304223e+1, 1.35406863e+1, 263963, 5
5.24305135e+1, 1.35405882e+1, 268979, 5
5.2430656e+1, 1.35404022e+1, 273975, 5
5.24308135e+1, 1.3540119e+1, 278983, 5
5.24309806e+1, 1.35398093e+1, 283981, 5
5.24311663e+1, 1.35395634e+1, 288964, 5
5.24313328e+1, 1.35392739e+1, 293988, 5
5.24314819e+1, 1.35390373e+1, 298992, 5
5.24316095e+1, 1.35387999e+1, 303990, 5
5.2431774e+1, 1.35385589e+1, 308967, 5
5.24319378e+1, 1.35383041e+1, 313983, 5
5.24320949e+1, 1.35380024e+1, 318971, 5
5.24322723e+1, 1.35377353e+1, 323983, 5
5.24323777e+1, 1.35374627e+1, 328965, 5
5.24325635e+1, 1.35373004e+1, 333700, 5
5.24327088e+1, 1.35369976e+1, 338834, 5
5.2432785e+1, 1.35367212e+1, 343751, 5
5.24329357e+1, 1.3536569e+1, 348979, 5
5.24329227e+1, 1.35365717e+1, 353991, 5
5.2432888e+1, 1.35366106e+1, 358977, 5
5.24328722e+1, 1.35366338e+1, 363974, 5
5.24328743e+1, 1.35366281e+1, 368969, 5
5.24328746e+1, 1.35366278e+1, 374035, 5
5.24328746e+1, 1.35366278e+1, 379038, 5
5.24328746e+1, 1.35366278e+1, 384031, 4
5.24329257e+1, 1.35365407e+1, 389023, 4
5.24330325e+1, 1.35363264e+1, 394022, 4
5.24330833e+1, 1.3536112e+1, 399014, 4
5.24329298e+1, 1.35358818e+1, 404011, 4
5.24327071e+1, 1.35355794e+1, 409052, 4
5.24326071e+1, 1.35353999e+1, 414019, 4
5.24324803e+1, 1.3535239e+1, 419056, 4
5.24324664e+1, 1.35350084e+1, 424027, 5
5.24326315e+1, 1.35347487e+1, 429023, 5
5.24328e+1, 1.35344907e+1, 434044, 5
5.24329541e+1, 1.35342474e+1, 439013, 5
5.2433105e+1, 1.35340152e+1, 444020, 5
5.2433275e+1, 1.35337625e+1, 449036, 5
5.24334556e+1, 1.35334833e+1, 454023, 5
5.24336227e+1, 1.35332659e+1, 458987, 5
5.24336927e+1, 1.35331828e+1, 463978, 5
5.24336959e+1, 1.3533179e+1, 468968, 3
5.24336904e+1, 1.35331226e+1, 473971, 3
5.243364e+1, 1.35330256e+1, 478968, 3
5.24336127e+1, 1.35328939e+1, 483975, 3
5.24336242e+1, 1.35327996e+1, 488975, 3
5.24335139e+1, 1.35326125e+1, 493989, 3
5.24333678e+1, 1.35323487e+1, 498963, 3
5.24332032e+1, 1.35320976e+1, 503992, 3
5.24331082e+1, 1.35318633e+1, 508973, 3
5.2433215e+1, 1.35316112e+1, 513977, 3
5.24333801e+1, 1.3531377e+1, 518994, 4
5.24333151e+1, 1.35311744e+1, 523990, 4
5.24331484e+1, 1.35308818e+1, 528985, 4
5.24329973e+1, 1.35306037e+1, 533996, 4
5.24328474e+1, 1.35303677e+1, 538974, 4
5.24327322e+1, 1.35301208e+1, 543986, 4
5.24326694e+1, 1.3529972e+1, 548988, 4
5.24325538e+1, 1.35299545e+1, 553974, 4
5.24323878e+1, 1.35301946e+1, 558989, 4
5.24322469e+1, 1.35304283e+1, 563981, 4
5.24320975e+1, 1.35305012e+1, 568981, 5
5.24319209e+1, 1.3530271e+1, 573992, 5
5.24317792e+1, 1.35299803e+1, 578995, 3
5.24316275e+1, 1.35296968e+1, 583974, 3
5.24314794e+1, 1.35295003e+1, 588978, 4
5.24313718e+1, 1.35296443e+1, 593981, 4
5.24312185e+1, 1.35298565e+1, 598992, 4
5.24311034e+1, 1.35300472e+1, 603982, 4
5.24309804e+1, 1.35302447e+1, 608997, 4
5.24308211e+1, 1.35304849e+1, 613979, 4
5.24306709e+1, 1.35307305e+1, 618988, 4
5.24305743e+1, 1.35308625e+1, 623984, 4
5.24305853e+1, 1.35308248e+1, 628989, 4
5.24305864e+1, 1.35308214e+1, 633976, 4
