a4191, audio, north_route
5.24305905e+1, 1.35307689e+1, 375, 3
5.24305903e+1, 1.35307693e+1, 5388, 3
5.24305903e+1, 1.35307695e+1, 10379, 3
5.24305902e+1, 1.35307706e+1, 15386, 3
5.24305903e+1, 1.35307723e+1, 20386, 3
5.24305906e+1, 1.35307729e+1, 25406, 3
5.24305966e+1, 1.35307685e+1, 30378, 3
5.24306045e+1, 1.35308084e+1, 35399, 3
5.24305965e+1, 1.35308274e+1, 40066, 3
5.24306079e+1, 1.35308263e+1, 45391, 3
5.24306217e+1, 1.3530836e+1, 50402, 3
5.24306276e+1, 1.35308479e+1, 55394, 3
5.24306649e+1, 1.35308622e+1, 60390, 3
5.24306777e+1, 1.35308452e+1, 65387, 3
5.24309224e+1, 1.35304378e+1, 70414, 3
5.24309885e+1, 1.35303906e+1, 75100, 3
5.24311833e+1, 1.35300165e+1, 80400, 3
5.2431254e+1, 1.35299308e+1, 84726, 3
5.24313934e+1, 1.35298155e+1, 90391, 3
5.24312942e+1, 1.35298214e+1, 95397, 3
5.2431283e+1, 1.35298188e+1, 100382, 3
5.24312828e+1, 1.35298208e+1, 105178, 4
5.24312994e+1, 1.35297355e+1, 110002, 4
5.2431607e+1, 1.35294159e+1, 114762, 4
5.24317569e+1, 1.35292017e+1, 119265, 4
5.24318377e+1, 1.35291173e+1, 123802, 5
5.24320737e+1, 1.35287706e+1, 128609, 5
5.24322355e+1, 1.35284859e+1, 133486, 5
5.24324146e+1, 1.35283107e+1, 138432, 5
5.24325543e+1, 1.35281947e+1, 143382, 5
5.24326363e+1, 1.35280781e+1, 147961, 5
5.24327024e+1, 1.35279361e+1, 152679, 5
5.24328363e+1, 1.35277493e+1, 157188, 5
5.24329844e+1, 1.35275118e+1, 161800, 5
5.24331411e+1, 1.35272626e+1, 166729, 5
5.24334308e+1, 1.35268302e+1, 175358, 5
5.24335652e+1, 1.3526668e+1, 180362, 5
5.24336863e+1, 1.35264105e+1, 185339, 5
5.24338024e+1, 1.35262789e+1, 190351, 5
5.24339321e+1, 1.35260705e+1, 195360, 5
5.24340741e+1, 1.35258232e+1, 200348, 5
5.24342058e+1, 1.35256204e+1, 205354, 5
5.24343232e+1, 1.35254773e+1, 210374, 5
5.24344631e+1, 1.35254308e+1, 215361, 5
5.24344711e+1, 1.35253744e+1, 220341, 5
5.24344807e+1, 1.35252745e+1, 225363, 5
5.24344541e+1, 1.35251953e+1, 230358, 5
5.24345938e+1, 1.35250296e+1, 235363, 5
5.24347664e+1, 1.35247382e+1, 240352, 5
5.24349324e+1, 1.35244491e+1, 245354, 5
5.2435132e+1, 1.35242094e+1, 250348, 5
5.24352954e+1, 1.35239363e+1, 255370, 5
5.24354693e+1, 1.35236902e+1, 260357, 5
5.24355927e+1, 1.35234412e+1, 265360, 5
5.24356548e+1, 1.35232714e+1, 270341, 5
5.24357217e+1, 1.35231586e+1, 275354, 5
5.24358649e+1, 1.35229259e+1, 280356, 5
5.24360358e+1, 1.35226529e+1, 285364, 5
5.24361799e+1, 1.35224333e+1, 290376, 5
5.24363167e+1, 1.35224643e+1, 295368, 5
5.24365031e+1, 1.35224825e+1, 300353, 5
5.24366997e+1, 1.35224267e+1, 305358, 2
5.24369133e+1, 1.35223714e+1, 310349, 2
5.24371555e+1, 1.35223016e+1, 315344, 2
5.24373848e+1, 1.35222474e+1, 320371, 2
5.24376171e+1, 1.35221947e+1, 325349, 2
5.24378451e+1, 1.35221414e+1, 330343, 2
5.24380482e+1, 1.35220985e+1, 335385, 2
5.24381793e+1, 1.35222094e+1, 340343, 2
5.243817e+1, 1.35225951e+1, 345358, 5
5.24381653e+1, 1.35230187e+1, 350367, 5
5.24381745e+1, 1.35234458e+1, 355351, 5
5.24381696e+1, 1.35238668e+1, 360347, 5
5.24381752e+1, 1.3524283e+1, 365342, 5
5.2438174e+1, 1.35246962e+1, 370352, 5
5.24381738e+1, 1.3525075e+1, 375339, 5
5.24381764e+1, 1.35254519e+1, 380365, 5
5.24381733e+1, 1.35257757e+1, 385353, 5
5.24381799e+1, 1.35260726e+1, 390347, 5
5.24381094e+1, 1.35263274e+1, 395366, 5
5.24379689e+1, 1.35265405e+1, 400338, 5
5.24378573e+1, 1.35266902e+1, 405335, 5
5.24378573e+1, 1.35266815e+1, 410360, 5
5.2437863e+1, 1.35266731e+1, 415371, 5
5.24378633e+1, 1.35266727e+1, 420362, 5
5.24378584e+1, 1.35266742e+1, 425351, 5
5.24377381e+1, 1.35268388e+1, 430357, 5
5.24375788e+1, 1.35270618e+1, 435356, 4
5.24374023e+1, 1.35272936e+1, 440359, 4
5.24372255e+1, 1.35275423e+1, 445359, 4
5.24370434e+1, 1.35277968e+1, 450354, 4
5.24368874e+1, 1.35280245e+1, 455375, 4
5.24367237e+1, 1.35282643e+1, 460361, 4
5.24365613e+1, 1.35285349e+1, 465357, 4
5.24364044e+1, 1.35287327e+1, 470381, 4
5.24362237e+1, 1.35289704e+1, 475373, 4
5.24360727e+1, 1.35292325e+1, 480374, 4
5.24359106e+1, 1.35294717e+1, 485363, 4
5.24357553e+1, 1.35297159e+1, 490384, 4
5.24356719e+1, 1.35298165e+1, 495369, 4
5.24356752e+1, 1.35297295e+1, 500374, 4
5.24356029e+1, 1.35296449e+1, 505354, 4
5.24354582e+1, 1.35293945e+1, 510353, 5
5.24352876e+1, 1.35290928e+1, 515352, 5
5.24352027e+1, 1.35289151e+1, 520350, 5
5.2435164e+1, 1.35288978e+1, 525357, 5
5.24350482e+1, 1.35287528e+1, 530366, 5
5.2434913e+1, 1.35288825e+1, 535364, 5
5.24347796e+1, 1.35290948e+1, 540354, 5
5.24346414e+1, 1.35293098e+1, 545374, 5
5.24344917e+1, 1.35295217e+1, 550357, 5
5.24343286e+1, 1.35297432e+1, 555373, 5
5.24341806e+1, 1.35300021e+1, 560350, 5
5.24340242e+1, 1.3530221e+1, 565359, 5
5.24339399e+1, 1.35304412e+1, 570361, 5
5.24338434e+1, 1.35306246e+1, 575352, 5
5.24336561e+1, 1.3530858e+1, 580370, 4
5.24334872e+1, 1.35310956e+1, 585373, 4
5.24333255e+1, 1.35313548e+1, 590387, 4
5.24331933e+1, 1.35316275e+1, 595361, 4
5.24330629e+1, 1.35317997e+1, 600354, 4
5.2432925e+1, 1.35316833e+1, 605369, 4
5.24328078e+1, 1.35317435e+1, 610359, 4
5.24326847e+1, 1.35319853e+1, 615371, 4
5.24325162e+1, 1.35322474e+1, 620376, 4
5.24323298e+1, 1.35325535e+1, 625377, 4
5.24321642e+1, 1.35328146e+1, 630355, 4
5.24319978e+1, 1.35330447e+1, 635359, 4
5.24318225e+1, 1.35332771e+1, 640369, 4
5.24316856e+1, 1.3533473e+1, 645362, 4
5.24315694e+1, 1.35336786e+1, 650370, 4
5.24314759e+1, 1.35335616e+1, 655374, 4
5.24313967e+1, 1.35333403e+1, 659768, 4
5.24312473e+1, 1.35333386e+1, 664628, 4
5.24310386e+1, 1.35329063e+1, 669197, 4
5.24309492e+1, 1.35326645e+1, 673810, 4
5.24308391e+1, 1.35323507e+1, 678723, 4
5.24307506e+1, 1.35324503e+1, 683940, 4
5.24305754e+1, 1.35317814e+1, 688672, 4
5.24304754e+1, 1.35314825e+1, 694099, 4
5.24304404e+1, 1.35311836e+1, 700352, 4
5.24304592e+1, 1.35313241e+1, 705314, 4
5.24304937e+1, 1.35313019e+1, 710371, 4
