202c1, device, east_route
5.24300291e+1, 1.35311109e+1, 3208, 4
5.24300291e+1, 1.35311109e+1, 8264, 4
5.24300291e+1, 1.35311109e+1, 13226, 4
5.24300394e+1, 1.35311034e+1, 18238, 4
5.24301353e+1, 1.35312292e+1, 23226, 4
5.24302736e+1, 1.35314851e+1, 28241, 4
5.24303922e+1, 1.35317751e+1, 33234, 4
5.24304962e+1, 1.35320965e+1, 38276, 4
5.24306093e+1, 1.35324022e+1, 43269, 4
5.24306703e+1, 1.35325833e+1, 48234, 4
5.24306655e+1, 1.35325774e+1, 53235, 4
5.24306657e+1, 1.35325806e+1, 58198, 4
5.24307474e+1, 1.35328276e+1, 63255, 4
5.24308691e+1, 1.35331585e+1, 68250, 4
5.24310067e+1, 1.35334762e+1, 73233, 4
5.2431173e+1, 1.35337749e+1, 78254, 4
5.24313664e+1, 1.35340443e+1, 83270, 4
5.24314947e+1, 1.35342872e+1, 88240, 4
5.24316634e+1, 1.35345208e+1, 93264, 3
5.24318336e+1, 1.35347698e+1, 98240, 3
5.24319707e+1, 1.35349729e+1, 103246, 3
5.24321151e+1, 1.35351979e+1, 108227, 3
5.24322722e+1, 1.35354494e+1, 113244, 3
5.24323523e+1, 1.35355592e+1, 118240, 3
5.2432358e+1, 1.35355447e+1, 123252, 3
5.24324295e+1, 1.35356497e+1, 128245, 3
5.24325319e+1, 1.35358163e+1, 133251, 3
5.2432714e+1, 1.35361197e+1, 138260, 3
5.24328445e+1, 1.3536343e+1, 143245, 3
5.24329462e+1, 1.35365831e+1, 148223, 3
5.2432964e+1, 1.35365891e+1, 153247, 3
5.24329621e+1, 1.35365724e+1, 158242, 3
5.24329614e+1, 1.35365681e+1, 163266, 3
5.24329613e+1, 1.35365675e+1, 168247, 3
5.24329613e+1, 1.35365675e+1, 173252, 3
5.24329541e+1, 1.35365838e+1, 178238, 3
5.24329533e+1, 1.35365855e+1, 183244, 3
5.24329276e+1, 1.35365556e+1, 188247, 3
5.24329269e+1, 1.35365548e+1, 193235, 3
5.24329269e+1, 1.35365548e+1, 198256, 3
5.24329269e+1, 1.35365548e+1, 203243, 3
5.24329269e+1, 1.35365548e+1, 208253, 3
5.24329485e+1, 1.35365291e+1, 213248, 3
5.24330403e+1, 1.35364261e+1, 218237, 3
5.24330907e+1, 1.35363246e+1, 223230, 3
5.24330915e+1, 1.35363117e+1, 228241, 3
5.24330867e+1, 1.35363144e+1, 233255, 3
5.24330864e+1, 1.35363146e+1, 238236, 3
5.24330864e+1, 1.35363146e+1, 243249, 3
5.24330864e+1, 1.35363146e+1, 248244, 3
5.24330864e+1, 1.35363146e+1, 253251, 3
5.24331539e+1, 1.3536256e+1, 258242, 3
5.24332506e+1, 1.35362384e+1, 263244, 3
5.24333381e+1, 1.35363704e+1, 268232, 3
5.24334247e+1, 1.35365133e+1, 273275, 3
5.2433535e+1, 1.35364102e+1, 278259, 4
5.24336596e+1, 1.35362158e+1, 283262, 4
5.24337846e+1, 1.35360259e+1, 288248, 4
5.24338935e+1, 1.35358426e+1, 293246, 4
5.24339528e+1, 1.35357772e+1, 298266, 4
5.24339719e+1, 1.35357488e+1, 303253, 4
5.24340281e+1, 1.35355888e+1, 308253, 4
5.24340875e+1, 1.35354541e+1, 313260, 2
5.24341973e+1, 1.35353249e+1, 318268, 1
5.24343085e+1, 1.35351373e+1, 323273, 1
5.24344094e+1, 1.35349417e+1, 328261, 1
5.24345188e+1, 1.35347781e+1, 333262, 1
5.24345945e+1, 1.35347031e+1, 338261, 1
5.24346402e+1, 1.35346452e+1, 343254, 1
5.24346709e+1, 1.35346143e+1, 348253, 3
5.24347462e+1, 1.35347635e+1, 353241, 3
5.24348685e+1, 1.35350369e+1, 358243, 4
5.24350209e+1, 1.35352974e+1, 363267, 4
5.24351768e+1, 1.35354927e+1, 368261, 4
5.24352816e+1, 1.35353966e+1, 373259, 4
5.24354254e+1, 1.35351613e+1, 378269, 4
5.24355649e+1, 1.35349269e+1, 383250, 4
5.24357056e+1, 1.35347035e+1, 388241, 4
5.24358048e+1, 1.35344836e+1, 393275, 4
5.24356788e+1, 1.35342324e+1, 398257, 4
5.24355867e+1, 1.35339684e+1, 403275, 4
5.24357153e+1, 1.35337798e+1, 408256, 4
5.24357572e+1, 1.35336371e+1, 413250, 4
5.24356612e+1, 1.35334767e+1, 418252, 4
5.24355469e+1, 1.35333002e+1, 423251, 3
5.24354418e+1, 1.35331592e+1, 428263, 3
5.24354465e+1, 1.35329624e+1, 433295, 3
5.24353251e+1, 1.35327514e+1, 438275, 3
5.2435182e+1, 1.35324839e+1, 443257, 3
5.24350264e+1, 1.35322407e+1, 448247, 3
5.24348899e+1, 1.35320031e+1, 453262, 3
5.24347652e+1, 1.35317918e+1, 458265, 3
5.24347129e+1, 1.35316359e+1, 463278, 3
5.24347276e+1, 1.35315494e+1, 468267, 3
5.24346687e+1, 1.35314607e+1, 473251, 3
5.243461e+1, 1.3531442e+1, 478260, 4
5.24345577e+1, 1.35314124e+1, 483232, 4
5.24344486e+1, 1.35312393e+1, 488274, 4
5.24342782e+1, 1.35309824e+1, 493268, 4
5.24341236e+1, 1.35307187e+1, 498256, 4
5.24339809e+1, 1.35304728e+1, 503259, 4
5.24338523e+1, 1.353023e+1, 508263, 4
5.24337079e+1, 1.35299724e+1, 513253, 4
5.24335684e+1, 1.3529704e+1, 518258, 4
5.24334247e+1, 1.35294573e+1, 523266, 3
5.24332858e+1, 1.35291901e+1, 528260, 3
5.2433165e+1, 1.35289944e+1, 533276, 3
5.24330089e+1, 1.35287199e+1, 538263, 3
5.2432834e+1, 1.35284221e+1, 543286, 3
5.24326599e+1, 1.35281736e+1, 548285, 3
5.2432538e+1, 1.35279137e+1, 553273, 4
5.24323876e+1, 1.35276778e+1, 558269, 4
5.24322664e+1, 1.35274673e+1, 563265, 4
5.24321638e+1, 1.3527304e+1, 568263, 3
5.24321454e+1, 1.35272039e+1, 573265, 3
5.24321201e+1, 1.35270792e+1, 578275, 3
