aec6c, mapping, north_route
5.24305195e+1, 1.35310048e+1, 1150, 5
5.24305036e+1, 1.35309857e+1, 6144, 5
5.24305084e+1, 1.35309843e+1, 11149, 5
5.24305042e+1, 1.35309618e+1, 16148, 5
5.24305018e+1, 1.35309567e+1, 21166, 5
5.24305049e+1, 1.35309792e+1, 26180, 5
5.24305217e+1, 1.35310047e+1, 31074, 5
5.24305705e+1, 1.35310003e+1, 36100, 5
5.24306843e+1, 1.35308564e+1, 41104, 5
5.24308076e+1, 1.35306831e+1, 46102, 5
5.24309317e+1, 1.35305135e+1, 51127, 5
5.24309585e+1, 1.35304622e+1, 56119, 5
5.24310737e+1, 1.3530316e+1, 60738, 5
5.24312006e+1, 1.35300468e+1, 66116, 5
5.24313345e+1, 1.35297106e+1, 71110, 5
5.24314639e+1, 1.3529484e+1, 76119, 5
5.24315796e+1, 1.35292827e+1, 81078, 5
5.24317434e+1, 1.3529131e+1, 86109, 5
5.24318949e+1, 1.3528957e+1, 91102, 5
5.24320273e+1, 1.35287418e+1, 96137, 5
5.24321713e+1, 1.35285306e+1, 101149, 5
5.24323198e+1, 1.35283684e+1, 106105, 5
5.24324802e+1, 1.35282016e+1, 111130, 5
5.24326122e+1, 1.35280642e+1, 116125, 5
5.24326882e+1, 1.35279675e+1, 121137, 5
5.24327851e+1, 1.35278201e+1, 126150, 5
5.24329177e+1, 1.3527619e+1, 131143, 5
5.24330509e+1, 1.35273583e+1, 136131, 5
5.2433212e+1, 1.3527144e+1, 141067, 5
5.24333575e+1, 1.35268883e+1, 146097, 5
5.24335124e+1, 1.35266586e+1, 151096, 5
5.24336994e+1, 1.35264157e+1, 156145, 5
5.24338302e+1, 1.35261912e+1, 161129, 5
5.24339676e+1, 1.35259634e+1, 166107, 5
5.2434132e+1, 1.35256714e+1, 171119, 5
5.24342934e+1, 1.35254613e+1, 176142, 5
5.24344916e+1, 1.35254211e+1, 181112, 5
5.24344482e+1, 1.3525316e+1, 185781, 5
5.24344694e+1, 1.35252844e+1, 190761, 5
5.24344746e+1, 1.35252292e+1, 195337, 5
5.24344598e+1, 1.35251719e+1, 199899, 5
5.24346135e+1, 1.35249158e+1, 206131, 5
5.24347536e+1, 1.35246885e+1, 211139, 5
5.24349185e+1, 1.35244217e+1, 216097, 5
5.24350802e+1, 1.35241816e+1, 221118, 5
5.24352537e+1, 1.35239053e+1, 226121, 5
5.24354135e+1, 1.35236703e+1, 231145, 5
5.24355535e+1, 1.35234182e+1, 236122, 5
5.24356428e+1, 1.35233187e+1, 241143, 5
5.24356497e+1, 1.35232199e+1, 246140, 5
5.243571e+1, 1.35230738e+1, 251120, 5
5.24358306e+1, 1.35229065e+1, 256129, 5
5.24359624e+1, 1.35227064e+1, 261115, 5
5.24361067e+1, 1.35224878e+1, 266122, 5
5.24362822e+1, 1.35224354e+1, 271131, 2
5.2436487e+1, 1.35224671e+1, 276120, 2
5.24366703e+1, 1.3522416e+1, 281118, 2
5.24368653e+1, 1.35223734e+1, 286110, 2
5.24370647e+1, 1.35223124e+1, 291115, 2
5.24372798e+1, 1.35222596e+1, 296131, 2
5.24374864e+1, 1.35222126e+1, 301104, 2
5.24376998e+1, 1.3522167e+1, 306125, 2
5.24379135e+1, 1.35221203e+1, 311129, 2
5.24380929e+1, 1.35220851e+1, 316123, 5
5.24381616e+1, 1.35222826e+1, 321137, 5
5.24381496e+1, 1.35225792e+1, 326119, 5
5.24381577e+1, 1.3522901e+1, 331124, 5
5.24381541e+1, 1.35232236e+1, 336114, 5
5.24381506e+1, 1.35235549e+1, 341109, 5
5.24381579e+1, 1.35239108e+1, 346112, 5
5.24381586e+1, 1.35242826e+1, 351151, 5
5.24381616e+1, 1.35246427e+1, 356119, 5
5.24381634e+1, 1.35250039e+1, 361140, 5
5.24381673e+1, 1.35253713e+1, 366130, 5
5.2438166e+1, 1.35257446e+1, 371123, 5
5.24381657e+1, 1.35260966e+1, 376112, 5
5.24380728e+1, 1.35263471e+1, 381122, 5
5.24379348e+1, 1.35265653e+1, 386125, 5
5.24377976e+1, 1.35267439e+1, 391093, 5
5.24376676e+1, 1.35269318e+1, 396086, 5
5.24375579e+1, 1.35271033e+1, 401125, 5
5.24375064e+1, 1.35271587e+1, 406129, 5
5.24375087e+1, 1.35271522e+1, 411128, 5
5.2437509e+1, 1.35271517e+1, 416121, 5
5.2437509e+1, 1.35271516e+1, 421122, 5
5.2437509e+1, 1.35271516e+1, 426108, 5
5.2437509e+1, 1.35271516e+1, 431108, 5
5.2437509e+1, 1.35271516e+1, 436126, 5
5.2437509e+1, 1.35271516e+1, 441109, 5
5.2437509e+1, 1.35271516e+1, 446122, 5
5.2437509e+1, 1.35271516e+1, 451128, 5
5.2437509e+1, 1.35271516e+1, 456120, 5
5.2437509e+1, 1.35271516e+1, 461116, 5
5.24375221e+1, 1.35271325e+1, 466121, 5
5.24374723e+1, 1.35272076e+1, 471116, 5
5.24373563e+1, 1.35273171e+1, 476109, 5
5.24372544e+1, 1.35274702e+1, 481113, 5
5.2437134e+1, 1.35276113e+1, 486111, 5
5.24370089e+1, 1.3527818e+1, 491118, 5
5.24368716e+1, 1.35280424e+1, 496098, 5
5.24367357e+1, 1.35282593e+1, 501117, 5
5.24365671e+1, 1.35285218e+1, 506124, 5
5.24364058e+1, 1.35287111e+1, 511128, 5
5.24362318e+1, 1.35289503e+1, 516137, 5
5.24360472e+1, 1.35292237e+1, 521136, 5
5.24358692e+1, 1.35294857e+1, 526101, 5
5.24356922e+1, 1.35297759e+1, 531140, 5
5.2435642e+1, 1.3529751e+1, 536114, 5
5.2435544e+1, 1.35296095e+1, 541118, 5
5.24354174e+1, 1.3529405e+1, 546117, 5
5.24352878e+1, 1.35291324e+1, 551126, 5
5.2435166e+1, 1.35288638e+1, 556129, 5
5.24350733e+1, 1.3528732e+1, 561131, 5
5.24348915e+1, 1.35288384e+1, 566127, 5
5.24347504e+1, 1.35291012e+1, 571128, 5
5.24346254e+1, 1.35293661e+1, 576121, 5
5.24345033e+1, 1.35295377e+1, 581086, 5
5.24343668e+1, 1.3529624e+1, 586089, 5
5.24342285e+1, 1.35298076e+1, 591099, 5
5.24340875e+1, 1.35300597e+1, 596118, 5
5.24339273e+1, 1.35302956e+1, 601114, 5
5.24337972e+1, 1.35305158e+1, 606112, 5
5.24336642e+1, 1.35307089e+1, 611114, 5
5.24335159e+1, 1.35309026e+1, 616137, 5
5.24333497e+1, 1.35311736e+1, 621125, 5
5.24332049e+1, 1.35314111e+1, 626145, 5
5.24330594e+1, 1.35316757e+1, 631140, 5
5.24329399e+1, 1.35315514e+1, 636122, 5
5.24328627e+1, 1.35316359e+1, 641135, 5
5.24327472e+1, 1.35318265e+1, 646121, 5
5.24326176e+1, 1.3532041e+1, 651126, 5
5.24324828e+1, 1.35322642e+1, 656131, 5
5.24323358e+1, 1.35324955e+1, 661138, 5
5.24321859e+1, 1.3532741e+1, 666133, 5
5.24320252e+1, 1.35329872e+1, 671107, 5
5.24318522e+1, 1.35332485e+1, 676129, 5
5.24316998e+1, 1.35334193e+1, 681110, 5
5.2431548e+1, 1.35336531e+1, 686115, 5
5.24314566e+1, 1.35335276e+1, 691136, 5
5.24313287e+1, 1.35333294e+1, 696122, 5
5.2431152e+1, 1.35331073e+1, 701140, 5
5.24309917e+1, 1.35328496e+1, 706093, 5
5.24308712e+1, 1.35325565e+1, 711143, 5
5.24307679e+1, 1.35322685e+1, 716140, 5
5.24306616e+1, 1.35319728e+1, 721139, 5
5.2430543e+1, 1.35316755e+1, 726137, 5
5.2430479e+1, 1.3531414e+1, 731135, 5
5.24304501e+1, 1.353129e+1, 736127, 5
5.2430452e+1, 1.35312935e+1, 741145, 5
