85346, audio, east_route
5.2430166e+1, 1.35313902e+1, 2548, 5
5.24301687e+1, 1.35313877e+1, 7580, 5
5.24301672e+1, 1.35313892e+1, 12011, 5
5.24301715e+1, 1.35313993e+1, 16823, 5
5.24301719e+1, 1.35313971e+1, 22540, 5
5.24301691e+1, 1.35313964e+1, 27115, 5
5.24301703e+1, 1.35313965e+1, 31970, 5
5.2430319e+1, 1.35317244e+1, 36671, 5
5.24305072e+1, 1.35321795e+1, 42519, 5
5.24306034e+1, 1.3532451e+1, 47529, 5
5.24306808e+1, 1.35326773e+1, 52544, 5
5.24307754e+1, 1.35329565e+1, 57566, 5
5.24308838e+1, 1.35332442e+1, 62549, 5
5.24310261e+1, 1.35335305e+1, 67536, 5
5.24311994e+1, 1.3533826e+1, 72546, 5
5.24313732e+1, 1.35340856e+1, 77517, 5
5.24315422e+1, 1.35343455e+1, 82524, 5
5.24316966e+1, 1.3534594e+1, 87563, 5
5.24318758e+1, 1.35348519e+1, 92539, 5
5.24320274e+1, 1.35351036e+1, 97531, 5
5.24321902e+1, 1.35353592e+1, 102538, 5
5.24323514e+1, 1.35356265e+1, 107570, 5
5.24324945e+1, 1.35358801e+1, 112526, 5
5.2432643e+1, 1.35361269e+1, 117540, 5
5.24327817e+1, 1.35363253e+1, 122576, 5
5.24328102e+1, 1.35363446e+1, 127542, 5
5.24328124e+1, 1.35363354e+1, 132542, 5
5.24328644e+1, 1.35364457e+1, 137548, 5
5.24330013e+1, 1.35365998e+1, 142527, 5
5.24329898e+1, 1.35365743e+1, 147546, 5
5.24329603e+1, 1.35365624e+1, 152544, 5
5.24329547e+1, 1.35365619e+1, 157522, 5
5.24329545e+1, 1.35365619e+1, 162529, 5
5.2432961e+1, 1.35365488e+1, 167512, 5
5.24330243e+1, 1.35364098e+1, 172528, 5
5.24330229e+1, 1.35364226e+1, 177176, 5
5.24331819e+1, 1.35364217e+1, 182077, 5
5.24334234e+1, 1.35365324e+1, 187428, 5
5.24334818e+1, 1.35363453e+1, 192395, 4
5.24336331e+1, 1.35361404e+1, 197224, 4
5.24338692e+1, 1.35358676e+1, 202482, 4
5.24340133e+1, 1.35357301e+1, 207557, 4
5.24340289e+1, 1.35355414e+1, 212011, 3
5.24341057e+1, 1.35354402e+1, 217477, 1
5.24342036e+1, 1.35353006e+1, 222543, 1
5.24342997e+1, 1.35351466e+1, 227537, 1
5.24343828e+1, 1.35350028e+1, 232526, 2
5.24344678e+1, 1.35348644e+1, 237534, 2
5.24345578e+1, 1.35347431e+1, 242531, 1
5.24346135e+1, 1.35347267e+1, 247527, 1
5.24346517e+1, 1.35346681e+1, 252560, 1
5.24347251e+1, 1.35347854e+1, 257490, 1
5.24348051e+1, 1.35349697e+1, 262527, 5
5.24349291e+1, 1.35351888e+1, 267519, 5
5.24350768e+1, 1.35354038e+1, 272555, 5
5.24352108e+1, 1.35354741e+1, 277540, 5
5.2435354e+1, 1.35352695e+1, 282524, 5
5.24354796e+1, 1.35350213e+1, 287557, 5
5.24356254e+1, 1.35347903e+1, 292534, 5
5.24357944e+1, 1.35345468e+1, 297543, 5
5.24356697e+1, 1.35342923e+1, 302550, 5
5.24356108e+1, 1.353415e+1, 307543, 5
5.24356846e+1, 1.35338492e+1, 312409, 5
5.24357166e+1, 1.35335706e+1, 317533, 5
5.24355784e+1, 1.35333577e+1, 322069, 5
5.24354076e+1, 1.35330691e+1, 327565, 5
5.24353614e+1, 1.35328033e+1, 332552, 5
5.24352132e+1, 1.35325745e+1, 337545, 5
5.24350607e+1, 1.35323308e+1, 342533, 5
5.24349006e+1, 1.35320596e+1, 347549, 5
5.24347512e+1, 1.35318035e+1, 352535, 5
5.24346561e+1, 1.35315721e+1, 357561, 5
5.24345399e+1, 1.35314314e+1, 362569, 5
5.24344342e+1, 1.35312083e+1, 367541, 5
5.24342901e+1, 1.35309452e+1, 372533, 5
5.24341259e+1, 1.35306642e+1, 377525, 5
5.24339641e+1, 1.35303946e+1, 382544, 5
5.24337979e+1, 1.35301101e+1, 387550, 5
5.24336001e+1, 1.35298582e+1, 392552, 5
5.24334479e+1, 1.35295808e+1, 397548, 5
5.24332784e+1, 1.3529309e+1, 402539, 5
5.24331409e+1, 1.35289982e+1, 407540, 5
5.24329799e+1, 1.35286833e+1, 412541, 5
5.24328153e+1, 1.35284232e+1, 417530, 5
5.24326258e+1, 1.3528123e+1, 422533, 5
5.24324531e+1, 1.35278525e+1, 427527, 5
5.24322932e+1, 1.35275687e+1, 432549, 5
5.24321428e+1, 1.35272945e+1, 437537, 5
5.24320239e+1, 1.35270921e+1, 442544, 5
5.24318883e+1, 1.35271742e+1, 447538, 5
5.24316905e+1, 1.35273522e+1, 452555, 5
5.24314673e+1, 1.35275243e+1, 457546, 5
5.2431272e+1, 1.35277194e+1, 462532, 5
5.24310649e+1, 1.35279189e+1, 467542, 5
5.24308477e+1, 1.35281177e+1, 472527, 5
5.24306372e+1, 1.35282974e+1, 477526, 5
5.24304181e+1, 1.35285005e+1, 482560, 5
5.24303862e+1, 1.35288508e+1, 487540, 5
5.2430404e+1, 1.35292293e+1, 492522, 5
5.24303992e+1, 1.35296322e+1, 497535, 5
5.24303879e+1, 1.35300515e+1, 502537, 5
5.24303833e+1, 1.35304601e+1, 507521, 5
5.24304081e+1, 1.35307802e+1, 512531, 5
5.2430487e+1, 1.35309952e+1, 517553, 5
5.24304422e+1, 1.353107e+1, 522532, 5
