79aa1, device, south_route
5.24299028e+1, 1.35310226e+1, 3734, 3
5.24299131e+1, 1.35310162e+1, 8768, 3
5.24299313e+1, 1.35310092e+1, 13731, 3
5.24299318e+1, 1.35310592e+1, 18759, 3
5.24299202e+1, 1.35310611e+1, 23796, 3
5.24299073e+1, 1.35310161e+1, 28737, 3
5.24299039e+1, 1.35309869e+1, 33720, 3
5.2429901e+1, 1.35309867e+1, 38741, 3
5.24298902e+1, 1.35309968e+1, 43741, 3
5.24299145e+1, 1.35310137e+1, 48773, 3
5.24299172e+1, 1.35310135e+1, 53786, 3
5.24299096e+1, 1.35309991e+1, 58785, 3
5.24299074e+1, 1.35310115e+1, 63774, 3
5.24299065e+1, 1.35310114e+1, 68781, 3
5.24299073e+1, 1.35309914e+1, 73780, 3
5.24298998e+1, 1.35309905e+1, 78788, 3
5.24298929e+1, 1.35309972e+1, 83769, 3
5.24298897e+1, 1.35310041e+1, 88778, 3
5.2429893e+1, 1.35310071e+1, 93784, 3
5.24298908e+1, 1.35310133e+1, 98785, 3
5.24298933e+1, 1.35310125e+1, 103770, 3
5.24299038e+1, 1.35310142e+1, 108783, 3
5.24299169e+1, 1.35310132e+1, 113771, 3
5.24299214e+1, 1.35310055e+1, 118786, 3
5.24299283e+1, 1.35310072e+1, 123780, 3
5.24299266e+1, 1.35310086e+1, 128781, 3
5.24299181e+1, 1.35310119e+1, 133769, 3
5.24299059e+1, 1.35310081e+1, 138785, 3
5.24298966e+1, 1.35309833e+1, 143783, 3
5.24298991e+1, 1.35310041e+1, 148789, 3
5.24298917e+1, 1.35310597e+1, 153793, 3
5.24298032e+1, 1.35311802e+1, 158798, 5
5.24296612e+1, 1.35313725e+1, 163784, 5
5.24295238e+1, 1.35316128e+1, 168780, 5
5.24295273e+1, 1.35316334e+1, 173793, 5
5.24295222e+1, 1.35316494e+1, 178665, 5
5.24290995e+1, 1.35320336e+1, 183767, 5
5.24288502e+1, 1.35325205e+1, 188369, 5
5.24288541e+1, 1.35326089e+1, 193150, 5
5.24286511e+1, 1.35329167e+1, 198389, 5
5.24284745e+1, 1.35331397e+1, 202989, 5
5.24283211e+1, 1.35334069e+1, 207977, 5
5.24281543e+1, 1.35337309e+1, 213796, 5
5.24279824e+1, 1.35339282e+1, 218797, 5
5.24277855e+1, 1.35342008e+1, 223775, 5
5.24275334e+1, 1.35345695e+1, 228799, 5
5.24273248e+1, 1.35348608e+1, 233790, 5
