c069f, audio, east_route
5.24299233e+1, 1.35310619e+1, 34, 3
5.242992e+1, 1.35310738e+1, 5026, 3
5.24299453e+1, 1.35310696e+1, 10039, 3
5.24299384e+1, 1.35310587e+1, 15058, 3
5.24299365e+1, 1.35310627e+1, 20062, 3
5.24299381e+1, 1.35310658e+1, 25065, 3
5.24299568e+1, 1.35310827e+1, 30066, 3
5.24299742e+1, 1.3531082e+1, 35066, 3
5.24299861e+1, 1.35310991e+1, 40064, 3
5.24299878e+1, 1.35311016e+1, 45054, 3
5.24299925e+1, 1.35311043e+1, 50063, 3
5.24299898e+1, 1.35310887e+1, 55064, 3
5.24299939e+1, 1.35310898e+1, 60071, 3
5.24300009e+1, 1.3531085e+1, 65004, 3
5.24299737e+1, 1.35310669e+1, 70022, 3
5.24299599e+1, 1.35310117e+1, 74983, 3
5.24299517e+1, 1.35309963e+1, 80029, 3
5.24300199e+1, 1.35310595e+1, 85024, 3
5.2430081e+1, 1.35310858e+1, 89496, 3
5.24301247e+1, 1.35311275e+1, 94637, 3
5.2430364e+1, 1.3531767e+1, 99613, 3
5.24304566e+1, 1.35320565e+1, 104498, 2
5.24305574e+1, 1.35323681e+1, 110035, 2
5.24306527e+1, 1.35326447e+1, 115037, 4
5.24307603e+1, 1.35329384e+1, 120044, 4
5.24308791e+1, 1.35332268e+1, 125031, 3
5.24310193e+1, 1.35334974e+1, 130010, 3
5.24311381e+1, 1.35337246e+1, 135029, 3
5.24312911e+1, 1.35339462e+1, 140003, 2
5.24314294e+1, 1.35341567e+1, 145031, 2
5.24315545e+1, 1.35343781e+1, 150025, 2
5.24317107e+1, 1.35346021e+1, 155023, 2
5.24318529e+1, 1.35348072e+1, 160038, 1
5.24319701e+1, 1.35350508e+1, 165029, 1
5.24320941e+1, 1.353526e+1, 170029, 2
5.24322301e+1, 1.3535475e+1, 175043, 2
5.24323812e+1, 1.35356927e+1, 180022, 2
5.24325053e+1, 1.35359159e+1, 185007, 2
5.24326344e+1, 1.35361182e+1, 190046, 2
5.24327537e+1, 1.35362937e+1, 195038, 2
5.24327897e+1, 1.35363064e+1, 200034, 2
5.24328332e+1, 1.35363841e+1, 205028, 2
5.24329684e+1, 1.35365581e+1, 210035, 2
5.2432997e+1, 1.35365636e+1, 215044, 2
5.24329965e+1, 1.35365622e+1, 220025, 2
5.24329965e+1, 1.35365621e+1, 225032, 2
5.24329965e+1, 1.35365621e+1, 230011, 2
5.24329905e+1, 1.35365567e+1, 235014, 2
5.2432989e+1, 1.3536559e+1, 240018, 2
5.24330221e+1, 1.35364944e+1, 245026, 1
5.24331199e+1, 1.3536326e+1, 250015, 1
5.24332393e+1, 1.35362955e+1, 255023, 1
5.24333489e+1, 1.35364044e+1, 260021, 1
