1bc97, mapping, north_route
5.24308099e+1, 1.35309691e+1, 655, 3
5.24307803e+1, 1.35309505e+1, 5646, 3
5.2430762e+1, 1.3530948e+1, 10661, 3
5.24307403e+1, 1.35309175e+1, 15666, 3
5.24307039e+1, 1.35308747e+1, 20671, 3
5.24306687e+1, 1.35308518e+1, 25679, 3
5.24306695e+1, 1.35308709e+1, 30656, 3
5.24302999e+1, 1.35304023e+1, 34994, 3
5.2430276e+1, 1.35303418e+1, 39551, 3
5.24310452e+1, 1.35303536e+1, 45612, 3
5.24311549e+1, 1.353019e+1, 50633, 3
5.24312487e+1, 1.35300395e+1, 55633, 3
5.24312757e+1, 1.35298844e+1, 60628, 3
5.24313717e+1, 1.35297716e+1, 65612, 3
5.24314801e+1, 1.35295975e+1, 70630, 3
5.24315958e+1, 1.35294402e+1, 75613, 3
5.24317287e+1, 1.35292427e+1, 80620, 3
5.24317365e+1, 1.35291924e+1, 85298, 3
5.24319843e+1, 1.35289391e+1, 89809, 3
5.24321252e+1, 1.35286978e+1, 94853, 3
5.24321648e+1, 1.35285361e+1, 99513, 3
5.24323972e+1, 1.35283883e+1, 104258, 3
5.24324683e+1, 1.35283052e+1, 109111, 3
5.24325942e+1, 1.35280889e+1, 113926, 3
5.2432695e+1, 1.35279935e+1, 118654, 3
5.24328041e+1, 1.35278561e+1, 123226, 3
5.24329481e+1, 1.35276242e+1, 127936, 3
5.24330665e+1, 1.35274019e+1, 132571, 3
5.24332144e+1, 1.35271806e+1, 137537, 3
5.24333349e+1, 1.35269673e+1, 143015, 3
5.24334692e+1, 1.35268009e+1, 148100, 3
5.24335289e+1, 1.3526688e+1, 153089, 3
5.2433627e+1, 1.35264566e+1, 158124, 3
5.2433792e+1, 1.35262652e+1, 162912, 3
5.24339087e+1, 1.35260399e+1, 167608, 3
5.24340562e+1, 1.3525839e+1, 172224, 2
5.24341838e+1, 1.35256157e+1, 176937, 2
5.24343369e+1, 1.35254253e+1, 183494, 2
5.24344675e+1, 1.35254132e+1, 188192, 2
5.24344641e+1, 1.35253219e+1, 193653, 2
5.24344496e+1, 1.35252352e+1, 200612, 2
5.24344973e+1, 1.35251389e+1, 205628, 2
5.24346269e+1, 1.3524944e+1, 210625, 3
5.24347647e+1, 1.35247692e+1, 215621, 3
5.24349083e+1, 1.35245797e+1, 220628, 3
5.2435027e+1, 1.35243499e+1, 225617, 3
5.24351901e+1, 1.3524128e+1, 230630, 3
5.24353137e+1, 1.35238809e+1, 235598, 3
5.24354412e+1, 1.35237143e+1, 240057, 3
5.24355786e+1, 1.35235571e+1, 244895, 3
5.24356698e+1, 1.35234228e+1, 249573, 3
5.24356953e+1, 1.35232794e+1, 254735, 3
5.24357928e+1, 1.3523019e+1, 260647, 3
5.24359181e+1, 1.35228091e+1, 265614, 3
5.24360517e+1, 1.35226097e+1, 270625, 3
5.24361667e+1, 1.35224309e+1, 275615, 3
5.2436284e+1, 1.35224721e+1, 280624, 1
5.24364654e+1, 1.35224754e+1, 285620, 1
5.24366534e+1, 1.35224199e+1, 290639, 1
5.24368341e+1, 1.35223824e+1, 295634, 1
5.24370249e+1, 1.35223396e+1, 300636, 1
5.24372334e+1, 1.35222894e+1, 305653, 1
5.24374294e+1, 1.35222352e+1, 310624, 1
5.24376455e+1, 1.35221894e+1, 315609, 1
5.24378534e+1, 1.35221327e+1, 320623, 1
5.24380206e+1, 1.35220923e+1, 325630, 3
5.24381529e+1, 1.35221931e+1, 330625, 3
5.24381535e+1, 1.35224879e+1, 335634, 3
5.24381484e+1, 1.35228153e+1, 340613, 3
5.24381493e+1, 1.35231511e+1, 345640, 3
5.24381557e+1, 1.35234785e+1, 350632, 3
5.24381525e+1, 1.35238127e+1, 355655, 3
5.24381481e+1, 1.3524154e+1, 360623, 3
5.24381488e+1, 1.35244948e+1, 365617, 3
5.24381518e+1, 1.35248265e+1, 370623, 3
5.24381497e+1, 1.3525146e+1, 375628, 3
5.24381501e+1, 1.35254698e+1, 380638, 3
5.24381581e+1, 1.35257623e+1, 385638, 3
5.24381567e+1, 1.35260513e+1, 390636, 4
5.24381164e+1, 1.3526314e+1, 395246, 4
5.24379912e+1, 1.35264667e+1, 400571, 4
5.24378976e+1, 1.35265935e+1, 405515, 4
5.24376798e+1, 1.35269095e+1, 410131, 4
5.2437479e+1, 1.35271697e+1, 415120, 4
5.24373701e+1, 1.35273177e+1, 419967, 4
5.24372091e+1, 1.35275315e+1, 424475, 4
5.24370639e+1, 1.35276599e+1, 429427, 4
5.24369527e+1, 1.35278428e+1, 434650, 4
5.24367918e+1, 1.35279852e+1, 439412, 4
5.24366602e+1, 1.35282905e+1, 444212, 4
5.24365359e+1, 1.3528529e+1, 448967, 4
5.2436413e+1, 1.35287274e+1, 453554, 4
5.24362845e+1, 1.35288812e+1, 458235, 4
5.24361665e+1, 1.35290269e+1, 462794, 4
5.24359454e+1, 1.35294178e+1, 470618, 4
5.24358027e+1, 1.35296253e+1, 475629, 4
5.24357076e+1, 1.35297645e+1, 480604, 3
5.24356132e+1, 1.35296851e+1, 485608, 3
5.24355008e+1, 1.35294517e+1, 490635, 3
5.24353664e+1, 1.35292566e+1, 495646, 3
5.24352436e+1, 1.35290581e+1, 500641, 3
5.24351779e+1, 1.35288855e+1, 505621, 3
5.2435077e+1, 1.35290175e+1, 510631, 3
5.24349477e+1, 1.35292435e+1, 515629, 3
5.24347953e+1, 1.35294017e+1, 520653, 3
5.2434624e+1, 1.35293757e+1, 525609, 3
5.24345027e+1, 1.35295325e+1, 530639, 3
5.24343686e+1, 1.35296453e+1, 535620, 3
5.24342304e+1, 1.352981e+1, 540634, 3
5.2434136e+1, 1.35300284e+1, 545630, 3
5.24340168e+1, 1.35302057e+1, 550630, 2
5.24339464e+1, 1.3530305e+1, 555628, 2
5.2433929e+1, 1.35303135e+1, 560634, 2
5.24339357e+1, 1.35303067e+1, 565628, 2
5.24338527e+1, 1.35304238e+1, 570616, 2
5.24337252e+1, 1.35305046e+1, 575625, 2
5.24335928e+1, 1.35306105e+1, 580646, 2
5.24334408e+1, 1.35308392e+1, 585628, 2
5.24333045e+1, 1.35311575e+1, 590639, 2
5.2433174e+1, 1.35314376e+1, 595627, 2
5.24330427e+1, 1.35316756e+1, 600636, 2
5.24329484e+1, 1.35315312e+1, 605649, 2
5.24328416e+1, 1.35316519e+1, 610645, 3
5.24326967e+1, 1.35318909e+1, 615625, 3
5.24325628e+1, 1.35321086e+1, 620633, 3
5.24324262e+1, 1.35323169e+1, 625642, 3
