d807f, device, south_route
5.24299404e+1, 1.35311541e+1, 2362, 3
5.24299418e+1, 1.35311248e+1, 7372, 3
5.24299426e+1, 1.35311007e+1, 12403, 3
5.24299258e+1, 1.35310878e+1, 17392, 3
5.24299087e+1, 1.35310706e+1, 22385, 3
5.24298864e+1, 1.35310652e+1, 27381, 3
5.24298635e+1, 1.35310637e+1, 32383, 3
5.24298542e+1, 1.35310544e+1, 37401, 3
5.24298514e+1, 1.35310554e+1, 42396, 3
5.24298386e+1, 1.35311109e+1, 47411, 3
5.24297283e+1, 1.35312809e+1, 52406, 3
5.24295946e+1, 1.35315075e+1, 57399, 3
5.24294499e+1, 1.35317253e+1, 62410, 3
5.24292996e+1, 1.35319306e+1, 67405, 3
5.24291385e+1, 1.35321472e+1, 72396, 3
5.24289981e+1, 1.35323639e+1, 77408, 3
5.24288813e+1, 1.35325488e+1, 82387, 3
5.24287542e+1, 1.35327367e+1, 87396, 3
5.24286111e+1, 1.35329537e+1, 92405, 4
5.24284731e+1, 1.35331586e+1, 97427, 4
5.24283301e+1, 1.35333611e+1, 102386, 4
5.24281794e+1, 1.35335708e+1, 107436, 4
5.24280276e+1, 1.35337917e+1, 112412, 4
5.24278799e+1, 1.35340018e+1, 117399, 4
5.24277373e+1, 1.35342099e+1, 122420, 4
5.24275862e+1, 1.35344311e+1, 127419, 4
5.24274347e+1, 1.35346532e+1, 132412, 4
5.24272855e+1, 1.35348678e+1, 137378, 3
5.24271648e+1, 1.35350802e+1, 142355, 3
5.2427251e+1, 1.35353461e+1, 147359, 3
5.24273999e+1, 1.35355687e+1, 152360, 3
5.24275222e+1, 1.35358029e+1, 157359, 3
5.24276466e+1, 1.35360326e+1, 162365, 3
5.242777e+1, 1.35362535e+1, 167353, 3
5.24279153e+1, 1.35364827e+1, 172362, 3
5.24280585e+1, 1.35367162e+1, 177354, 3
5.24282055e+1, 1.35369423e+1, 182366, 3
5.24283671e+1, 1.35371867e+1, 187338, 3
5.24284938e+1, 1.3537421e+1, 192364, 3
5.24286117e+1, 1.3537658e+1, 197335, 3
5.24287391e+1, 1.35379042e+1, 202349, 3
5.24288586e+1, 1.35381244e+1, 206851, 3
5.24289593e+1, 1.3538307e+1, 211580, 4
5.24290658e+1, 1.35384655e+1, 216237, 4
5.24292075e+1, 1.35387145e+1, 220999, 4
5.24293587e+1, 1.35389469e+1, 225536, 4
5.24294864e+1, 1.35391187e+1, 230217, 4
5.24296314e+1, 1.35393474e+1, 234961, 4
5.24297426e+1, 1.35395515e+1, 239899, 4
5.24299226e+1, 1.35398557e+1, 245342, 4
5.24300221e+1, 1.35400287e+1, 249935, 4
5.24301826e+1, 1.35402903e+1, 255036, 4
5.24303073e+1, 1.3540492e+1, 260264, 4
5.24304382e+1, 1.35405968e+1, 265083, 4
5.24305892e+1, 1.35405327e+1, 270554, 4
5.24306979e+1, 1.35402967e+1, 275400, 2
5.2430915e+1, 1.35400575e+1, 282368, 2
5.24310737e+1, 1.35398518e+1, 287353, 2
5.24312033e+1, 1.35396225e+1, 292349, 3
5.24313227e+1, 1.35393179e+1, 297376, 3
5.24314483e+1, 1.35390664e+1, 302391, 3
5.24315756e+1, 1.35388546e+1, 307369, 3
5.24317106e+1, 1.3538568e+1, 312361, 3
5.24318579e+1, 1.35383948e+1, 317384, 3
5.2431987e+1, 1.35381736e+1, 322344, 3
5.2432119e+1, 1.35379423e+1, 327381, 3
5.24322747e+1, 1.35376994e+1, 332382, 3
5.24324196e+1, 1.35374716e+1, 337376, 3
5.24325531e+1, 1.35372147e+1, 342379, 3
5.24326949e+1, 1.3536989e+1, 347348, 3
5.24327969e+1, 1.35367987e+1, 352201, 3
5.24328799e+1, 1.35366829e+1, 356717, 3
5.24329001e+1, 1.3536656e+1, 362366, 3
5.24329135e+1, 1.35366615e+1, 367374, 3
5.24329153e+1, 1.35366623e+1, 372358, 3
5.24329355e+1, 1.35366037e+1, 377367, 3
5.24329109e+1, 1.3536677e+1, 382346, 3
5.24329064e+1, 1.353669e+1, 387335, 3
5.24329056e+1, 1.3536692e+1, 392365, 3
5.24329055e+1, 1.35366923e+1, 397353, 3
5.24329055e+1, 1.35366924e+1, 402331, 3
5.24329055e+1, 1.35366924e+1, 407347, 3
5.24329055e+1, 1.35366924e+1, 412361, 3
5.24329055e+1, 1.35366924e+1, 417361, 3
5.24329055e+1, 1.35366924e+1, 422359, 3
5.24329055e+1, 1.35366924e+1, 427379, 3
5.24329055e+1, 1.35366924e+1, 432349, 3
5.24329118e+1, 1.35365961e+1, 437365, 3
5.24330357e+1, 1.3536371e+1, 442354, 3
5.24330831e+1, 1.35361369e+1, 447381, 3
5.24329711e+1, 1.35358346e+1, 452359, 2
5.24327916e+1, 1.35356155e+1, 457375, 2
5.24326292e+1, 1.35354158e+1, 462377, 2
5.24325192e+1, 1.35352328e+1, 467399, 3
5.24324818e+1, 1.35352033e+1, 472377, 3
5.2432487e+1, 1.35352158e+1, 477388, 3
5.24324872e+1, 1.35352162e+1, 482367, 3
5.24324712e+1, 1.35351516e+1, 487367, 3
5.24324254e+1, 1.35350696e+1, 492371, 3
5.24324243e+1, 1.35349908e+1, 497324, 3
5.24325712e+1, 1.35348122e+1, 502379, 3
5.24327322e+1, 1.35346035e+1, 507379, 3
5.24329232e+1, 1.35343775e+1, 512388, 3
5.2433073e+1, 1.353413e+1, 517392, 3
5.24332151e+1, 1.3533877e+1, 522388, 4
5.24333722e+1, 1.35336529e+1, 527368, 4
5.24335263e+1, 1.35334425e+1, 532391, 4
5.24336705e+1, 1.35332627e+1, 537389, 3
5.24337472e+1, 1.35330772e+1, 542182, 3
5.24336468e+1, 1.35329266e+1, 546735, 3
5.24335175e+1, 1.35326551e+1, 552372, 3
5.24333894e+1, 1.35324909e+1, 557388, 3
5.24333466e+1, 1.35323883e+1, 562387, 3
5.24332787e+1, 1.35322604e+1, 567388, 3
5.2433161e+1, 1.35321012e+1, 572386, 3
5.24330372e+1, 1.35319958e+1, 577396, 3
5.24331032e+1, 1.35318373e+1, 582395, 3
5.24330222e+1, 1.35317254e+1, 587383, 3
5.2433088e+1, 1.35315821e+1, 592393, 3
5.24332317e+1, 1.35313959e+1, 597402, 2
5.24333309e+1, 1.35312438e+1, 602391, 2
5.24332414e+1, 1.35309908e+1, 607393, 2
5.24330931e+1, 1.35307448e+1, 612393, 2
5.24329522e+1, 1.35305406e+1, 617376, 2
5.2432805e+1, 1.35303507e+1, 622384, 2
5.24326923e+1, 1.35301289e+1, 627390, 2
5.24326046e+1, 1.35300013e+1, 632382, 2
5.24325378e+1, 1.35299758e+1, 637379, 2
5.24324201e+1, 1.35300951e+1, 642394, 2
5.24322758e+1, 1.35303346e+1, 647388, 2
5.24321438e+1, 1.353052e+1, 652381, 2
5.24319979e+1, 1.35304015e+1, 657365, 2
5.24318928e+1, 1.35302025e+1, 662374, 2
5.24317738e+1, 1.3529985e+1, 667376, 3
5.24316252e+1, 1.35297593e+1, 672376, 3
5.24315444e+1, 1.35296259e+1, 677386, 1
5.24314993e+1, 1.3529536e+1, 682385, 2
5.24313906e+1, 1.35295942e+1, 687372, 2
5.24312924e+1, 1.35297903e+1, 692361, 2
5.2431181e+1, 1.35299743e+1, 697388, 3
5.24310702e+1, 1.35301484e+1, 702385, 4
5.24309324e+1, 1.3530383e+1, 707380, 4
5.24308105e+1, 1.35305742e+1, 712381, 4
5.24306802e+1, 1.35307786e+1, 717393, 4
5.24305612e+1, 1.35309473e+1, 722382, 4
5.24304557e+1, 1.35310094e+1, 727379, 4
