c5fc1, audio, east_route
5.24298171e+1, 1.35309805e+1, 1602, 2
5.24298244e+1, 1.35309801e+1, 6601, 2
5.24298276e+1, 1.35309808e+1, 11605, 2
5.24298307e+1, 1.35309839e+1, 16549, 2
5.24298329e+1, 1.35309874e+1, 21612, 2
5.2429833e+1, 1.35309885e+1, 26616, 2
5.2429834e+1, 1.35309856e+1, 31610, 2
5.24298493e+1, 1.35309662e+1, 36609, 2
5.24298934e+1, 1.35309997e+1, 41597, 2
5.24298925e+1, 1.35309599e+1, 46609, 2
5.2430079e+1, 1.35312178e+1, 51276, 2
5.24301094e+1, 1.35312579e+1, 55846, 2
5.24302529e+1, 1.35315516e+1, 61556, 2
5.24303332e+1, 1.35317464e+1, 66567, 2
5.24304102e+1, 1.3531957e+1, 71577, 2
5.24304898e+1, 1.35321776e+1, 76563, 2
5.24305742e+1, 1.35324049e+1, 81569, 2
5.24306614e+1, 1.35326362e+1, 86561, 2
5.24307479e+1, 1.35328928e+1, 91580, 2
5.24308472e+1, 1.35331427e+1, 96558, 2
5.24309456e+1, 1.35333663e+1, 101570, 2
5.24310706e+1, 1.35335518e+1, 106570, 3
5.24312023e+1, 1.35337357e+1, 111574, 3
5.24313277e+1, 1.3533938e+1, 116562, 3
5.2431446e+1, 1.3534131e+1, 121560, 3
5.24315569e+1, 1.35343306e+1, 126579, 3
5.2431682e+1, 1.35345159e+1, 131563, 3
5.24317895e+1, 1.3534708e+1, 136558, 3
5.24318991e+1, 1.35349314e+1, 141578, 2
5.24319968e+1, 1.35350842e+1, 146562, 2
5.24320969e+1, 1.35352386e+1, 151557, 2
5.24322264e+1, 1.35354217e+1, 156576, 2
5.24323558e+1, 1.35356011e+1, 161572, 2
5.24324797e+1, 1.35358172e+1, 166574, 3
5.24325843e+1, 1.35360264e+1, 171591, 3
5.24327001e+1, 1.35362299e+1, 176569, 3
5.24327954e+1, 1.35363486e+1, 181583, 3
5.24327952e+1, 1.35363379e+1, 186581, 3
5.24327894e+1, 1.35363323e+1, 191568, 3
5.24327976e+1, 1.35363365e+1, 196555, 3
5.24328704e+1, 1.35362198e+1, 201554, 3
