67cd2, device, south_route
5.24298617e+1, 1.35310416e+1, 3773, 3
5.24298485e+1, 1.35310318e+1, 8791, 3
5.24298425e+1, 1.3531044e+1, 13785, 3
5.24298647e+1, 1.3531105e+1, 18790, 3
5.24298395e+1, 1.35311557e+1, 23783, 3
5.24297832e+1, 1.35312761e+1, 28736, 5
5.24296795e+1, 1.35314129e+1, 33740, 5
5.2429553e+1, 1.35315497e+1, 38750, 5
5.24294157e+1, 1.35317164e+1, 43739, 5
5.24292902e+1, 1.35318788e+1, 48743, 5
5.24291274e+1, 1.35320313e+1, 53760, 5
5.24289866e+1, 1.35321773e+1, 58753, 5
5.24288871e+1, 1.35323885e+1, 63764, 5
5.24287743e+1, 1.35326045e+1, 68770, 5
5.2428668e+1, 1.35328063e+1, 73761, 5
5.24285435e+1, 1.35330029e+1, 78775, 5
5.24284221e+1, 1.35332139e+1, 83751, 5
5.24282858e+1, 1.35334076e+1, 88746, 5
5.24281321e+1, 1.35335915e+1, 93770, 5
5.24279935e+1, 1.35337861e+1, 98757, 5
5.24278672e+1, 1.35339512e+1, 103763, 5
5.2427754e+1, 1.35341522e+1, 108769, 5
5.24276346e+1, 1.35343434e+1, 113747, 5
5.24275066e+1, 1.35345414e+1, 118774, 5
5.24273816e+1, 1.35347366e+1, 123763, 5
5.24272475e+1, 1.35349516e+1, 128755, 5
5.24271594e+1, 1.35351709e+1, 133758, 5
5.24272708e+1, 1.35353983e+1, 138761, 5
5.24273902e+1, 1.35356197e+1, 143753, 5
5.24274878e+1, 1.35358152e+1, 148752, 5
5.24276042e+1, 1.35360131e+1, 153754, 5
5.2427723e+1, 1.35362091e+1, 158737, 5
5.2427839e+1, 1.35364106e+1, 163760, 5
5.24279628e+1, 1.35366129e+1, 168756, 4
5.24280949e+1, 1.35368066e+1, 173771, 4
5.24282243e+1, 1.35370153e+1, 178749, 4
5.24283701e+1, 1.3537191e+1, 183756, 4
5.2428501e+1, 1.3537389e+1, 188755, 4
5.24286203e+1, 1.3537595e+1, 193776, 4
5.24287259e+1, 1.35378303e+1, 198793, 4
5.24288227e+1, 1.35380596e+1, 203761, 4
5.24289133e+1, 1.35382861e+1, 208772, 4
5.24290706e+1, 1.35384738e+1, 213736, 5
5.24292271e+1, 1.35386719e+1, 218756, 5
5.24293445e+1, 1.35388857e+1, 223745, 5
5.24294536e+1, 1.35390889e+1, 228771, 5
5.24295891e+1, 1.35393022e+1, 233755, 5
5.24296906e+1, 1.35395176e+1, 238753, 5
5.24298351e+1, 1.35397354e+1, 243787, 5
5.24299477e+1, 1.35399463e+1, 248765, 5
5.24300701e+1, 1.35401531e+1, 253763, 5
5.2430168e+1, 1.35403632e+1, 258759, 5
5.24302838e+1, 1.35405234e+1, 263771, 5
5.24303553e+1, 1.35405852e+1, 268761, 5
5.24303775e+1, 1.35405989e+1, 273744, 5
5.24304453e+1, 1.35406646e+1, 278751, 5
5.24305741e+1, 1.35405306e+1, 283763, 5
5.2430675e+1, 1.35403777e+1, 288773, 2
5.24307746e+1, 1.35402238e+1, 293752, 2
5.2430883e+1, 1.35400435e+1, 298770, 2
5.24310174e+1, 1.35398652e+1, 303754, 2
5.24311337e+1, 1.35397058e+1, 308758, 2
5.24312436e+1, 1.35394905e+1, 313763, 2
5.24313543e+1, 1.35392805e+1, 318770, 2
5.24314758e+1, 1.35390248e+1, 323790, 2
5.24315962e+1, 1.35388256e+1, 328753, 2
5.24316989e+1, 1.35385439e+1, 333794, 2
5.24318019e+1, 1.35383929e+1, 338765, 2
5.24319236e+1, 1.3538186e+1, 343759, 2
5.24320552e+1, 1.35379808e+1, 348767, 2
5.24321821e+1, 1.35377895e+1, 353761, 2
5.24323032e+1, 1.35375733e+1, 358770, 2
5.24324241e+1, 1.3537408e+1, 363739, 2
5.24325508e+1, 1.35371302e+1, 368763, 2
5.24326842e+1, 1.35369314e+1, 373771, 2
5.24327923e+1, 1.3536789e+1, 378779, 2
5.24328639e+1, 1.35367031e+1, 383770, 2
5.24328866e+1, 1.35366762e+1, 388765, 2
5.24328832e+1, 1.35366756e+1, 393784, 2
5.24328649e+1, 1.3536679e+1, 398732, 2
5.24328611e+1, 1.3536671e+1, 403757, 2
5.24328442e+1, 1.35366549e+1, 408772, 2
5.24328331e+1, 1.35366263e+1, 413804, 2
5.24329495e+1, 1.35365104e+1, 418803, 2
5.24329877e+1, 1.35364521e+1, 423801, 2
5.2433012e+1, 1.35364718e+1, 428819, 2
5.24330146e+1, 1.35364737e+1, 433740, 2
5.24330146e+1, 1.35364737e+1, 438751, 2
5.2433023e+1, 1.35364189e+1, 443768, 2
5.24330975e+1, 1.35362047e+1, 448750, 2
