d3975, mapping, north_route
5.24305014e+1, 1.35309541e+1, 4668, 5
5.24305014e+1, 1.35309541e+1, 9709, 5
5.24305014e+1, 1.35309541e+1, 14703, 5
5.24305014e+1, 1.35309541e+1, 19679, 5
5.24305014e+1, 1.35309541e+1, 24717, 5
5.24305014e+1, 1.35309541e+1, 29698, 5
5.24305014e+1, 1.35309541e+1, 34705, 5
5.24305014e+1, 1.35309541e+1, 39704, 5
5.24305014e+1, 1.35309541e+1, 44726, 5
5.24305014e+1, 1.35309541e+1, 49709, 5
5.24305014e+1, 1.35309541e+1, 54713, 5
5.24304886e+1, 1.35309518e+1, 59703, 5
5.24304767e+1, 1.35309318e+1, 64410, 5
5.24304778e+1, 1.35309227e+1, 69729, 5
5.24304914e+1, 1.35309331e+1, 74416, 5
5.24304977e+1, 1.35309258e+1, 79718, 5
5.24306826e+1, 1.35307442e+1, 84732, 5
5.24307904e+1, 1.35306246e+1, 89720, 5
5.24308729e+1, 1.35305157e+1, 94725, 5
5.24309537e+1, 1.35303695e+1, 99725, 5
5.24310395e+1, 1.35302451e+1, 104739, 5
5.24311129e+1, 1.35300962e+1, 109721, 5
5.24311778e+1, 1.35299406e+1, 114673, 3
5.24312349e+1, 1.35298024e+1, 119701, 3
5.24313315e+1, 1.35296911e+1, 124728, 3
5.24314225e+1, 1.35295706e+1, 129722, 3
5.24315133e+1, 1.35294848e+1, 134723, 3
5.24315849e+1, 1.35293249e+1, 139714, 3
5.24316716e+1, 1.35292173e+1, 144707, 3
5.24318037e+1, 1.3529148e+1, 149731, 3
5.2431892e+1, 1.35290139e+1, 154731, 3
5.24319736e+1, 1.35288248e+1, 159724, 3
5.24320715e+1, 1.35286953e+1, 164721, 3
5.24321594e+1, 1.35285574e+1, 169723, 3
5.24322511e+1, 1.35284481e+1, 174734, 3
5.24323665e+1, 1.3528304e+1, 179731, 3
5.24324813e+1, 1.35282057e+1, 184726, 3
5.2432588e+1, 1.35281151e+1, 189722, 4
5.24326852e+1, 1.35279703e+1, 194726, 4
5.24327876e+1, 1.35278469e+1, 199726, 4
5.24328809e+1, 1.35277139e+1, 204731, 4
5.24329458e+1, 1.35275292e+1, 209725, 4
5.24330394e+1, 1.35273894e+1, 214708, 4
5.24331374e+1, 1.35272543e+1, 219713, 4
5.24332221e+1, 1.35270843e+1, 224703, 4
5.24333032e+1, 1.35269584e+1, 229742, 4
5.24333923e+1, 1.35268318e+1, 234732, 4
5.24334907e+1, 1.35266854e+1, 239741, 4
5.24335885e+1, 1.35265861e+1, 244056, 4
5.24336903e+1, 1.3526468e+1, 249209, 4
5.24337172e+1, 1.35263462e+1, 253937, 4
5.24338569e+1, 1.35260865e+1, 258709, 4
5.24339765e+1, 1.35259344e+1, 264668, 4
5.24340805e+1, 1.35257415e+1, 269723, 4
5.2434182e+1, 1.35255922e+1, 274729, 4
5.24342987e+1, 1.35254725e+1, 279724, 4
5.24344214e+1, 1.35254239e+1, 284731, 2
5.2434486e+1, 1.35253646e+1, 289702, 2
5.24344241e+1, 1.35253026e+1, 294732, 2
5.24344888e+1, 1.35252386e+1, 299728, 2
5.24344537e+1, 1.35251452e+1, 304738, 4
5.24345689e+1, 1.35250185e+1, 309727, 4
5.24346576e+1, 1.35248473e+1, 314735, 4
5.24347401e+1, 1.35246927e+1, 319725, 4
5.24348578e+1, 1.35245996e+1, 324722, 4
5.24349391e+1, 1.35244093e+1, 329724, 4
5.24350519e+1, 1.35242865e+1, 334716, 4
5.24351658e+1, 1.35241794e+1, 339709, 4
5.24352255e+1, 1.35239509e+1, 344742, 4
5.24353139e+1, 1.35238144e+1, 349733, 4
5.2435442e+1, 1.35236957e+1, 354718, 4
5.2435541e+1, 1.35236039e+1, 359719, 4
5.24356451e+1, 1.35234453e+1, 364746, 4
5.24356974e+1, 1.3523301e+1, 369740, 4
5.24356865e+1, 1.35231534e+1, 374740, 4
5.24357703e+1, 1.35229984e+1, 379739, 4
5.24358537e+1, 1.35228766e+1, 384746, 4
