e216e, device, south_route
5.24297693e+1, 1.35311059e+1, 4761, 3
5.24297744e+1, 1.35310994e+1, 9751, 3
5.24297744e+1, 1.35310914e+1, 14768, 3
5.24297697e+1, 1.35310782e+1, 19786, 3
5.24297668e+1, 1.35310613e+1, 24770, 3
5.24297842e+1, 1.35310901e+1, 29802, 3
5.24297787e+1, 1.35311129e+1, 34786, 3
5.24297706e+1, 1.35311395e+1, 39796, 3
5.24297686e+1, 1.35311361e+1, 44767, 3
5.24297591e+1, 1.35311212e+1, 49792, 3
5.24297505e+1, 1.35311099e+1, 54804, 3
5.24297456e+1, 1.35311203e+1, 59782, 3
5.24297407e+1, 1.35310865e+1, 64798, 3
5.24297384e+1, 1.3531074e+1, 69799, 3
5.24297532e+1, 1.3531077e+1, 74784, 3
5.24297481e+1, 1.35310856e+1, 79774, 3
5.24297441e+1, 1.35310986e+1, 84785, 3
5.24297465e+1, 1.35310916e+1, 89782, 3
5.24297427e+1, 1.35310899e+1, 94773, 3
5.24297435e+1, 1.35310934e+1, 99787, 3
5.24297306e+1, 1.3531117e+1, 104790, 3
5.24297295e+1, 1.35311187e+1, 109783, 3
5.24297874e+1, 1.35311429e+1, 114778, 3
5.24297932e+1, 1.35311864e+1, 119788, 3
5.24297863e+1, 1.35312364e+1, 124447, 4
5.2429704e+1, 1.35313043e+1, 129111, 4
5.24295226e+1, 1.35314521e+1, 134796, 4
5.24293522e+1, 1.35317889e+1, 139807, 4
5.2429232e+1, 1.35319706e+1, 144758, 4
5.24291063e+1, 1.35321331e+1, 149731, 4
5.24289893e+1, 1.35323142e+1, 154750, 4
5.24288803e+1, 1.35325123e+1, 159760, 4
5.24287496e+1, 1.35326986e+1, 164756, 4
5.24286561e+1, 1.35328763e+1, 169738, 4
5.24285355e+1, 1.3533048e+1, 174776, 4
5.24283884e+1, 1.35332888e+1, 179759, 4
5.24282556e+1, 1.35335438e+1, 184748, 4
5.24280939e+1, 1.35337966e+1, 189704, 4
5.24279318e+1, 1.35339845e+1, 194759, 4
5.24277846e+1, 1.35341895e+1, 199745, 4
5.24277197e+1, 1.35342752e+1, 204616, 4
5.24276061e+1, 1.35344391e+1, 209735, 4
5.24274473e+1, 1.35346544e+1, 214590, 4
5.24272196e+1, 1.35350144e+1, 219761, 4
5.24271896e+1, 1.3535307e+1, 224617, 4
5.24272808e+1, 1.35355313e+1, 229250, 4
5.24274845e+1, 1.3535755e+1, 233757, 4
5.24276103e+1, 1.35359755e+1, 238779, 4
5.24277544e+1, 1.35362517e+1, 243895, 4
5.2427912e+1, 1.35365367e+1, 248865, 4
5.24280038e+1, 1.35367432e+1, 253408, 4
5.24282171e+1, 1.35370186e+1, 258386, 4
5.24283592e+1, 1.35372459e+1, 263970, 4
5.24285423e+1, 1.35374788e+1, 269593, 4
5.24286724e+1, 1.3537751e+1, 274752, 4
5.24288023e+1, 1.35380486e+1, 279409, 4
5.24289474e+1, 1.35382621e+1, 284468, 4
5.24290393e+1, 1.35384944e+1, 289739, 4
5.24292148e+1, 1.3538672e+1, 294375, 4
5.2429333e+1, 1.35388957e+1, 299689, 4
5.24294607e+1, 1.3538988e+1, 304250, 4
5.24296512e+1, 1.35393756e+1, 309153, 4
5.24297991e+1, 1.35396001e+1, 314230, 4
5.24298728e+1, 1.35399189e+1, 318783, 4
5.24300525e+1, 1.35401069e+1, 323730, 4
5.24302005e+1, 1.35403604e+1, 328374, 4
5.24303632e+1, 1.35405663e+1, 333071, 4
5.24304319e+1, 1.35406441e+1, 338569, 4
5.24305747e+1, 1.35405272e+1, 343349, 4
5.24306824e+1, 1.35403728e+1, 347960, 4
5.24308734e+1, 1.35400233e+1, 354753, 4
5.24310077e+1, 1.35398382e+1, 359730, 4
5.24311514e+1, 1.35395845e+1, 364769, 4
5.24312895e+1, 1.35393222e+1, 369734, 4
5.24314351e+1, 1.35391067e+1, 374758, 4
5.24315679e+1, 1.3538871e+1, 379762, 4
5.24316925e+1, 1.35385627e+1, 384769, 4
5.24318476e+1, 1.35383336e+1, 389729, 4
5.24320232e+1, 1.3538111e+1, 394753, 4
5.2432186e+1, 1.35378631e+1, 399753, 4
5.24323359e+1, 1.35375867e+1, 404748, 4
5.2432474e+1, 1.35373403e+1, 409756, 4
5.24326216e+1, 1.35371117e+1, 414750, 4
5.2432772e+1, 1.35368303e+1, 419745, 4
5.24328788e+1, 1.3536651e+1, 424751, 4
5.24328994e+1, 1.3536623e+1, 429753, 4
5.24328976e+1, 1.35366248e+1, 434745, 4
5.24328975e+1, 1.35366249e+1, 439744, 4
5.24328975e+1, 1.35366249e+1, 444749, 4
5.24328975e+1, 1.35366249e+1, 449751, 4
5.24328975e+1, 1.35366249e+1, 454762, 3
5.24328975e+1, 1.35366249e+1, 459752, 3
5.24328975e+1, 1.35366249e+1, 464743, 3
5.24328975e+1, 1.35366249e+1, 469757, 3
5.24329269e+1, 1.3536584e+1, 474750, 3
5.2433021e+1, 1.35364131e+1, 479751, 3
5.24330804e+1, 1.35362244e+1, 484751, 3
5.24329561e+1, 1.35359582e+1, 489745, 3
5.24328335e+1, 1.35357667e+1, 494763, 3
5.24326996e+1, 1.35355541e+1, 499753, 3
5.2432564e+1, 1.35353639e+1, 504747, 3
5.2432465e+1, 1.35352246e+1, 509749, 3
5.24324757e+1, 1.35350348e+1, 514762, 2
5.24326123e+1, 1.35348143e+1, 519731, 3
5.24327483e+1, 1.35345689e+1, 524777, 3
5.24328957e+1, 1.35343641e+1, 529747, 3
5.24330011e+1, 1.35341985e+1, 534760, 3
5.24331185e+1, 1.35340191e+1, 539763, 3
5.24332572e+1, 1.35338202e+1, 544763, 3
5.24334062e+1, 1.35335946e+1, 549770, 3
5.24335685e+1, 1.35333514e+1, 554748, 3
5.24337209e+1, 1.35331068e+1, 559756, 3
5.24338825e+1, 1.35328768e+1, 564783, 4
5.24340352e+1, 1.35326184e+1, 569745, 4
5.24341898e+1, 1.35323991e+1, 574758, 4
5.24343293e+1, 1.35322255e+1, 579760, 4
5.24344596e+1, 1.35319857e+1, 584745, 4
5.24345914e+1, 1.35317216e+1, 589757, 4
5.2434719e+1, 1.35315434e+1, 594749, 4
5.24346087e+1, 1.35315122e+1, 599737, 4
5.24344512e+1, 1.35317556e+1, 604749, 4
5.24343116e+1, 1.35319415e+1, 609759, 4
5.2434176e+1, 1.3532154e+1, 614763, 4
5.24339955e+1, 1.35324337e+1, 619768, 4
5.24338243e+1, 1.35326991e+1, 624752, 3
5.24336897e+1, 1.35329179e+1, 629765, 3
5.24335376e+1, 1.3532723e+1, 634772, 3
5.24333863e+1, 1.35324613e+1, 639762, 3
5.24332374e+1, 1.3532199e+1, 644744, 3
5.2433153e+1, 1.35320362e+1, 649762, 3
5.24331598e+1, 1.35320226e+1, 654765, 1
5.24330652e+1, 1.35320001e+1, 659761, 2
5.24331235e+1, 1.35318857e+1, 664752, 2
5.24330313e+1, 1.35317729e+1, 669760, 2
5.24330429e+1, 1.35316514e+1, 674755, 2
5.24331491e+1, 1.35315181e+1, 679751, 2
5.2433281e+1, 1.3531324e+1, 684764, 2
5.24334322e+1, 1.3531083e+1, 689780, 2
5.24335905e+1, 1.35309204e+1, 694761, 2
5.24337464e+1, 1.35306806e+1, 699749, 2
5.24338613e+1, 1.35304833e+1, 704750, 2
5.24338656e+1, 1.35304577e+1, 709759, 2
5.24338643e+1, 1.35304614e+1, 714751, 2
5.24337734e+1, 1.35306002e+1, 719748, 2
5.24336409e+1, 1.3530785e+1, 724761, 2
5.24335009e+1, 1.35310188e+1, 729764, 3
5.24333646e+1, 1.35312206e+1, 734760, 3
5.24332615e+1, 1.35311469e+1, 739756, 3
5.24331468e+1, 1.35309019e+1, 744763, 3
5.24330126e+1, 1.35306543e+1, 749772, 3
