3f27e, audio, east_route
5.24304278e+1, 1.35309681e+1, 4915, 4
5.2430447e+1, 1.35309808e+1, 9936, 4
5.24304522e+1, 1.35310014e+1, 14964, 4
5.24304541e+1, 1.35310028e+1, 19943, 4
5.24304596e+1, 1.35309953e+1, 24939, 4
5.24304065e+1, 1.35311159e+1, 29881, 4
5.24303323e+1, 1.35310891e+1, 34894, 4
5.2430243e+1, 1.3530803e+1, 39892, 4
5.24301387e+1, 1.35306171e+1, 44919, 4
5.24300715e+1, 1.3530659e+1, 49901, 4
5.24300218e+1, 1.35307748e+1, 54900, 4
5.2430017e+1, 1.35308096e+1, 59904, 4
5.24299675e+1, 1.35308735e+1, 64902, 4
5.24300021e+1, 1.35310413e+1, 69893, 4
5.24301172e+1, 1.35312562e+1, 74908, 4
5.24302414e+1, 1.35315159e+1, 79894, 4
5.24303669e+1, 1.35317818e+1, 84894, 4
5.24304667e+1, 1.35320951e+1, 89912, 4
5.24305648e+1, 1.35323828e+1, 94900, 3
5.24306692e+1, 1.35326714e+1, 99899, 3
5.24307851e+1, 1.35329832e+1, 104890, 3
5.24309128e+1, 1.3533288e+1, 109899, 3
5.24310866e+1, 1.353362e+1, 114919, 3
5.24312852e+1, 1.35339213e+1, 119914, 3
5.24314617e+1, 1.35342206e+1, 124905, 3
5.24316546e+1, 1.35345091e+1, 129899, 3
5.24317949e+1, 1.35347463e+1, 134893, 2
5.24318947e+1, 1.35349558e+1, 139901, 2
5.24319884e+1, 1.35351189e+1, 144913, 2
5.24321428e+1, 1.3535342e+1, 149930, 3
5.24323151e+1, 1.35356118e+1, 154907, 3
5.24324815e+1, 1.35358787e+1, 159896, 3
5.24326398e+1, 1.35361614e+1, 164919, 3
5.24327794e+1, 1.35363325e+1, 169918, 3
5.24328007e+1, 1.35363409e+1, 174915, 3
5.24328239e+1, 1.35363362e+1, 179929, 3
5.24328245e+1, 1.35363351e+1, 184888, 3
5.24328245e+1, 1.35363351e+1, 189898, 3
5.24328287e+1, 1.35363227e+1, 194896, 3
5.24328291e+1, 1.35363215e+1, 199886, 3
5.24328292e+1, 1.35363213e+1, 204899, 3
5.24328292e+1, 1.35363213e+1, 209901, 3
5.24328292e+1, 1.35363213e+1, 214894, 3
5.24328609e+1, 1.35363204e+1, 219885, 3
5.24329382e+1, 1.35362029e+1, 224892, 3
5.24330315e+1, 1.35361165e+1, 229903, 2
5.2433208e+1, 1.35361827e+1, 234906, 2
5.24333265e+1, 1.35363208e+1, 239895, 2
5.24334162e+1, 1.35364965e+1, 244917, 2
5.24335296e+1, 1.35363591e+1, 249912, 2
5.24336395e+1, 1.35361333e+1, 254912, 2
5.24337544e+1, 1.3535942e+1, 259895, 2
