7a374, mapping, north_route
5.24304415e+1, 1.35309642e+1, 2585, 3
5.2430463e+1, 1.35309699e+1, 7594, 3
5.2430476e+1, 1.35309742e+1, 12582, 3
5.24304742e+1, 1.35309728e+1, 17573, 3
5.24304877e+1, 1.3530996e+1, 22591, 3
5.24305217e+1, 1.35310132e+1, 27583, 3
5.24304336e+1, 1.35307432e+1, 32059, 3
5.24307283e+1, 1.35307632e+1, 36972, 3
5.24308546e+1, 1.35305312e+1, 42566, 3
5.24310666e+1, 1.35303343e+1, 47448, 3
5.24312952e+1, 1.35298268e+1, 52297, 3
5.24313406e+1, 1.35297281e+1, 57389, 3
5.24315759e+1, 1.35293582e+1, 62102, 3
5.24315655e+1, 1.35293925e+1, 66667, 3
5.2431915e+1, 1.352903e+1, 71261, 3
5.2432017e+1, 1.35288797e+1, 75885, 3
5.24322038e+1, 1.35285228e+1, 80769, 3
5.24323648e+1, 1.35283824e+1, 85764, 3
5.2432506e+1, 1.35282053e+1, 90426, 4
5.24326582e+1, 1.35279717e+1, 95767, 4
5.24327696e+1, 1.3527847e+1, 100788, 4
5.24330123e+1, 1.35275878e+1, 107573, 4
5.24332679e+1, 1.35273424e+1, 112560, 4
5.24334203e+1, 1.352704e+1, 117569, 4
5.24335846e+1, 1.35266322e+1, 122547, 4
5.24337072e+1, 1.35264615e+1, 127572, 4
5.24338171e+1, 1.3526229e+1, 132519, 4
5.24339297e+1, 1.35260127e+1, 137563, 4
5.24340372e+1, 1.35258133e+1, 142579, 4
5.24342023e+1, 1.35255703e+1, 147579, 2
5.24343464e+1, 1.3525439e+1, 152582, 2
5.24344688e+1, 1.35254062e+1, 157589, 2
5.24344358e+1, 1.35253597e+1, 162571, 2
5.24344312e+1, 1.35252872e+1, 167382, 2
5.2434479e+1, 1.35252237e+1, 172278, 2
5.24344556e+1, 1.35251707e+1, 177162, 4
5.2434597e+1, 1.35249699e+1, 182005, 4
5.24347338e+1, 1.35247249e+1, 187605, 4
5.2434875e+1, 1.35245997e+1, 192556, 4
5.24350246e+1, 1.35243986e+1, 197576, 4
5.24352525e+1, 1.35240792e+1, 202566, 4
5.24353758e+1, 1.3523837e+1, 207587, 4
5.24355466e+1, 1.35236662e+1, 212564, 3
5.24356822e+1, 1.35234193e+1, 217541, 3
5.24356713e+1, 1.35232971e+1, 222567, 3
5.24356613e+1, 1.35232823e+1, 227578, 3
5.24356701e+1, 1.35231996e+1, 232586, 3
5.24357963e+1, 1.35230135e+1, 237564, 3
5.24359271e+1, 1.35227993e+1, 242588, 3
5.24360627e+1, 1.3522583e+1, 247576, 3
5.24361698e+1, 1.35224225e+1, 252576, 2
5.24363317e+1, 1.35224966e+1, 257615, 2
5.24365e+1, 1.35224777e+1, 262565, 2
5.24366578e+1, 1.35224157e+1, 267600, 2
5.24368418e+1, 1.35223717e+1, 272575, 2
5.24370472e+1, 1.35223262e+1, 277572, 2
5.24372776e+1, 1.3522268e+1, 282594, 2
5.24374848e+1, 1.35222071e+1, 287561, 2
5.24377057e+1, 1.35221794e+1, 292583, 2
5.24379034e+1, 1.35221265e+1, 297570, 2
5.24380563e+1, 1.35221129e+1, 302577, 2
5.24381738e+1, 1.35222916e+1, 307571, 3
5.24381458e+1, 1.35225967e+1, 312564, 3
5.24381452e+1, 1.35228868e+1, 317574, 3
5.24381375e+1, 1.35232556e+1, 322561, 3
5.24381404e+1, 1.35236133e+1, 327578, 3
5.24381493e+1, 1.35239493e+1, 332577, 3
5.24381469e+1, 1.35242889e+1, 337577, 3
5.24381422e+1, 1.35246436e+1, 342585, 3
5.24381432e+1, 1.35249718e+1, 347569, 3
5.24381358e+1, 1.35250103e+1, 352560, 3
5.24381409e+1, 1.35254847e+1, 357437, 3
5.24381573e+1, 1.35257888e+1, 362417, 3
5.24381306e+1, 1.35261244e+1, 367269, 3
5.24380426e+1, 1.35263839e+1, 372581, 3
5.24379761e+1, 1.35265255e+1, 377581, 3
5.24379574e+1, 1.35265549e+1, 382573, 3
5.24378773e+1, 1.35266393e+1, 387590, 3
5.24378553e+1, 1.35266611e+1, 392441, 3
5.24377494e+1, 1.35268165e+1, 397580, 3
5.24375446e+1, 1.35271038e+1, 402247, 3
5.24373671e+1, 1.3527323e+1, 406992, 3
5.24372308e+1, 1.35274487e+1, 412111, 3
5.24370428e+1, 1.35277134e+1, 416843, 3
5.24369003e+1, 1.35279412e+1, 422009, 3
5.24366863e+1, 1.35282679e+1, 427569, 3
5.24365288e+1, 1.35285347e+1, 432573, 3
5.24363796e+1, 1.35287312e+1, 437596, 3
5.24362156e+1, 1.35289279e+1, 442569, 3
5.2436046e+1, 1.35291502e+1, 447591, 3
5.24358924e+1, 1.35293806e+1, 452574, 3
5.24357503e+1, 1.35296049e+1, 457579, 3
5.24356338e+1, 1.35297164e+1, 462576, 4
5.24355443e+1, 1.35295443e+1, 467557, 4
5.24354156e+1, 1.35293857e+1, 472585, 4
5.24352771e+1, 1.3529157e+1, 477580, 4
5.24352009e+1, 1.35290107e+1, 482594, 4
5.24351393e+1, 1.35289113e+1, 487574, 4
5.24350246e+1, 1.35287446e+1, 492577, 4
5.24348838e+1, 1.35288691e+1, 497563, 4
5.24347767e+1, 1.3529103e+1, 502563, 4
5.24346582e+1, 1.35293396e+1, 507589, 4
5.24345735e+1, 1.35294843e+1, 512557, 4
5.24344637e+1, 1.35296254e+1, 517580, 4
5.24343686e+1, 1.35297786e+1, 522551, 4
5.24343007e+1, 1.35298318e+1, 527582, 4
5.24341744e+1, 1.35299639e+1, 532555, 4
5.24340006e+1, 1.35302249e+1, 537583, 2
5.2433913e+1, 1.35304036e+1, 542577, 2
5.24338138e+1, 1.35306245e+1, 547583, 3
5.24336649e+1, 1.35308286e+1, 552564, 3
5.24335138e+1, 1.3531028e+1, 557538, 3
5.24334044e+1, 1.35311145e+1, 562555, 3
5.24332938e+1, 1.35312657e+1, 567571, 3
5.2433157e+1, 1.35314975e+1, 572589, 3
5.24330188e+1, 1.35316874e+1, 577577, 1
5.24329013e+1, 1.35315393e+1, 582585, 1
5.24327948e+1, 1.35317246e+1, 587579, 3
5.24326689e+1, 1.35319411e+1, 592568, 3
5.24325452e+1, 1.35321424e+1, 597553, 3
5.24324211e+1, 1.35323536e+1, 602578, 3
5.24322961e+1, 1.35325484e+1, 607586, 3
5.24321675e+1, 1.35327362e+1, 612576, 3
5.24320189e+1, 1.35329019e+1, 617555, 3
5.24318611e+1, 1.35331124e+1, 622560, 3
5.24317213e+1, 1.35333066e+1, 627577, 3
5.24315952e+1, 1.35334659e+1, 632581, 3
5.24314989e+1, 1.35335621e+1, 637580, 2
5.24313866e+1, 1.3533416e+1, 642588, 2
5.24312218e+1, 1.353321e+1, 647571, 2
5.24310625e+1, 1.35329916e+1, 652578, 2
5.24309317e+1, 1.35327311e+1, 657578, 2
5.24308346e+1, 1.35324626e+1, 662575, 2
5.2430729e+1, 1.35321848e+1, 667568, 2
5.24306301e+1, 1.35319053e+1, 672573, 2
5.24305256e+1, 1.35316378e+1, 677572, 2
5.24304343e+1, 1.35314017e+1, 682577, 2
5.24303547e+1, 1.35311606e+1, 687577, 2
5.2430319e+1, 1.35309671e+1, 692575, 2
5.24303417e+1, 1.35309811e+1, 697566, 2
