9d5f9, mapping, north_route
5.24304759e+1, 1.35310542e+1, 2062, 4
5.24304759e+1, 1.35310542e+1, 7046, 4
5.24304759e+1, 1.35310542e+1, 12070, 4
5.24304759e+1, 1.35310542e+1, 17091, 4
5.24304759e+1, 1.35310542e+1, 22089, 4
5.24305168e+1, 1.35309896e+1, 27089, 4
5.24305242e+1, 1.35309904e+1, 31745, 4
5.24305225e+1, 1.35309969e+1, 37024, 4
5.24309405e+1, 1.35303631e+1, 42007, 4
5.24310036e+1, 1.35302221e+1, 47103, 4
5.24312223e+1, 1.35297824e+1, 51714, 3
5.24312994e+1, 1.3529659e+1, 56683, 3
5.24314802e+1, 1.35294993e+1, 61578, 3
5.24316702e+1, 1.35293132e+1, 66284, 3
5.24319129e+1, 1.35290228e+1, 72108, 3
5.24320823e+1, 1.35287396e+1, 77079, 3
5.24322675e+1, 1.3528471e+1, 82086, 3
5.24324675e+1, 1.35282715e+1, 87105, 3
5.24325728e+1, 1.35281052e+1, 92117, 3
5.24326768e+1, 1.35280329e+1, 96940, 3
5.24327539e+1, 1.35278598e+1, 101790, 3
5.24328843e+1, 1.3527706e+1, 106355, 3
5.24331066e+1, 1.35273251e+1, 111814, 3
5.24331155e+1, 1.35273583e+1, 116321, 3
5.24334803e+1, 1.35267202e+1, 122104, 3
5.24336473e+1, 1.35264625e+1, 127095, 3
5.24337673e+1, 1.3526292e+1, 132117, 3
5.24339104e+1, 1.35260419e+1, 137097, 3
5.24340698e+1, 1.35257736e+1, 142101, 3
5.24342485e+1, 1.35255121e+1, 147109, 1
5.24343993e+1, 1.35254038e+1, 152111, 1
5.24344629e+1, 1.35253433e+1, 157094, 1
5.24344407e+1, 1.35252699e+1, 162073, 1
5.2434427e+1, 1.35252214e+1, 167097, 1
5.24344847e+1, 1.35250779e+1, 172107, 3
5.24346385e+1, 1.3524884e+1, 177112, 3
5.24347941e+1, 1.35246408e+1, 182108, 3
5.24349588e+1, 1.35243681e+1, 187120, 3
5.24351554e+1, 1.35240715e+1, 192105, 3
5.24353271e+1, 1.35237751e+1, 197114, 3
5.24354993e+1, 1.35235218e+1, 202118, 3
5.24356352e+1, 1.35233949e+1, 206707, 3
5.24356751e+1, 1.35234017e+1, 211878, 3
5.24357232e+1, 1.35234881e+1, 217099, 3
5.24357183e+1, 1.35234906e+1, 221840, 3
5.24357332e+1, 1.35234827e+1, 226858, 3
5.24359652e+1, 1.35231515e+1, 232093, 3
5.24360622e+1, 1.35229371e+1, 236716, 3
5.24362057e+1, 1.35226924e+1, 241470, 3
5.24362629e+1, 1.35224774e+1, 246168, 2
5.24365922e+1, 1.35224133e+1, 250780, 2
5.2436856e+1, 1.35223717e+1, 257103, 2
5.24370658e+1, 1.35223314e+1, 262100, 2
5.2437285e+1, 1.35222672e+1, 267112, 2
5.2437491e+1, 1.35222183e+1, 272106, 2
5.24377135e+1, 1.35221691e+1, 277083, 2
5.24379334e+1, 1.3522113e+1, 282092, 2
5.24381182e+1, 1.35221375e+1, 287117, 3
5.24381591e+1, 1.35224105e+1, 292117, 3
5.24381457e+1, 1.35227756e+1, 297120, 3
5.24381455e+1, 1.35231609e+1, 302120, 3
5.24381257e+1, 1.35235987e+1, 307119, 3
5.24381326e+1, 1.35240322e+1, 312105, 3
5.24381313e+1, 1.35244881e+1, 317094, 3
5.24381376e+1, 1.35249314e+1, 322104, 3
5.24381408e+1, 1.35253692e+1, 327106, 3
5.24381423e+1, 1.35257939e+1, 332085, 3
5.24381388e+1, 1.35261928e+1, 337103, 4
5.24379854e+1, 1.35264802e+1, 342107, 4
5.24377801e+1, 1.3526752e+1, 347103, 4
5.24375847e+1, 1.35270302e+1, 352106, 4
5.24373886e+1, 1.35272718e+1, 357088, 4
5.24371984e+1, 1.35275334e+1, 362107, 4
5.24369945e+1, 1.35278457e+1, 367107, 4
5.24367982e+1, 1.35281519e+1, 372105, 4
5.24365824e+1, 1.35284902e+1, 377106, 4
5.24363751e+1, 1.35287562e+1, 382104, 4
5.24361866e+1, 1.35290398e+1, 387097, 4
