ec3c3, device, south_route
5.24298623e+1, 1.35309987e+1, 4552, 3
5.24298623e+1, 1.35309987e+1, 9585, 3
5.24298666e+1, 1.35309707e+1, 14587, 3
5.24298667e+1, 1.35309703e+1, 19598, 3
5.24298829e+1, 1.35309531e+1, 24613, 3
5.24299138e+1, 1.35309674e+1, 29620, 3
5.24299215e+1, 1.35310028e+1, 34603, 3
5.2429804e+1, 1.3531205e+1, 39601, 3
5.2429638e+1, 1.35314356e+1, 44577, 3
5.24294902e+1, 1.35316727e+1, 49603, 3
5.24293242e+1, 1.35319307e+1, 54616, 3
5.24291245e+1, 1.35321838e+1, 59628, 3
5.24289582e+1, 1.35324244e+1, 64591, 3
5.24288586e+1, 1.35325856e+1, 69631, 3
5.24287411e+1, 1.35327856e+1, 74620, 3
5.2428579e+1, 1.35330169e+1, 79618, 3
5.24283981e+1, 1.35333082e+1, 84612, 3
5.2428219e+1, 1.35335753e+1, 89609, 3
5.24280016e+1, 1.35338494e+1, 94616, 3
5.24277885e+1, 1.35341229e+1, 99611, 3
5.24275924e+1, 1.35344212e+1, 104592, 3
5.2427404e+1, 1.35347141e+1, 109600, 3
5.24272104e+1, 1.3535012e+1, 114605, 3
5.24271706e+1, 1.35352768e+1, 119566, 3
5.24273404e+1, 1.35355258e+1, 124622, 3
5.24274777e+1, 1.35357721e+1, 129622, 3
5.24276395e+1, 1.35360391e+1, 134647, 3
5.24278015e+1, 1.35363221e+1, 139603, 3
5.24279837e+1, 1.35366222e+1, 144635, 4
5.24281619e+1, 1.35369003e+1, 149602, 4
5.24283434e+1, 1.3537176e+1, 154620, 4
5.24285226e+1, 1.35374763e+1, 159623, 4
5.24286831e+1, 1.35377699e+1, 164619, 4
5.24288523e+1, 1.35380035e+1, 169622, 4
5.24289717e+1, 1.35382469e+1, 174633, 4
5.24291541e+1, 1.35385081e+1, 179619, 4
5.24293387e+1, 1.35388054e+1, 184621, 4
5.24295225e+1, 1.35390914e+1, 189617, 4
5.24297205e+1, 1.3539383e+1, 194613, 4
5.24299007e+1, 1.35396996e+1, 199613, 4
5.24300879e+1, 1.35399882e+1, 204598, 4
5.24302884e+1, 1.35402685e+1, 209623, 4
5.24303749e+1, 1.35404783e+1, 214618, 4
5.24302474e+1, 1.35401857e+1, 219614, 4
5.24305072e+1, 1.35406345e+1, 224396, 4
5.24306588e+1, 1.35403167e+1, 229083, 3
5.24307876e+1, 1.35401325e+1, 234059, 3
5.24310033e+1, 1.35397838e+1, 238928, 3
5.2431136e+1, 1.35395987e+1, 244239, 3
5.24312561e+1, 1.35393562e+1, 248870, 3
5.24314373e+1, 1.35390721e+1, 253662, 3
5.24316012e+1, 1.35387892e+1, 258475, 3
5.24317222e+1, 1.35385319e+1, 263635, 3
5.24318794e+1, 1.35382211e+1, 268297, 3
5.2432062e+1, 1.35379553e+1, 273518, 3
5.24322677e+1, 1.35375841e+1, 279641, 3
5.24324548e+1, 1.35373009e+1, 284614, 3
5.2432621e+1, 1.35370521e+1, 289598, 3
5.24327844e+1, 1.35368097e+1, 294610, 3
5.24328913e+1, 1.35366837e+1, 299617, 2
5.24328964e+1, 1.35366327e+1, 304629, 2
5.24328933e+1, 1.3536634e+1, 309634, 2
5.24328929e+1, 1.35366342e+1, 314609, 2
5.24328929e+1, 1.35366342e+1, 319614, 2
5.2432871e+1, 1.35365873e+1, 324613, 2
5.24329338e+1, 1.35364713e+1, 329606, 2
5.24330519e+1, 1.35363053e+1, 334622, 2
5.24330437e+1, 1.353608e+1, 339606, 2
5.24328974e+1, 1.35358679e+1, 344616, 2
5.24327341e+1, 1.35356076e+1, 349621, 2
5.24325773e+1, 1.35353818e+1, 354635, 3
5.24324666e+1, 1.35351589e+1, 359641, 3
5.24325168e+1, 1.35349313e+1, 364617, 3
5.24326569e+1, 1.35346629e+1, 369609, 3
5.24328422e+1, 1.35344027e+1, 374633, 3
5.24329816e+1, 1.35341428e+1, 379614, 3
5.24330481e+1, 1.35341192e+1, 384645, 2
5.24331593e+1, 1.35339387e+1, 389604, 2
5.24333242e+1, 1.35336817e+1, 394618, 2
5.24334941e+1, 1.35334042e+1, 399619, 2
5.24336497e+1, 1.35331511e+1, 404627, 2
5.24337521e+1, 1.35330079e+1, 409630, 2
5.24336186e+1, 1.35328002e+1, 414623, 2
5.24334694e+1, 1.3532552e+1, 419618, 2
5.24333321e+1, 1.35323046e+1, 424624, 2
5.24332038e+1, 1.35321009e+1, 429630, 2
5.24331103e+1, 1.35320785e+1, 434618, 2
5.24330961e+1, 1.35318941e+1, 439632, 2
5.24330581e+1, 1.35317755e+1, 444629, 1
5.24330236e+1, 1.35316734e+1, 449612, 1
5.24331311e+1, 1.35314997e+1, 454619, 3
5.2433271e+1, 1.35313167e+1, 459629, 3
5.2433276e+1, 1.35311375e+1, 464630, 3
5.24331462e+1, 1.35308996e+1, 469618, 3
5.24329983e+1, 1.35306452e+1, 474624, 3
5.24328453e+1, 1.35304098e+1, 479631, 3
5.24326999e+1, 1.35301398e+1, 484646, 3
5.24326226e+1, 1.35299607e+1, 489635, 3
5.24325082e+1, 1.35299538e+1, 494595, 3
5.24323805e+1, 1.35301727e+1, 499637, 3
5.2432241e+1, 1.35304069e+1, 504627, 3
5.24320591e+1, 1.35304982e+1, 509638, 3
5.24319117e+1, 1.35302568e+1, 514612, 3
5.24317763e+1, 1.35299898e+1, 519621, 3
5.2431643e+1, 1.35297326e+1, 524623, 2
5.24314929e+1, 1.35294838e+1, 529606, 3
5.24313705e+1, 1.35296407e+1, 534633, 3
5.24312143e+1, 1.35298912e+1, 539627, 3
5.24311019e+1, 1.35300967e+1, 544632, 3
5.2430952e+1, 1.35303452e+1, 549605, 3
5.243079e+1, 1.35306242e+1, 554632, 4
5.2430651e+1, 1.35308883e+1, 559629, 4
5.24304636e+1, 1.35309968e+1, 564623, 4
5.24304345e+1, 1.35309825e+1, 569638, 4
