243a5, audio, east_route
5.2429962e+1, 1.35309058e+1, 2516, 3
5.24299688e+1, 1.35309251e+1, 7524, 3
5.24299773e+1, 1.35309041e+1, 12488, 3
5.24299937e+1, 1.35308889e+1, 17478, 3
5.24299661e+1, 1.35309283e+1, 22435, 3
5.24299412e+1, 1.35309787e+1, 27447, 3
5.24299313e+1, 1.35309833e+1, 32485, 3
5.24299244e+1, 1.35309583e+1, 37491, 3
5.2429933e+1, 1.35309518e+1, 42504, 3
5.24299351e+1, 1.35309644e+1, 47500, 3
5.24299401e+1, 1.35309759e+1, 52502, 3
5.24299339e+1, 1.35309718e+1, 57503, 3
5.24299601e+1, 1.35310104e+1, 62490, 3
5.24298475e+1, 1.3531038e+1, 66888, 3
5.24299818e+1, 1.35310558e+1, 71520, 3
5.24301915e+1, 1.35314187e+1, 76074, 3
5.24303035e+1, 1.3531754e+1, 80786, 3
5.24305232e+1, 1.35322148e+1, 85575, 3
5.24306395e+1, 1.35325916e+1, 92528, 3
5.24306541e+1, 1.35326138e+1, 97508, 3
5.2430653e+1, 1.35326102e+1, 102504, 3
5.2430653e+1, 1.35326102e+1, 107497, 3
5.2430653e+1, 1.35326102e+1, 112497, 3
5.2430653e+1, 1.35326102e+1, 117501, 3
5.24306644e+1, 1.35326656e+1, 122505, 3
5.24306702e+1, 1.35327215e+1, 127482, 3
5.24306765e+1, 1.35327865e+1, 132510, 3
5.24309674e+1, 1.35334598e+1, 137504, 3
5.24311589e+1, 1.35337899e+1, 142506, 3
5.24313227e+1, 1.3534054e+1, 147509, 3
5.24315109e+1, 1.35343072e+1, 152511, 3
5.24316927e+1, 1.35345931e+1, 157514, 3
5.24318437e+1, 1.35348588e+1, 162524, 3
5.24319818e+1, 1.35351071e+1, 167517, 3
5.2432157e+1, 1.35353856e+1, 172522, 3
5.24323181e+1, 1.35356686e+1, 177516, 3
5.24324879e+1, 1.35359811e+1, 182514, 3
5.24326666e+1, 1.35362291e+1, 187523, 3
5.24328219e+1, 1.35364662e+1, 192507, 2
5.24329355e+1, 1.353663e+1, 197494, 2
5.2432942e+1, 1.35366e+1, 202513, 2
5.24330193e+1, 1.35364861e+1, 207513, 2
5.24331304e+1, 1.35362869e+1, 212515, 2
5.24332453e+1, 1.35363402e+1, 217522, 2
5.24333484e+1, 1.35364655e+1, 222510, 2
5.2433456e+1, 1.35364944e+1, 227517, 3
5.24335853e+1, 1.35362728e+1, 232535, 3
5.24337096e+1, 1.3536096e+1, 237498, 3
5.24338861e+1, 1.35359081e+1, 242499, 3
5.24339354e+1, 1.35357837e+1, 247459, 3
5.24339369e+1, 1.35357705e+1, 252501, 3
5.24339865e+1, 1.35356885e+1, 257495, 3
5.24340317e+1, 1.35355225e+1, 262512, 3
5.24341709e+1, 1.35353534e+1, 267523, 4
5.24342863e+1, 1.35351691e+1, 272511, 4
5.24344134e+1, 1.3534963e+1, 277506, 4
5.24345126e+1, 1.35347891e+1, 282511, 4
5.24346316e+1, 1.35347066e+1, 287515, 4
5.24346627e+1, 1.35346551e+1, 292512, 4
5.2434759e+1, 1.35347591e+1, 297515, 3
5.24348593e+1, 1.3534986e+1, 302465, 4
5.24349634e+1, 1.35352342e+1, 307512, 4
5.2435118e+1, 1.35354626e+1, 312509, 4
5.24351861e+1, 1.35355011e+1, 317506, 4
5.24352771e+1, 1.35353847e+1, 322494, 3
5.2435398e+1, 1.35351704e+1, 327518, 3
5.24355496e+1, 1.35349263e+1, 332533, 3
5.24356936e+1, 1.35346925e+1, 337505, 3
5.24357951e+1, 1.35344844e+1, 342522, 3
5.24356331e+1, 1.35341763e+1, 347520, 3
5.24356077e+1, 1.35338928e+1, 352492, 3
5.2435743e+1, 1.35336891e+1, 357517, 3
5.24356727e+1, 1.35335171e+1, 362506, 2
5.24355237e+1, 1.35333018e+1, 367525, 2
5.24354144e+1, 1.35331141e+1, 372517, 2
5.24354717e+1, 1.3533014e+1, 377505, 2
5.24354992e+1, 1.35329882e+1, 382517, 2
5.24353859e+1, 1.35328047e+1, 387510, 3
5.24352098e+1, 1.35325311e+1, 392521, 3
5.24350512e+1, 1.35322623e+1, 397510, 3
5.24348835e+1, 1.35319994e+1, 402502, 3
5.2434738e+1, 1.35317578e+1, 407525, 3
5.2434669e+1, 1.35316546e+1, 412489, 3
5.24346691e+1, 1.35316446e+1, 417503, 3
5.24346704e+1, 1.35316024e+1, 422503, 3
5.24345882e+1, 1.35314429e+1, 427513, 3
5.24345981e+1, 1.35314803e+1, 431999, 3
5.24343466e+1, 1.35309995e+1, 437132, 3
5.24341482e+1, 1.35306705e+1, 442451, 3
5.24339798e+1, 1.35304317e+1, 447291, 4
5.24337763e+1, 1.35300541e+1, 452539, 4
5.24336157e+1, 1.35297261e+1, 457495, 4
5.24334435e+1, 1.3529441e+1, 462499, 4
5.2433294e+1, 1.35291551e+1, 467515, 4
5.2433138e+1, 1.35289059e+1, 472518, 4
5.24329538e+1, 1.35285967e+1, 477510, 4
5.24327867e+1, 1.35282666e+1, 482498, 4
5.24325874e+1, 1.35279568e+1, 487507, 4
5.24324252e+1, 1.35276514e+1, 492506, 4
5.24322687e+1, 1.35273986e+1, 497519, 3
5.24321465e+1, 1.35272093e+1, 502501, 3
5.24320637e+1, 1.35270702e+1, 507504, 3
5.24318999e+1, 1.35271676e+1, 512516, 3
5.24316448e+1, 1.3527418e+1, 517538, 3
5.24314193e+1, 1.35276172e+1, 522528, 3
5.24311825e+1, 1.35278296e+1, 527508, 3
5.24309568e+1, 1.35280479e+1, 532513, 3
5.24307277e+1, 1.35282397e+1, 537498, 3
5.24305308e+1, 1.35284018e+1, 542504, 3
5.24304187e+1, 1.35286619e+1, 547495, 3
5.24304153e+1, 1.35290564e+1, 552515, 4
5.24304173e+1, 1.35294318e+1, 557520, 4
5.24304215e+1, 1.35298078e+1, 562525, 4
5.24303879e+1, 1.35301956e+1, 567522, 4
5.24303448e+1, 1.3530568e+1, 572503, 4
5.24303747e+1, 1.35307697e+1, 577526, 4
