2cfdd, mapping, east_route
5.24300093e+1, 1.3531156e+1, 4046, 4
5.24300058e+1, 1.35310981e+1, 9091, 4
5.24300022e+1, 1.35311082e+1, 14060, 4
5.24300059e+1, 1.35310889e+1, 19075, 4
5.24300745e+1, 1.35311707e+1, 24033, 4
5.24301056e+1, 1.35312434e+1, 28915, 4
5.2430266e+1, 1.35313745e+1, 33419, 4
5.24302604e+1, 1.35315736e+1, 38095, 4
5.2430347e+1, 1.35317822e+1, 42876, 4
5.24304908e+1, 1.35321871e+1, 49051, 4
5.24305677e+1, 1.35324207e+1, 54049, 4
5.24306623e+1, 1.35326574e+1, 59049, 3
5.24307494e+1, 1.35329067e+1, 64056, 3
5.2430749e+1, 1.35328564e+1, 68770, 4
5.24308755e+1, 1.35332875e+1, 73580, 4
5.24309039e+1, 1.35333048e+1, 78481, 4
5.24310963e+1, 1.35337313e+1, 83188, 4
5.24312225e+1, 1.35339346e+1, 87875, 4
5.24313142e+1, 1.35341e+1, 92485, 4
5.24314351e+1, 1.3534233e+1, 97251, 4
5.24315205e+1, 1.35343787e+1, 102049, 4
5.24316978e+1, 1.3534642e+1, 109033, 4
5.24318057e+1, 1.35347981e+1, 114002, 4
5.24319107e+1, 1.35349337e+1, 119050, 4
5.24320145e+1, 1.35351039e+1, 124073, 4
5.24320877e+1, 1.35352347e+1, 129047, 4
5.24321906e+1, 1.35354167e+1, 134040, 2
5.24322906e+1, 1.35356206e+1, 139051, 2
5.2432385e+1, 1.35357701e+1, 144019, 2
5.2432481e+1, 1.35359237e+1, 149025, 4
5.24325916e+1, 1.35360862e+1, 154043, 4
5.2432697e+1, 1.35362372e+1, 159037, 4
5.2432785e+1, 1.35363901e+1, 164053, 4
5.24328898e+1, 1.35365187e+1, 169055, 4
5.24329633e+1, 1.35366249e+1, 174042, 4
5.24329589e+1, 1.35366303e+1, 179055, 4
5.24329605e+1, 1.35366167e+1, 184052, 4
5.24329579e+1, 1.35366133e+1, 189044, 4
5.24329958e+1, 1.35365137e+1, 194047, 4
5.24331026e+1, 1.35363385e+1, 199052, 4
5.24331981e+1, 1.35363267e+1, 204065, 4
5.24332802e+1, 1.35364266e+1, 209044, 4
5.24333627e+1, 1.35364905e+1, 214043, 4
5.24333951e+1, 1.35365459e+1, 219060, 4
5.24334836e+1, 1.35364195e+1, 224070, 4
5.24336023e+1, 1.35362737e+1, 229047, 4
5.24337241e+1, 1.35360815e+1, 234044, 4
5.24338419e+1, 1.35358897e+1, 239051, 4
5.24339362e+1, 1.35357545e+1, 244046, 1
5.2433992e+1, 1.35356483e+1, 249053, 1
5.24340205e+1, 1.35355356e+1, 254052, 1
5.24341296e+1, 1.35354185e+1, 259051, 1
5.24342245e+1, 1.35352352e+1, 264027, 1
5.24343367e+1, 1.353509e+1, 269062, 1
5.24344276e+1, 1.3534955e+1, 274036, 1
5.24345031e+1, 1.35348279e+1, 279056, 1
5.24346061e+1, 1.35347246e+1, 284044, 1
5.24346224e+1, 1.35347151e+1, 289052, 1
5.24346549e+1, 1.35346762e+1, 294059, 1
5.24346431e+1, 1.35346729e+1, 299046, 1
5.24346389e+1, 1.35346737e+1, 304041, 1
5.24346413e+1, 1.35346581e+1, 309064, 4
5.24346958e+1, 1.35346995e+1, 314040, 4
5.24347528e+1, 1.35348796e+1, 319057, 4
5.24348551e+1, 1.35350563e+1, 324033, 4
5.24349569e+1, 1.35352428e+1, 329063, 4
5.24350864e+1, 1.35354033e+1, 334065, 4
5.24351964e+1, 1.3535481e+1, 339042, 5
5.24352792e+1, 1.35353717e+1, 344043, 5
5.24353898e+1, 1.35351968e+1, 349007, 5
5.24355065e+1, 1.35350243e+1, 354020, 5
5.24356247e+1, 1.35348483e+1, 358729, 5
5.2435759e+1, 1.35347449e+1, 363465, 5
