77dc5, audio, south_route
5.24299011e+1, 1.35309849e+1, 3029, 3
5.24299036e+1, 1.35309841e+1, 8026, 3
5.24299059e+1, 1.35309841e+1, 13031, 3
5.2429908e+1, 1.35309857e+1, 18030, 3
5.24299062e+1, 1.35309814e+1, 23019, 3
5.24299052e+1, 1.35309821e+1, 28022, 3
5.24299057e+1, 1.35309784e+1, 33029, 3
5.24299054e+1, 1.35309775e+1, 38031, 3
5.24299038e+1, 1.35309753e+1, 43020, 3
5.24298768e+1, 1.35310607e+1, 48032, 3
5.24298711e+1, 1.3531072e+1, 53021, 3
5.24297735e+1, 1.35311697e+1, 58018, 3
5.24296056e+1, 1.35314466e+1, 62985, 3
5.24294801e+1, 1.35316225e+1, 68046, 3
5.24293143e+1, 1.35318723e+1, 72983, 3
5.24291937e+1, 1.35319766e+1, 78048, 3
5.24291166e+1, 1.35321142e+1, 82585, 4
5.24289801e+1, 1.35323331e+1, 87400, 4
5.24288617e+1, 1.35325332e+1, 92164, 4
5.24287633e+1, 1.35327061e+1, 97247, 4
5.24286811e+1, 1.35328587e+1, 102213, 4
5.24285635e+1, 1.35330127e+1, 107686, 4
5.24284499e+1, 1.35331684e+1, 112325, 4
5.24283215e+1, 1.35333292e+1, 116897, 4
5.24282841e+1, 1.35334116e+1, 121902, 4
5.24281366e+1, 1.35336395e+1, 126778, 4
5.24279854e+1, 1.35338731e+1, 131524, 4
5.24277782e+1, 1.35341273e+1, 136427, 4
5.24276547e+1, 1.35343231e+1, 141224, 4
5.24275348e+1, 1.353449e+1, 146294, 5
5.24274424e+1, 1.3534653e+1, 150948, 5
5.24273281e+1, 1.35348101e+1, 155819, 5
5.24272255e+1, 1.35349698e+1, 160627, 5
5.24271278e+1, 1.35351229e+1, 165805, 5
5.2427195e+1, 1.35353091e+1, 170962, 5
5.24273031e+1, 1.35354645e+1, 175719, 5
5.24274106e+1, 1.35356605e+1, 180622, 5
5.24274826e+1, 1.35358165e+1, 185161, 5
5.24275967e+1, 1.35360212e+1, 190786, 4
5.24276978e+1, 1.35362062e+1, 195569, 4
5.24278092e+1, 1.35364048e+1, 200582, 4
5.24279047e+1, 1.35365685e+1, 205174, 4
5.24280273e+1, 1.35367522e+1, 209874, 4
5.24281581e+1, 1.35369649e+1, 215331, 4
5.24282819e+1, 1.35371533e+1, 220126, 4
5.24284008e+1, 1.35373229e+1, 225121, 4
5.24285135e+1, 1.35375515e+1, 230486, 4
5.24286098e+1, 1.35377161e+1, 235105, 4
5.24287085e+1, 1.35379463e+1, 240132, 4
5.24288357e+1, 1.35382144e+1, 246926, 4
5.24289433e+1, 1.35382949e+1, 251999, 3
5.24290623e+1, 1.35384995e+1, 256929, 3
5.2429164e+1, 1.35386454e+1, 261467, 4
5.24292705e+1, 1.35388451e+1, 266728, 4
5.24293804e+1, 1.35390127e+1, 271404, 4
5.24294712e+1, 1.35391405e+1, 275931, 4
5.24295754e+1, 1.35393173e+1, 281095, 4
5.24296775e+1, 1.35395203e+1, 285702, 4
5.24297821e+1, 1.35396907e+1, 290323, 4
5.24298631e+1, 1.35398141e+1, 294912, 4
5.24300141e+1, 1.35399749e+1, 299823, 4
5.24301547e+1, 1.35401287e+1, 304486, 4
5.24302904e+1, 1.35402922e+1, 309507, 4
5.24303297e+1, 1.35405265e+1, 314171, 4
5.24303755e+1, 1.35406167e+1, 318896, 4
5.24304727e+1, 1.35407098e+1, 324263, 4
5.24305612e+1, 1.35405477e+1, 329107, 4
5.24306548e+1, 1.35403834e+1, 334073, 4
5.24307329e+1, 1.35402247e+1, 338622, 4
5.24308367e+1, 1.35400902e+1, 343324, 4
5.24309286e+1, 1.35398917e+1, 347893, 4
5.24310404e+1, 1.35397321e+1, 352557, 4
5.24311502e+1, 1.35394811e+1, 357741, 4
5.24312793e+1, 1.35393241e+1, 362585, 4
5.24313755e+1, 1.35391251e+1, 367305, 4
5.24314883e+1, 1.35389415e+1, 372100, 4
5.24315929e+1, 1.35387719e+1, 377738, 3
5.24316428e+1, 1.35385216e+1, 382371, 3
5.2431705e+1, 1.35383674e+1, 386921, 4
5.24318251e+1, 1.35382251e+1, 391890, 4
5.24319551e+1, 1.35380876e+1, 396787, 4
5.24320813e+1, 1.35380174e+1, 401494, 4
5.24321919e+1, 1.35378775e+1, 406388, 4
5.24322875e+1, 1.35377118e+1, 411226, 4
5.24323928e+1, 1.3537574e+1, 415809, 2
5.24324746e+1, 1.35373663e+1, 420537, 2
5.24325635e+1, 1.35371219e+1, 425534, 4
5.24326544e+1, 1.35369153e+1, 430206, 4
5.24327682e+1, 1.35367355e+1, 435185, 4
5.24328686e+1, 1.35365846e+1, 440663, 4
5.24329234e+1, 1.35364938e+1, 446068, 4
5.24329133e+1, 1.35364999e+1, 453021, 4
5.24328838e+1, 1.35365172e+1, 458056, 4
5.24328771e+1, 1.35365151e+1, 463032, 4
5.24328785e+1, 1.35365148e+1, 468028, 4
5.24328531e+1, 1.3536458e+1, 473034, 4
5.24328514e+1, 1.35364399e+1, 478014, 4
5.24328501e+1, 1.35364218e+1, 483055, 4
5.24328851e+1, 1.3536407e+1, 488036, 4
