d32bc, device, north_route
5.24305954e+1, 1.3530852e+1, 4767, 3
5.24306038e+1, 1.35308514e+1, 9739, 3
5.24306063e+1, 1.35308394e+1, 14756, 3
5.24306098e+1, 1.35308501e+1, 19743, 3
5.24306809e+1, 1.35307927e+1, 24757, 3
5.24308344e+1, 1.35306405e+1, 29772, 4
5.24310006e+1, 1.35304628e+1, 34779, 4
5.24311504e+1, 1.35302565e+1, 39796, 4
5.24312534e+1, 1.35300601e+1, 44736, 2
5.24312756e+1, 1.35298707e+1, 49783, 2
5.24314074e+1, 1.35296638e+1, 54804, 4
5.24315709e+1, 1.35294927e+1, 59782, 4
5.2431725e+1, 1.3529271e+1, 64776, 4
5.2431883e+1, 1.35290568e+1, 69745, 4
5.24320289e+1, 1.3528836e+1, 74791, 5
5.24321658e+1, 1.35286117e+1, 79785, 5
5.24323033e+1, 1.35284223e+1, 84602, 5
5.24324246e+1, 1.35282879e+1, 89576, 5
5.24325467e+1, 1.35281454e+1, 94619, 5
5.24326571e+1, 1.35280413e+1, 99372, 2
5.24327676e+1, 1.35278555e+1, 104765, 4
5.24328815e+1, 1.3527662e+1, 109785, 4
5.24330234e+1, 1.35274511e+1, 114785, 4
5.24331588e+1, 1.35272468e+1, 119775, 4
5.24332969e+1, 1.35270615e+1, 124775, 4
5.24334263e+1, 1.35268922e+1, 129725, 4
5.24335492e+1, 1.35267164e+1, 134776, 4
5.24336574e+1, 1.35265113e+1, 139781, 4
5.24337529e+1, 1.35263301e+1, 144779, 4
5.24338582e+1, 1.35261435e+1, 149750, 3
5.24339751e+1, 1.35259827e+1, 154769, 3
5.24340975e+1, 1.3525756e+1, 159765, 3
5.24342118e+1, 1.35255861e+1, 164776, 2
5.24343462e+1, 1.3525511e+1, 169787, 3
5.24344614e+1, 1.3525416e+1, 174796, 2
5.24344084e+1, 1.35253399e+1, 179786, 1
5.24344662e+1, 1.35252544e+1, 184760, 1
5.24344411e+1, 1.35251666e+1, 189741, 1
5.24345565e+1, 1.35250584e+1, 194786, 4
5.2434662e+1, 1.35248614e+1, 199804, 4
5.24347909e+1, 1.35246711e+1, 204781, 4
5.24349017e+1, 1.35244746e+1, 209792, 4
5.24350208e+1, 1.35242977e+1, 214792, 4
5.24351497e+1, 1.35240796e+1, 219785, 4
5.24352489e+1, 1.35238834e+1, 224767, 4
5.24353787e+1, 1.35236956e+1, 229785, 4
5.24354692e+1, 1.35235085e+1, 234803, 4
5.24355651e+1, 1.35234127e+1, 239786, 4
5.24356245e+1, 1.35233493e+1, 244784, 4
5.2435703e+1, 1.35233516e+1, 249759, 3
5.24358017e+1, 1.35233054e+1, 254787, 3
5.24359063e+1, 1.35231414e+1, 259779, 4
5.24360381e+1, 1.35229387e+1, 264794, 4
5.24361736e+1, 1.35227504e+1, 269782, 4
5.24363004e+1, 1.35225721e+1, 274761, 4
5.24364478e+1, 1.35224744e+1, 279786, 2
5.24365958e+1, 1.35224572e+1, 284797, 1
5.24367905e+1, 1.35224074e+1, 289775, 1
5.24369882e+1, 1.35223664e+1, 294764, 1
5.24371944e+1, 1.35223189e+1, 299763, 1
5.24374074e+1, 1.35222664e+1, 304808, 1
5.24376171e+1, 1.35222145e+1, 309748, 1
5.24378159e+1, 1.3522158e+1, 314782, 1
5.24379775e+1, 1.3522132e+1, 319768, 1
5.24381153e+1, 1.35221884e+1, 324796, 1
5.24381404e+1, 1.35224665e+1, 329792, 3
5.24381357e+1, 1.35227573e+1, 334780, 3
5.2438135e+1, 1.35230427e+1, 339773, 3
5.24381363e+1, 1.3523345e+1, 344790, 3
5.24381368e+1, 1.35236545e+1, 349788, 3
5.24381412e+1, 1.35239431e+1, 354789, 3
5.24381425e+1, 1.35242383e+1, 359788, 3
5.24381393e+1, 1.35245311e+1, 364799, 3
5.24381392e+1, 1.35248114e+1, 369767, 3
5.24381395e+1, 1.35250989e+1, 374790, 3
5.24381425e+1, 1.35253659e+1, 379259, 3
5.24381197e+1, 1.35256072e+1, 384035, 3
5.2438124e+1, 1.35255409e+1, 389478, 3
5.2438138e+1, 1.35260421e+1, 394019, 3
5.24381174e+1, 1.35262852e+1, 398653, 3
5.24380182e+1, 1.35264091e+1, 403674, 5
5.24378493e+1, 1.35266761e+1, 409377, 2
5.24377724e+1, 1.35267555e+1, 414774, 2
5.24377609e+1, 1.3526756e+1, 419802, 2
5.24377623e+1, 1.35267553e+1, 424778, 2
5.24377623e+1, 1.35267553e+1, 429749, 2
5.24377623e+1, 1.35267553e+1, 434793, 2
5.24377623e+1, 1.35267553e+1, 439743, 2
5.24377623e+1, 1.35267553e+1, 444740, 2
5.24377623e+1, 1.35267553e+1, 449757, 2
5.24377623e+1, 1.35267553e+1, 454748, 2
5.24377623e+1, 1.35267553e+1, 459772, 1
5.24377068e+1, 1.35268186e+1, 464728, 1
5.24376422e+1, 1.35269454e+1, 469785, 1
5.2437535e+1, 1.35271133e+1, 474762, 5
5.24373919e+1, 1.3527282e+1, 479794, 5
5.2437224e+1, 1.35275353e+1, 484789, 5
5.24370553e+1, 1.35277792e+1, 489753, 5
5.24368989e+1, 1.3528021e+1, 494795, 4
5.24367682e+1, 1.35282398e+1, 499801, 3
5.24366199e+1, 1.35284201e+1, 504780, 4
5.2436461e+1, 1.35286204e+1, 509785, 5
5.24362904e+1, 1.35288602e+1, 514766, 5
5.24361175e+1, 1.35291419e+1, 519784, 4
5.24359445e+1, 1.35293888e+1, 524761, 4
5.24357879e+1, 1.3529626e+1, 529797, 4
5.24356825e+1, 1.35297945e+1, 534773, 4
5.24356297e+1, 1.35297426e+1, 539743, 3
5.24355317e+1, 1.35295044e+1, 544790, 3
5.24353428e+1, 1.35292178e+1, 549754, 3
5.24351794e+1, 1.3528929e+1, 554785, 2
5.24351235e+1, 1.35288918e+1, 559793, 4
