1835a, audio, north_route
5.24306251e+1, 1.35310694e+1, 1558, 2
5.24306134e+1, 1.35310782e+1, 6551, 2
5.24306096e+1, 1.35310882e+1, 11584, 2
5.24306082e+1, 1.35310859e+1, 16570, 2
5.24305908e+1, 1.35310762e+1, 21565, 2
5.24305837e+1, 1.35310646e+1, 26582, 2
5.24305851e+1, 1.35310546e+1, 31540, 2
5.24306675e+1, 1.35308968e+1, 36518, 2
5.24308196e+1, 1.35306478e+1, 41532, 2
5.24310031e+1, 1.3530391e+1, 46527, 2
5.24311769e+1, 1.35301292e+1, 51518, 2
5.24312349e+1, 1.35298704e+1, 56542, 3
5.2431351e+1, 1.3529648e+1, 61546, 3
5.24315382e+1, 1.35294288e+1, 66544, 3
5.24317195e+1, 1.35291845e+1, 71535, 4
5.24318979e+1, 1.3528975e+1, 76516, 4
5.24320735e+1, 1.35287264e+1, 81527, 4
5.24322448e+1, 1.35285067e+1, 86550, 4
5.24324295e+1, 1.35282976e+1, 91534, 4
5.2432558e+1, 1.35281334e+1, 96518, 4
5.24326096e+1, 1.3528087e+1, 101533, 4
5.24326422e+1, 1.3528075e+1, 106538, 4
5.24327138e+1, 1.35279141e+1, 111547, 4
5.24328659e+1, 1.3527703e+1, 116516, 4
5.24330315e+1, 1.35274153e+1, 121536, 4
5.24332153e+1, 1.3527142e+1, 126519, 4
5.24333916e+1, 1.35268387e+1, 131537, 4
5.24335543e+1, 1.352662e+1, 136544, 4
5.24336586e+1, 1.35264151e+1, 141535, 4
5.24337392e+1, 1.35263278e+1, 146525, 3
5.24338745e+1, 1.35260914e+1, 151514, 3
5.24340443e+1, 1.352583e+1, 156550, 4
5.24342197e+1, 1.35255582e+1, 161528, 4
5.24344061e+1, 1.35254076e+1, 166533, 4
5.24344811e+1, 1.35253598e+1, 171547, 3
5.2434414e+1, 1.35253095e+1, 176534, 3
5.24344834e+1, 1.35252579e+1, 181541, 3
5.24344417e+1, 1.3525231e+1, 186522, 3
5.24344902e+1, 1.35251282e+1, 191530, 3
5.24346217e+1, 1.35249208e+1, 196515, 4
5.24347788e+1, 1.35246568e+1, 201526, 4
5.24349539e+1, 1.35243927e+1, 206554, 4
5.24351028e+1, 1.35241362e+1, 211544, 4
5.24352848e+1, 1.35238452e+1, 216547, 4
5.2435438e+1, 1.3523603e+1, 221531, 4
5.24355795e+1, 1.35234084e+1, 226526, 4
5.24356662e+1, 1.35233064e+1, 231490, 4
5.24356983e+1, 1.35232183e+1, 236521, 4
5.24357586e+1, 1.35230762e+1, 241524, 3
5.24358752e+1, 1.35228844e+1, 246535, 3
5.24360041e+1, 1.3522684e+1, 251550, 3
5.24361295e+1, 1.35224917e+1, 256547, 3
5.24362598e+1, 1.35224651e+1, 261545, 3
5.24364276e+1, 1.35225222e+1, 266537, 3
5.24366144e+1, 1.35224574e+1, 271548, 3
5.24368087e+1, 1.35224093e+1, 276540, 2
5.24370069e+1, 1.3522356e+1, 281518, 2
5.24372132e+1, 1.35223056e+1, 286525, 2
5.24374095e+1, 1.35222536e+1, 291529, 2
5.24376213e+1, 1.35222111e+1, 296536, 2
5.2437831e+1, 1.35221629e+1, 301546, 2
5.24380059e+1, 1.35221177e+1, 306568, 2
5.24381438e+1, 1.35221995e+1, 311550, 2
5.24381485e+1, 1.35225106e+1, 316550, 3
5.24381486e+1, 1.35228605e+1, 321540, 4
5.24381537e+1, 1.35232236e+1, 326544, 4
5.24381525e+1, 1.35235977e+1, 331551, 4
5.24381543e+1, 1.3523973e+1, 336531, 4
5.24381576e+1, 1.35243718e+1, 341553, 4
5.24381543e+1, 1.35247674e+1, 346546, 4
5.24381539e+1, 1.35251488e+1, 351526, 4
5.24381538e+1, 1.35254908e+1, 356512, 4
5.24381664e+1, 1.35257962e+1, 361533, 4
5.24381655e+1, 1.35260646e+1, 366514, 4
5.24381388e+1, 1.35262574e+1, 371520, 3
5.24380426e+1, 1.35263831e+1, 376545, 3
5.24379168e+1, 1.3526602e+1, 381533, 3
5.24378087e+1, 1.35267487e+1, 386553, 3
5.24378275e+1, 1.35267215e+1, 391546, 2
5.24378344e+1, 1.35267126e+1, 396525, 2
5.24378349e+1, 1.3526712e+1, 401529, 2
5.2437835e+1, 1.35267119e+1, 406517, 2
5.2437835e+1, 1.35267119e+1, 411526, 2
5.24377957e+1, 1.35267582e+1, 416531, 2
5.24377063e+1, 1.35269069e+1, 421521, 2
5.24375269e+1, 1.35271455e+1, 426488, 2
5.24373626e+1, 1.35273365e+1, 431533, 2
5.24372333e+1, 1.35275182e+1, 436536, 2
5.2437079e+1, 1.35277568e+1, 441530, 3
5.24369026e+1, 1.35280258e+1, 446534, 3
5.24366921e+1, 1.35283173e+1, 451526, 3
5.24365051e+1, 1.35285828e+1, 456523, 3
5.24363429e+1, 1.3528862e+1, 461515, 3
5.24361268e+1, 1.35290718e+1, 466529, 2
5.24359173e+1, 1.35293562e+1, 471516, 2
5.2435738e+1, 1.35296455e+1, 476536, 2
5.24356601e+1, 1.35297392e+1, 481527, 2
5.24356032e+1, 1.35296469e+1, 486529, 3
5.24354838e+1, 1.35294302e+1, 491538, 3
5.24353349e+1, 1.35291783e+1, 496545, 3
5.24352381e+1, 1.35289383e+1, 501524, 3
5.24351651e+1, 1.352887e+1, 506533, 3
5.24350535e+1, 1.35287626e+1, 511531, 3
5.24348818e+1, 1.35288946e+1, 516511, 3
5.2434736e+1, 1.35291723e+1, 521504, 3
5.2434576e+1, 1.35293841e+1, 526498, 3
5.24344162e+1, 1.3529594e+1, 531521, 3
5.24342583e+1, 1.35297987e+1, 536519, 3
5.24340906e+1, 1.35300676e+1, 541535, 3
5.2433958e+1, 1.3530306e+1, 546525, 3
5.24339274e+1, 1.3530375e+1, 551550, 3
5.24338577e+1, 1.35304673e+1, 556541, 2
5.24337082e+1, 1.35306453e+1, 561541, 3
5.24335362e+1, 1.35308881e+1, 566541, 3
5.24333611e+1, 1.35311524e+1, 571555, 3
5.24332182e+1, 1.35314037e+1, 576555, 2
5.24331004e+1, 1.3531624e+1, 581541, 2
5.24330097e+1, 1.3531641e+1, 586527, 1
5.24329178e+1, 1.35315245e+1, 591556, 1
5.24328126e+1, 1.35317099e+1, 596541, 1
5.2432681e+1, 1.35319398e+1, 601540, 2
5.24325405e+1, 1.35321922e+1, 606529, 2
5.24323838e+1, 1.35324395e+1, 611524, 2
5.24322305e+1, 1.35326873e+1, 616542, 2
5.24320715e+1, 1.35328752e+1, 621523, 2
5.24319019e+1, 1.353311e+1, 626545, 2
5.24317251e+1, 1.35333286e+1, 631551, 3
5.24315742e+1, 1.35335718e+1, 636548, 3
5.24314836e+1, 1.35336646e+1, 641557, 3
5.24314126e+1, 1.35334669e+1, 646535, 3
5.24312616e+1, 1.3533266e+1, 651538, 3
5.24311369e+1, 1.35330808e+1, 656539, 3
5.24310019e+1, 1.35328505e+1, 661529, 3
5.24308849e+1, 1.35325225e+1, 666561, 3
5.24307528e+1, 1.35321971e+1, 671543, 3
5.24306386e+1, 1.35318429e+1, 676525, 3
5.24305109e+1, 1.35315159e+1, 681526, 3
5.24304567e+1, 1.35312675e+1, 686533, 3
5.2430562e+1, 1.35311016e+1, 691560, 3
