17010, mapping, south_route
5.24299535e+1, 1.3531278e+1, 623, 3
5.24298109e+1, 1.3531078e+1, 5645, 3
5.24298165e+1, 1.35310674e+1, 10628, 3
5.24298263e+1, 1.35310629e+1, 15617, 3
5.24298042e+1, 1.35311126e+1, 20663, 3
5.24297211e+1, 1.35312727e+1, 25649, 3
5.24295847e+1, 1.35315001e+1, 30654, 3
5.24294343e+1, 1.35317422e+1, 35677, 3
5.24292991e+1, 1.35319826e+1, 40602, 3
5.24291213e+1, 1.35322372e+1, 45594, 3
5.24289498e+1, 1.35324855e+1, 50612, 3
5.24288202e+1, 1.35326508e+1, 55467, 2
5.24286934e+1, 1.35328525e+1, 60616, 2
5.24285831e+1, 1.35329953e+1, 65619, 2
5.24284499e+1, 1.35332258e+1, 70604, 2
5.24282785e+1, 1.35335076e+1, 75606, 2
5.24280654e+1, 1.35338186e+1, 80621, 2
5.2427875e+1, 1.35340903e+1, 85600, 2
5.24276983e+1, 1.35343282e+1, 90611, 2
5.24275075e+1, 1.35345868e+1, 95619, 2
5.24273353e+1, 1.35348406e+1, 100610, 2
5.24271907e+1, 1.35350661e+1, 105618, 2
5.2427237e+1, 1.35353349e+1, 110578, 2
5.24273835e+1, 1.35355763e+1, 115603, 2
5.24273314e+1, 1.35355518e+1, 120431, 2
5.24275604e+1, 1.35359118e+1, 125504, 2
5.24277365e+1, 1.353616e+1, 130609, 2
5.24278181e+1, 1.35363328e+1, 135578, 2
5.24279924e+1, 1.35365161e+1, 140626, 2
5.24282421e+1, 1.35370453e+1, 145467, 2
5.2428456e+1, 1.35373221e+1, 150591, 2
5.24286476e+1, 1.35375625e+1, 155614, 2
5.24287657e+1, 1.35377602e+1, 160601, 2
5.24289139e+1, 1.35379459e+1, 165595, 2
5.24290532e+1, 1.35381048e+1, 170593, 2
5.24291215e+1, 1.35383987e+1, 175595, 2
5.24291839e+1, 1.35385284e+1, 180596, 2
5.24292654e+1, 1.35387446e+1, 185598, 2
5.24295459e+1, 1.35390923e+1, 190319, 2
5.24297175e+1, 1.35394571e+1, 195596, 2
5.24299053e+1, 1.35397148e+1, 200593, 2
5.24300978e+1, 1.3540006e+1, 205596, 2
5.24302843e+1, 1.35402767e+1, 210594, 2
5.24304165e+1, 1.35404566e+1, 215625, 2
5.24304349e+1, 1.35405323e+1, 220587, 1
5.24304384e+1, 1.35405463e+1, 225586, 1
5.24304221e+1, 1.35405276e+1, 230605, 1
5.24304201e+1, 1.35405848e+1, 235603, 1
5.24304094e+1, 1.35406046e+1, 240602, 1
5.24304135e+1, 1.35406148e+1, 245592, 1
5.24304106e+1, 1.35406102e+1, 250609, 1
5.24304122e+1, 1.35406139e+1, 255616, 1
5.24304011e+1, 1.354062e+1, 260603, 1
5.2430405e+1, 1.3540681e+1, 265603, 1
5.24304818e+1, 1.35406974e+1, 270607, 3
