6f165, device, east_route
5.24300427e+1, 1.35310786e+1, 3047, 3
5.24300198e+1, 1.35310949e+1, 8056, 3
5.24299939e+1, 1.35311143e+1, 13042, 3
5.24299831e+1, 1.35311022e+1, 18066, 3
5.24299841e+1, 1.35311082e+1, 23061, 3
5.24300386e+1, 1.35310619e+1, 28004, 3
5.24300453e+1, 1.353106e+1, 32825, 4
5.2430127e+1, 1.35313012e+1, 37562, 4
5.24303184e+1, 1.35315921e+1, 42441, 4
5.2430496e+1, 1.35321525e+1, 48000, 3
5.24306157e+1, 1.35324899e+1, 53007, 3
5.24306591e+1, 1.35326085e+1, 58000, 3
5.24306555e+1, 1.35325991e+1, 63019, 3
5.24306551e+1, 1.35325979e+1, 68008, 3
5.24306551e+1, 1.35325979e+1, 73007, 3
5.24306551e+1, 1.35325979e+1, 78006, 3
5.24306748e+1, 1.35326583e+1, 83004, 3
5.24307526e+1, 1.35328831e+1, 88031, 3
5.2430862e+1, 1.35331971e+1, 93029, 3
5.24310106e+1, 1.35335097e+1, 98020, 3
5.24312026e+1, 1.35337859e+1, 103036, 3
5.24313941e+1, 1.35340783e+1, 108011, 3
5.2431599e+1, 1.35343679e+1, 113005, 3
5.24317562e+1, 1.35346337e+1, 117989, 3
5.24319218e+1, 1.35349291e+1, 123015, 3
5.24320752e+1, 1.35351875e+1, 128015, 3
5.24322312e+1, 1.35354671e+1, 133015, 2
5.24323911e+1, 1.35357306e+1, 138021, 3
5.24325596e+1, 1.35360293e+1, 143010, 3
5.24327136e+1, 1.3536287e+1, 148036, 3
5.24327824e+1, 1.35363565e+1, 153019, 3
5.24327861e+1, 1.35363628e+1, 158013, 3
5.24327859e+1, 1.35363624e+1, 163008, 3
5.24328058e+1, 1.35363724e+1, 167996, 3
5.2432889e+1, 1.35362501e+1, 173022, 2
5.2433032e+1, 1.35360406e+1, 178021, 2
5.24331527e+1, 1.35361122e+1, 183012, 2
5.24332537e+1, 1.35362715e+1, 188004, 2
5.24333393e+1, 1.35363987e+1, 193017, 2
5.24333699e+1, 1.35365023e+1, 198011, 2
5.24334618e+1, 1.35364166e+1, 203033, 2
5.24335604e+1, 1.35362205e+1, 208025, 3
5.2433647e+1, 1.3536053e+1, 213012, 3
5.24337615e+1, 1.3535846e+1, 218032, 3
5.24339096e+1, 1.35357843e+1, 223013, 3
5.24339422e+1, 1.35357413e+1, 228033, 3
5.24340042e+1, 1.35356279e+1, 233033, 3
5.24340688e+1, 1.35354988e+1, 238016, 3
5.24341556e+1, 1.35353896e+1, 243008, 1
5.24342471e+1, 1.35352443e+1, 248025, 1
5.24343498e+1, 1.3535092e+1, 253027, 1
5.24344358e+1, 1.35349538e+1, 258019, 1
5.24345172e+1, 1.35348236e+1, 263021, 1
5.24345948e+1, 1.35347272e+1, 268031, 1
