df600, device, north_route
5.24305911e+1, 1.35310729e+1, 1294, 4
5.24305911e+1, 1.35310729e+1, 6285, 4
5.24305687e+1, 1.35310161e+1, 11320, 4
5.24305663e+1, 1.35310099e+1, 16305, 3
5.2430566e+1, 1.35310093e+1, 21302, 3
5.24305644e+1, 1.35310033e+1, 26321, 3
5.24306277e+1, 1.35308887e+1, 31334, 3
5.24306356e+1, 1.35308694e+1, 36322, 3
5.24308929e+1, 1.35304724e+1, 41330, 3
5.24310275e+1, 1.353024e+1, 46178, 3
5.24311619e+1, 1.35299926e+1, 50731, 3
5.24312169e+1, 1.35299099e+1, 55554, 3
5.24313494e+1, 1.35297069e+1, 61035, 4
5.24315058e+1, 1.35294922e+1, 65782, 4
5.24316759e+1, 1.35293433e+1, 70484, 4
5.24318147e+1, 1.35291352e+1, 75568, 4
5.24319597e+1, 1.35289013e+1, 80684, 4
5.24321025e+1, 1.35287161e+1, 86020, 4
5.24322596e+1, 1.35284796e+1, 90770, 4
5.24324234e+1, 1.35283643e+1, 95809, 4
5.24325385e+1, 1.35282093e+1, 100370, 4
5.24326294e+1, 1.35280462e+1, 105140, 4
5.24326618e+1, 1.35280091e+1, 109703, 4
5.24327399e+1, 1.35278768e+1, 114638, 4
5.24328572e+1, 1.35276922e+1, 119129, 5
5.24330319e+1, 1.35274276e+1, 124015, 5
5.24331469e+1, 1.35272053e+1, 129268, 5
5.24333047e+1, 1.35269805e+1, 134616, 5
5.24334474e+1, 1.3526738e+1, 139176, 5
5.24335824e+1, 1.35265842e+1, 143707, 5
5.24337159e+1, 1.3526329e+1, 148329, 5
5.24338072e+1, 1.35261884e+1, 153462, 5
5.24339202e+1, 1.35260224e+1, 158385, 5
5.2434058e+1, 1.35258019e+1, 163065, 5
5.24341985e+1, 1.35255854e+1, 167710, 5
5.24343441e+1, 1.35254632e+1, 174396, 3
5.24344981e+1, 1.35253721e+1, 179106, 3
5.24344251e+1, 1.35253159e+1, 183614, 3
5.24344345e+1, 1.35252235e+1, 188602, 3
5.24344716e+1, 1.35251411e+1, 193180, 3
5.24346073e+1, 1.35249549e+1, 197764, 5
5.24347767e+1, 1.35247265e+1, 202868, 5
5.2434933e+1, 1.3524511e+1, 207842, 5
5.24350958e+1, 1.35242569e+1, 212850, 5
5.24352919e+1, 1.35239698e+1, 217633, 5
5.24354202e+1, 1.35237255e+1, 222664, 5
5.24355724e+1, 1.35234691e+1, 227791, 5
5.24356561e+1, 1.35233642e+1, 232524, 5
5.24356775e+1, 1.35233148e+1, 241287, 2
5.24356688e+1, 1.35233244e+1, 246279, 2
5.24356543e+1, 1.35233359e+1, 251268, 2
5.24356486e+1, 1.35233223e+1, 255852, 2
5.24358198e+1, 1.35229817e+1, 261281, 3
5.24359847e+1, 1.35227124e+1, 265819, 4
5.24361174e+1, 1.35224906e+1, 270606, 4
5.24362805e+1, 1.3522404e+1, 276228, 4
5.2436349e+1, 1.35224999e+1, 281187, 4
5.24365489e+1, 1.35224648e+1, 286136, 2
5.24366809e+1, 1.35224365e+1, 290647, 1
5.24368503e+1, 1.35223838e+1, 295263, 1
5.24370338e+1, 1.35223355e+1, 299968, 1
5.24371884e+1, 1.35222893e+1, 304562, 1
5.24373432e+1, 1.35222687e+1, 309583, 1
5.24375272e+1, 1.35222238e+1, 314340, 1
5.24377888e+1, 1.35221547e+1, 321287, 1
5.24379582e+1, 1.35221192e+1, 326281, 1
5.24380886e+1, 1.35221432e+1, 331253, 1
5.24381457e+1, 1.35223499e+1, 336264, 3
5.24381429e+1, 1.35226746e+1, 341280, 3
5.24381401e+1, 1.35230227e+1, 346302, 4
5.24381451e+1, 1.35233804e+1, 351270, 4
5.24381412e+1, 1.3523738e+1, 356291, 4
5.24381439e+1, 1.35241071e+1, 361273, 4
5.2438142e+1, 1.35244876e+1, 366291, 4
