4d33a, audio, south_route
5.2429935e+1, 1.35309394e+1, 3606, 4
5.2429935e+1, 1.35309394e+1, 8611, 4
5.2429935e+1, 1.35309394e+1, 13562, 4
5.2429935e+1, 1.35309394e+1, 18582, 4
5.2429935e+1, 1.35309394e+1, 23593, 4
5.2429935e+1, 1.35309394e+1, 28599, 4
5.2429935e+1, 1.35309394e+1, 33593, 4
5.2429935e+1, 1.35309394e+1, 38612, 4
5.2429935e+1, 1.35309394e+1, 43607, 4
5.24299147e+1, 1.35309969e+1, 48603, 4
5.24298434e+1, 1.3531183e+1, 53599, 4
5.2429676e+1, 1.35314143e+1, 58596, 4
5.24295163e+1, 1.35316442e+1, 63609, 4
5.24293537e+1, 1.35318313e+1, 68602, 4
5.24291941e+1, 1.35320748e+1, 73615, 4
5.24290271e+1, 1.35322991e+1, 78612, 4
5.24288659e+1, 1.35325633e+1, 83625, 4
5.24287587e+1, 1.35327101e+1, 88631, 4
5.24286011e+1, 1.35329544e+1, 93608, 4
5.24284351e+1, 1.35332078e+1, 98609, 4
5.24282687e+1, 1.35334815e+1, 103601, 4
5.24281175e+1, 1.35337426e+1, 108605, 4
5.24279563e+1, 1.35339641e+1, 113615, 4
5.24277826e+1, 1.35341864e+1, 118610, 4
5.24276108e+1, 1.35344179e+1, 123610, 4
5.24274424e+1, 1.35346563e+1, 128596, 4
5.24272885e+1, 1.35348835e+1, 133655, 4
5.24271662e+1, 1.35350731e+1, 138619, 4
5.24272335e+1, 1.3535336e+1, 143617, 4
5.24273939e+1, 1.3535601e+1, 148614, 4
5.24275408e+1, 1.35358634e+1, 153606, 4
5.24277093e+1, 1.35361398e+1, 158618, 4
5.24278671e+1, 1.35364311e+1, 163620, 4
5.24280332e+1, 1.35367369e+1, 168605, 4
5.24281978e+1, 1.35370244e+1, 173600, 4
5.24283627e+1, 1.35373011e+1, 178627, 4
5.24285033e+1, 1.35375872e+1, 183622, 4
5.24286517e+1, 1.353786e+1, 188608, 4
5.24287889e+1, 1.35380777e+1, 193614, 4
5.24288954e+1, 1.35382456e+1, 198612, 4
5.24290753e+1, 1.35384658e+1, 203618, 4
5.24292629e+1, 1.35386975e+1, 208622, 4
5.24294267e+1, 1.35389654e+1, 213616, 4
5.24295609e+1, 1.35392523e+1, 218628, 4
5.24296929e+1, 1.3539526e+1, 223634, 4
5.24298446e+1, 1.35397869e+1, 228624, 4
5.24299959e+1, 1.35400363e+1, 233615, 4
5.24301359e+1, 1.35402925e+1, 238628, 4
5.24302875e+1, 1.35404968e+1, 243616, 4
5.2430373e+1, 1.35406223e+1, 248617, 4
5.24304366e+1, 1.35407097e+1, 253613, 4
5.24305544e+1, 1.35405569e+1, 258613, 3
5.24306983e+1, 1.35402974e+1, 263623, 3
5.24308402e+1, 1.35400876e+1, 268633, 3
5.24310155e+1, 1.35398207e+1, 273611, 3
5.24311716e+1, 1.35395567e+1, 278626, 3
5.24313165e+1, 1.35392884e+1, 283606, 3
5.2431453e+1, 1.35390443e+1, 288612, 3
5.24315398e+1, 1.35388707e+1, 293628, 3
5.24316263e+1, 1.35386367e+1, 298606, 3
5.24317708e+1, 1.35383574e+1, 303606, 3
5.243192e+1, 1.35381394e+1, 308615, 3
5.24320598e+1, 1.35379105e+1, 313598, 3
5.243222e+1, 1.35376777e+1, 318612, 3
5.24323865e+1, 1.35374769e+1, 323595, 3
5.24325284e+1, 1.35372949e+1, 328616, 3
5.24326736e+1, 1.35370368e+1, 333620, 3
5.24328113e+1, 1.35367994e+1, 338628, 3
5.24329181e+1, 1.35366353e+1, 343624, 3
5.24329902e+1, 1.3536417e+1, 348632, 3
5.24330876e+1, 1.35362044e+1, 353625, 3
5.24330165e+1, 1.35360411e+1, 358601, 3
5.24328979e+1, 1.35358929e+1, 363614, 3
5.24327776e+1, 1.35356968e+1, 368604, 3
5.24326401e+1, 1.35354917e+1, 373614, 3
5.24325262e+1, 1.35353072e+1, 378629, 3
5.2432446e+1, 1.35351488e+1, 383626, 3
5.24324393e+1, 1.3535058e+1, 388616, 3
5.2432517e+1, 1.35348984e+1, 393628, 3
5.24326805e+1, 1.35346555e+1, 398619, 4
5.24328619e+1, 1.35344017e+1, 403621, 4
5.24330089e+1, 1.3534181e+1, 408608, 4
5.24331571e+1, 1.35339662e+1, 413625, 4
5.24333009e+1, 1.35337263e+1, 418627, 4
5.24334717e+1, 1.35334855e+1, 423607, 4
5.24336154e+1, 1.35332728e+1, 428641, 4
5.24337193e+1, 1.35331622e+1, 433605, 4
5.24337373e+1, 1.35329923e+1, 438637, 4
5.2433599e+1, 1.35327827e+1, 443628, 4
5.24334465e+1, 1.35325347e+1, 448613, 4
5.2433304e+1, 1.35322854e+1, 453622, 4
5.24331771e+1, 1.35320237e+1, 458635, 4
5.24330944e+1, 1.35318022e+1, 463610, 4
5.24332086e+1, 1.35315939e+1, 468595, 4
5.2433345e+1, 1.35314201e+1, 473625, 4
5.24333462e+1, 1.35312344e+1, 478646, 4
5.24332219e+1, 1.35309942e+1, 483621, 2
5.24330665e+1, 1.35307529e+1, 488622, 2
5.24329356e+1, 1.35305246e+1, 493610, 2
5.24328094e+1, 1.35302883e+1, 498647, 2
5.24326979e+1, 1.35300816e+1, 503650, 2
5.24326323e+1, 1.35300035e+1, 508613, 2
5.24325353e+1, 1.35299651e+1, 513619, 4
5.24323727e+1, 1.35302076e+1, 518634, 4
5.2432348e+1, 1.35302464e+1, 523609, 4
5.24320933e+1, 1.35305474e+1, 528092, 4
5.24320305e+1, 1.35304034e+1, 533007, 3
5.24318474e+1, 1.35300936e+1, 537589, 3
5.24317104e+1, 1.35298702e+1, 542405, 3
5.24316006e+1, 1.35296745e+1, 546963, 2
5.24315086e+1, 1.35294731e+1, 551902, 2
5.24314086e+1, 1.35295815e+1, 556443, 3
5.24312439e+1, 1.35298405e+1, 561414, 3
5.24311187e+1, 1.35300181e+1, 568614, 3
5.24310251e+1, 1.35301773e+1, 573638, 3
5.24308628e+1, 1.35303798e+1, 578625, 4
5.24307341e+1, 1.35306228e+1, 583628, 4
5.2430623e+1, 1.35308548e+1, 588618, 4
5.24304716e+1, 1.35310239e+1, 593639, 4
