b511a, mapping, east_route
5.24299163e+1, 1.35309972e+1, 2065, 2
5.24299162e+1, 1.35309974e+1, 7099, 2
5.24299162e+1, 1.35309974e+1, 12097, 2
5.24299162e+1, 1.35309974e+1, 17090, 2
5.24299162e+1, 1.35309974e+1, 22111, 2
5.24299235e+1, 1.3531001e+1, 27096, 2
5.24299259e+1, 1.35310037e+1, 32109, 2
5.24299418e+1, 1.35309995e+1, 37106, 2
5.24300583e+1, 1.35311463e+1, 42110, 2
5.24302099e+1, 1.35314219e+1, 47115, 2
5.24303308e+1, 1.35317075e+1, 52126, 2
5.24304378e+1, 1.35320196e+1, 57130, 2
5.24305516e+1, 1.35323138e+1, 62125, 2
5.2430641e+1, 1.35325599e+1, 67121, 2
5.24307085e+1, 1.35327439e+1, 72118, 2
5.24307923e+1, 1.35330259e+1, 77147, 2
5.24309118e+1, 1.35333098e+1, 82122, 2
5.2431042e+1, 1.35335822e+1, 87121, 2
5.24311966e+1, 1.353384e+1, 92118, 2
5.24313548e+1, 1.35340858e+1, 97116, 2
5.24315046e+1, 1.353431e+1, 102114, 2
5.24316513e+1, 1.35345618e+1, 107124, 2
5.24317951e+1, 1.35347978e+1, 112130, 2
5.24319219e+1, 1.35350449e+1, 117102, 2
5.24320366e+1, 1.35352391e+1, 121592, 2
5.24321775e+1, 1.35354176e+1, 127124, 2
5.24321168e+1, 1.3535278e+1, 131699, 2
5.24322825e+1, 1.35355176e+1, 136884, 2
5.24323793e+1, 1.35356802e+1, 142055, 2
5.2432563e+1, 1.35358731e+1, 146618, 2
5.24326453e+1, 1.35361706e+1, 151200, 2
5.24328113e+1, 1.35364023e+1, 157064, 2
5.24329649e+1, 1.35366024e+1, 162059, 2
5.24329773e+1, 1.35366116e+1, 167084, 2
5.24329698e+1, 1.35366092e+1, 172075, 2
5.24329672e+1, 1.35366077e+1, 177054, 2
5.24329947e+1, 1.35365218e+1, 182088, 2
5.24329984e+1, 1.35365009e+1, 187077, 2
5.24329975e+1, 1.35365008e+1, 192108, 2
5.24330036e+1, 1.35364851e+1, 197122, 2
5.24330729e+1, 1.35363726e+1, 202118, 2
5.2433207e+1, 1.35363976e+1, 207113, 2
5.24333707e+1, 1.35365906e+1, 212117, 3
5.24335142e+1, 1.35364089e+1, 217121, 3
5.24336334e+1, 1.35361603e+1, 222051, 3
5.24337878e+1, 1.35359467e+1, 227108, 3
5.24339489e+1, 1.35357736e+1, 232088, 1
5.24340114e+1, 1.35356133e+1, 237146, 1
5.24341119e+1, 1.3535411e+1, 242089, 1
5.2434261e+1, 1.35351902e+1, 247131, 1
5.24343982e+1, 1.35349809e+1, 252141, 1
5.24345106e+1, 1.35348046e+1, 257121, 1
5.24346165e+1, 1.35347193e+1, 262111, 1
5.24346759e+1, 1.35346942e+1, 267114, 5
5.24347902e+1, 1.35349583e+1, 272112, 5
5.24349135e+1, 1.35352064e+1, 277131, 5
5.2435076e+1, 1.35354255e+1, 282127, 5
5.24352011e+1, 1.35354713e+1, 287121, 4
5.24353134e+1, 1.35353041e+1, 292128, 4
5.24354497e+1, 1.35350852e+1, 297111, 4
5.24355982e+1, 1.35348697e+1, 302119, 4
5.24357498e+1, 1.3534669e+1, 307110, 4
5.24358139e+1, 1.35344305e+1, 312135, 4
5.2435656e+1, 1.35341631e+1, 317111, 4
5.24356245e+1, 1.35339025e+1, 322128, 4
5.24357461e+1, 1.35337154e+1, 327116, 4
5.24357008e+1, 1.35335759e+1, 332129, 4
5.24355464e+1, 1.35333796e+1, 337100, 4
5.24354142e+1, 1.35331689e+1, 342115, 4
5.24354233e+1, 1.35329496e+1, 347114, 4
5.24352778e+1, 1.35326707e+1, 352123, 4
5.24351102e+1, 1.3532401e+1, 357124, 4
5.24349518e+1, 1.35321362e+1, 362106, 4
5.24348057e+1, 1.35318938e+1, 367128, 4
5.24346821e+1, 1.35316644e+1, 371970, 4
5.24346422e+1, 1.35315853e+1, 376527, 4
5.24344926e+1, 1.35313253e+1, 381949, 4
5.24343605e+1, 1.35311e+1, 386630, 4
5.24341758e+1, 1.35307933e+1, 392124, 4
5.24339959e+1, 1.35305105e+1, 397112, 4
5.24338345e+1, 1.35302142e+1, 402113, 4
5.24336713e+1, 1.3529918e+1, 407117, 4
5.24334924e+1, 1.35296194e+1, 412117, 4
5.24333171e+1, 1.35293406e+1, 417123, 4
5.24332022e+1, 1.3529085e+1, 422091, 4
5.24330892e+1, 1.35288841e+1, 427116, 4
5.24329161e+1, 1.35285723e+1, 432098, 4
5.24327644e+1, 1.35282618e+1, 437118, 4
5.24325812e+1, 1.35280032e+1, 442116, 4
5.24324276e+1, 1.35277686e+1, 447103, 4
5.24322525e+1, 1.35275371e+1, 452125, 4
5.24321432e+1, 1.35273331e+1, 457110, 4
5.24320917e+1, 1.35271455e+1, 462109, 4
5.24320014e+1, 1.35271037e+1, 467101, 5
5.24318232e+1, 1.35272745e+1, 472115, 5
5.24315599e+1, 1.35274781e+1, 477141, 5
5.24313536e+1, 1.35276792e+1, 482140, 5
5.24311368e+1, 1.35278712e+1, 487129, 5
5.24309407e+1, 1.35280459e+1, 492132, 5
5.24307334e+1, 1.35282263e+1, 497118, 5
5.24305418e+1, 1.35283825e+1, 502126, 5
5.24304043e+1, 1.35285238e+1, 507117, 5
5.24304108e+1, 1.35288376e+1, 512114, 5
5.24304181e+1, 1.3529225e+1, 517139, 5
5.24304087e+1, 1.35295923e+1, 522128, 5
5.24304087e+1, 1.35299983e+1, 527113, 5
5.24303788e+1, 1.35303599e+1, 532134, 5
5.24303806e+1, 1.35306926e+1, 537125, 5
5.24304922e+1, 1.35309169e+1, 542131, 5
