94d88, audio, south_route
5.24298993e+1, 1.35310001e+1, 4694, 4
5.24299009e+1, 1.35310058e+1, 9695, 4
5.2429901e+1, 1.3531006e+1, 14725, 4
5.2429901e+1, 1.3531006e+1, 19741, 4
5.2429901e+1, 1.3531006e+1, 24718, 4
5.2429901e+1, 1.3531006e+1, 29731, 4
5.24299036e+1, 1.35310232e+1, 34741, 4
5.24299038e+1, 1.35310248e+1, 39734, 4
5.24299038e+1, 1.35310249e+1, 44737, 4
5.24299208e+1, 1.35310563e+1, 49744, 4
5.242982e+1, 1.35311714e+1, 54713, 4
5.24296635e+1, 1.35314304e+1, 59726, 4
5.24294946e+1, 1.35316303e+1, 64753, 4
5.24293093e+1, 1.35318889e+1, 69748, 4
5.24291039e+1, 1.35321488e+1, 74713, 4
5.24289227e+1, 1.35324291e+1, 79706, 4
5.24287452e+1, 1.35327109e+1, 84711, 4
5.24285489e+1, 1.35330187e+1, 89707, 4
5.24283545e+1, 1.35332958e+1, 94730, 4
5.24281782e+1, 1.35335614e+1, 99713, 4
5.24280275e+1, 1.3533825e+1, 104730, 4
5.24279322e+1, 1.35339864e+1, 109726, 4
5.24278079e+1, 1.3534114e+1, 114720, 3
5.24276715e+1, 1.35343203e+1, 119749, 3
5.24275104e+1, 1.35345598e+1, 124728, 3
5.24273418e+1, 1.35348322e+1, 129730, 3
5.24271658e+1, 1.35350982e+1, 134730, 3
5.24272251e+1, 1.35353461e+1, 139740, 3
5.24273935e+1, 1.35356196e+1, 144746, 3
5.24275525e+1, 1.353588e+1, 149716, 3
5.24277188e+1, 1.35361674e+1, 154720, 2
5.24278826e+1, 1.35364667e+1, 159727, 2
5.24280672e+1, 1.35367712e+1, 164712, 2
5.24282546e+1, 1.35370732e+1, 169722, 2
5.24284528e+1, 1.35373561e+1, 174720, 2
5.24286285e+1, 1.35376665e+1, 179717, 2
5.24288038e+1, 1.35379829e+1, 184705, 2
5.24289763e+1, 1.3538285e+1, 189711, 2
5.24291554e+1, 1.35385858e+1, 194713, 2
5.24293641e+1, 1.35388929e+1, 199717, 2
5.24295563e+1, 1.35391986e+1, 204719, 2
5.24297389e+1, 1.35395236e+1, 209718, 2
5.24299438e+1, 1.35398141e+1, 214719, 2
5.24301329e+1, 1.35401102e+1, 219720, 2
5.24303079e+1, 1.35404067e+1, 224712, 2
5.2430416e+1, 1.3540561e+1, 229722, 2
5.24305063e+1, 1.35406415e+1, 234720, 2
5.24306165e+1, 1.35404899e+1, 239725, 2
5.24307632e+1, 1.35402607e+1, 244733, 2
5.2430935e+1, 1.35399741e+1, 249740, 3
5.24310941e+1, 1.35397002e+1, 254728, 4
5.24312767e+1, 1.35393739e+1, 259722, 4
5.24314643e+1, 1.35390218e+1, 264723, 4
5.24316206e+1, 1.35387317e+1, 269711, 4
5.24317954e+1, 1.35384308e+1, 274717, 4
5.24319512e+1, 1.35381464e+1, 279732, 4
5.2432127e+1, 1.35378455e+1, 284700, 4
5.2432308e+1, 1.35375402e+1, 289724, 4
5.24325143e+1, 1.35372822e+1, 294719, 4
5.24326897e+1, 1.35369714e+1, 299710, 4
5.24328375e+1, 1.35367456e+1, 304728, 4
5.24328613e+1, 1.35366573e+1, 309732, 4
5.24328279e+1, 1.3536663e+1, 314752, 4
5.243282e+1, 1.35366685e+1, 319728, 4
5.2432819e+1, 1.35366692e+1, 324715, 4
5.24328258e+1, 1.35366526e+1, 329701, 4
5.24328265e+1, 1.35366509e+1, 334729, 4
5.24328017e+1, 1.35365293e+1, 339675, 4
5.2432791e+1, 1.35364592e+1, 344713, 4
5.24327891e+1, 1.35364548e+1, 349773, 4
5.24327889e+1, 1.35364544e+1, 354764, 4
5.24327889e+1, 1.35364544e+1, 359751, 4
5.24327889e+1, 1.35364544e+1, 364772, 4
5.24327889e+1, 1.35364544e+1, 369712, 4
5.24327889e+1, 1.35364544e+1, 374714, 4
5.24327889e+1, 1.35364544e+1, 379724, 4
5.24327648e+1, 1.35364154e+1, 384720, 4
5.243273e+1, 1.35363653e+1, 389701, 4
5.24327126e+1, 1.35363373e+1, 394731, 4
5.2432693e+1, 1.3536362e+1, 399713, 4
5.24326922e+1, 1.35363631e+1, 404717, 4
5.24327472e+1, 1.35363292e+1, 409719, 4
5.24328437e+1, 1.35362855e+1, 414160, 4
5.24329499e+1, 1.35363367e+1, 419519, 4
5.24329504e+1, 1.35359036e+1, 424059, 4
5.24327991e+1, 1.35356666e+1, 428839, 3
5.24325931e+1, 1.35353858e+1, 433540, 3
5.24324634e+1, 1.35350832e+1, 438515, 3
5.2432517e+1, 1.35349593e+1, 443165, 3
5.24327352e+1, 1.35345836e+1, 448475, 3
5.24329347e+1, 1.35343195e+1, 453240, 4
5.24331843e+1, 1.35339314e+1, 459713, 2
5.24333674e+1, 1.3533639e+1, 464728, 4
5.24335598e+1, 1.35333243e+1, 469720, 4
5.24337123e+1, 1.35330794e+1, 474750, 4
5.24335899e+1, 1.35327813e+1, 479724, 4
5.24334248e+1, 1.3532509e+1, 484732, 4
5.2433274e+1, 1.35322405e+1, 489731, 4
5.2433141e+1, 1.35320991e+1, 494711, 1
5.24330515e+1, 1.35319652e+1, 499731, 1
5.24330527e+1, 1.35317882e+1, 504733, 1
5.24330228e+1, 1.35316701e+1, 509742, 1
5.24331034e+1, 1.35315735e+1, 514728, 1
5.24332356e+1, 1.35313647e+1, 519761, 1
5.2433327e+1, 1.35311863e+1, 524753, 1
5.24332427e+1, 1.35310256e+1, 529750, 2
5.24330724e+1, 1.35307365e+1, 534736, 2
5.24328607e+1, 1.35304051e+1, 539747, 2
5.24327156e+1, 1.35301184e+1, 544730, 2
5.24326114e+1, 1.35299247e+1, 549738, 2
5.2432483e+1, 1.352998e+1, 554766, 2
5.24323395e+1, 1.35302278e+1, 559732, 2
5.24321908e+1, 1.35304773e+1, 564735, 2
5.24320074e+1, 1.3530405e+1, 569748, 2
5.24318888e+1, 1.35301973e+1, 574748, 2
5.2431753e+1, 1.35299437e+1, 579737, 2
5.24316248e+1, 1.35297238e+1, 584727, 1
5.24315163e+1, 1.35295185e+1, 589732, 2
5.24314162e+1, 1.35296222e+1, 594739, 2
5.24312603e+1, 1.35298529e+1, 599725, 2
5.24311397e+1, 1.35300799e+1, 604730, 2
5.2430986e+1, 1.35303073e+1, 609735, 5
5.24308187e+1, 1.35305397e+1, 614729, 5
5.24306557e+1, 1.35308308e+1, 619726, 5
5.24305223e+1, 1.35309691e+1, 624740, 5
5.24304483e+1, 1.35309632e+1, 629727, 5
