6f142, device, north_route
5.24304463e+1, 1.35309699e+1, 1430, 3
5.24304463e+1, 1.35309699e+1, 6422, 3
5.24304463e+1, 1.35309699e+1, 11435, 3
5.24304463e+1, 1.35309699e+1, 16431, 3
5.24304372e+1, 1.35309631e+1, 21438, 3
5.24304669e+1, 1.35309105e+1, 26422, 3
5.24305046e+1, 1.35308703e+1, 31447, 3
5.24306083e+1, 1.35308213e+1, 36441, 3
5.24307159e+1, 1.35306572e+1, 41352, 5
5.2430871e+1, 1.35304859e+1, 46360, 5
5.24310244e+1, 1.3530269e+1, 51438, 5
5.24310789e+1, 1.35302086e+1, 56006, 5
5.243127e+1, 1.35298461e+1, 61050, 5
5.24313351e+1, 1.3529669e+1, 65652, 2
5.24314667e+1, 1.35294964e+1, 70240, 2
5.24316305e+1, 1.35292782e+1, 75229, 2
5.24317457e+1, 1.35291236e+1, 81297, 2
5.24319848e+1, 1.35288366e+1, 85884, 2
5.24321656e+1, 1.35285605e+1, 91467, 2
5.24323401e+1, 1.35283386e+1, 96437, 2
5.24325064e+1, 1.35281246e+1, 101445, 2
5.24326501e+1, 1.35279957e+1, 106454, 2
5.24327933e+1, 1.35278237e+1, 111447, 2
5.24329348e+1, 1.35275687e+1, 116455, 2
5.24331303e+1, 1.3527272e+1, 121426, 2
5.24333189e+1, 1.35270088e+1, 126473, 2
5.24334739e+1, 1.35267219e+1, 131443, 2
5.24336388e+1, 1.35264591e+1, 136444, 2
5.24337849e+1, 1.35262215e+1, 141404, 2
5.24339523e+1, 1.35259306e+1, 146420, 4
5.24341143e+1, 1.35256886e+1, 151421, 4
5.24342759e+1, 1.35254777e+1, 156434, 4
5.24344611e+1, 1.35254431e+1, 161441, 4
5.24344436e+1, 1.35253708e+1, 166451, 2
5.2434417e+1, 1.35253073e+1, 171442, 2
5.24344708e+1, 1.35252419e+1, 176457, 2
5.2434448e+1, 1.35251633e+1, 181420, 2
5.24345802e+1, 1.35249946e+1, 186452, 2
5.24347167e+1, 1.35247562e+1, 191452, 4
5.24348524e+1, 1.35245087e+1, 196396, 4
5.24349796e+1, 1.35242554e+1, 201440, 4
5.24351425e+1, 1.35240228e+1, 206435, 4
5.24353371e+1, 1.35237563e+1, 211433, 4
5.24354879e+1, 1.35235827e+1, 216093, 4
5.24356695e+1, 1.35233125e+1, 221276, 4
5.24356886e+1, 1.35232258e+1, 226434, 4
5.2435739e+1, 1.3523152e+1, 231112, 4
5.24357728e+1, 1.35230365e+1, 236426, 4
5.24358581e+1, 1.35228735e+1, 241449, 4
5.24359894e+1, 1.35226816e+1, 246430, 3
5.24361171e+1, 1.35224838e+1, 251420, 3
5.24362725e+1, 1.3522452e+1, 256424, 3
5.24364591e+1, 1.35224821e+1, 261448, 1
5.24366326e+1, 1.3522421e+1, 266444, 1
5.24368322e+1, 1.35223761e+1, 271427, 1
5.24370377e+1, 1.35223337e+1, 276432, 1
5.24372522e+1, 1.35222778e+1, 281436, 1
5.24374751e+1, 1.35222324e+1, 286425, 1
5.2437702e+1, 1.35221665e+1, 291436, 1
5.24379279e+1, 1.35221169e+1, 296451, 1
5.24381243e+1, 1.35221218e+1, 301429, 1
5.24381635e+1, 1.35224197e+1, 306441, 3
5.24381518e+1, 1.35227665e+1, 311438, 3
5.24381521e+1, 1.35231125e+1, 316435, 3
5.24381485e+1, 1.35234999e+1, 321440, 3
5.24381376e+1, 1.35236876e+1, 326295, 3
5.24381481e+1, 1.35242425e+1, 331431, 3
5.24381543e+1, 1.35244454e+1, 335863, 3
5.24381474e+1, 1.35250155e+1, 341436, 3
5.24381536e+1, 1.3525406e+1, 346416, 3
5.24381556e+1, 1.3525775e+1, 351455, 3
5.24381602e+1, 1.35261111e+1, 356425, 3
5.24380972e+1, 1.35263012e+1, 361442, 3
5.24379639e+1, 1.35265435e+1, 366095, 3
5.2437775e+1, 1.35267829e+1, 371442, 4
5.24376495e+1, 1.3526974e+1, 375793, 4
5.24374392e+1, 1.35272622e+1, 381462, 4
5.24372441e+1, 1.35274731e+1, 386438, 4
5.24370655e+1, 1.35277234e+1, 391439, 4
5.24368822e+1, 1.35280002e+1, 396405, 4
5.24367403e+1, 1.35282657e+1, 401438, 4
5.24365776e+1, 1.35285059e+1, 406449, 4
5.24363943e+1, 1.35287318e+1, 411453, 4
5.24362052e+1, 1.35289811e+1, 416456, 4
5.24360448e+1, 1.35292728e+1, 421448, 4
5.24358621e+1, 1.35295505e+1, 426432, 4
5.24356988e+1, 1.35297767e+1, 431439, 4
5.24355989e+1, 1.35296796e+1, 436422, 4
5.24355112e+1, 1.35294705e+1, 441457, 4
5.24353449e+1, 1.35292268e+1, 446415, 4
5.24352425e+1, 1.35290087e+1, 451453, 4
5.24351806e+1, 1.35288506e+1, 456443, 4
5.24350438e+1, 1.35287788e+1, 461454, 4
5.24348737e+1, 1.35289073e+1, 466462, 4
5.24347397e+1, 1.35291366e+1, 471458, 4
5.24346084e+1, 1.35293133e+1, 476431, 4
5.24344729e+1, 1.35295111e+1, 481453, 4
5.2434329e+1, 1.35296922e+1, 486438, 4
5.24342092e+1, 1.3529939e+1, 491461, 4
5.24340644e+1, 1.35301414e+1, 496455, 4
5.24339106e+1, 1.35303584e+1, 501425, 4
5.24337518e+1, 1.35305667e+1, 505980, 4
5.24336181e+1, 1.35306998e+1, 511057, 3
5.24334881e+1, 1.3530954e+1, 515677, 3
5.24333529e+1, 1.35311604e+1, 520373, 2
5.24331668e+1, 1.35314662e+1, 525110, 2
5.24330026e+1, 1.35317067e+1, 530166, 2
5.24329346e+1, 1.35315409e+1, 535018, 1
5.24328316e+1, 1.35316707e+1, 540504, 1
5.24326785e+1, 1.35318958e+1, 545855, 1
5.24325341e+1, 1.35321537e+1, 550739, 2
5.24324093e+1, 1.3532353e+1, 555438, 2
5.24322746e+1, 1.35326027e+1, 560161, 2
5.24321584e+1, 1.35327676e+1, 564842, 2
5.24320289e+1, 1.35329749e+1, 569460, 2
5.24319507e+1, 1.35331281e+1, 574326, 2
5.24318304e+1, 1.35333537e+1, 579268, 2
5.24316584e+1, 1.35335943e+1, 584569, 2
5.24314677e+1, 1.35335753e+1, 589119, 2
5.24313518e+1, 1.35332971e+1, 593859, 2
5.24311822e+1, 1.35331192e+1, 598800, 2
5.24310365e+1, 1.3532912e+1, 603660, 2
5.24309131e+1, 1.35326485e+1, 608264, 2
5.24308014e+1, 1.35323482e+1, 613244, 2
5.24306963e+1, 1.3532071e+1, 618085, 2
5.24305874e+1, 1.35317565e+1, 623060, 2
5.24304665e+1, 1.35314655e+1, 628282, 2
5.24304093e+1, 1.35311676e+1, 632826, 2
5.24304852e+1, 1.35309004e+1, 638759, 2
