38b64, mapping, east_route
5.24299534e+1, 1.35309841e+1, 2167, 2
5.24299534e+1, 1.35309841e+1, 7204, 2
5.24299534e+1, 1.35309841e+1, 12189, 2
5.24299534e+1, 1.35309841e+1, 17214, 2
5.24299534e+1, 1.35309841e+1, 22191, 2
5.24299717e+1, 1.35309983e+1, 27196, 2
5.24299746e+1, 1.35309983e+1, 31784, 2
5.24302147e+1, 1.35314627e+1, 37233, 2
5.24303537e+1, 1.35317753e+1, 42221, 2
5.24304779e+1, 1.35320972e+1, 47224, 2
5.24305949e+1, 1.35324202e+1, 52177, 2
5.24307147e+1, 1.3532737e+1, 57200, 2
5.24308275e+1, 1.35330665e+1, 62206, 2
5.24309543e+1, 1.35333788e+1, 67231, 2
5.24311101e+1, 1.35336605e+1, 72234, 2
5.24312792e+1, 1.35339293e+1, 77203, 2
5.24314504e+1, 1.35341765e+1, 82218, 2
5.24316023e+1, 1.35344481e+1, 87228, 2
5.24317564e+1, 1.35346913e+1, 92230, 2
5.24318632e+1, 1.353488e+1, 96581, 2
5.24320223e+1, 1.35351562e+1, 101641, 2
5.24321269e+1, 1.35352779e+1, 107230, 2
5.24321289e+1, 1.35352622e+1, 112237, 2
5.24321342e+1, 1.35352659e+1, 116646, 2
5.24321385e+1, 1.35352766e+1, 122208, 2
5.24321422e+1, 1.35352826e+1, 127073, 2
5.24324628e+1, 1.35359675e+1, 132224, 2
5.24326705e+1, 1.35362309e+1, 137216, 2
5.24328362e+1, 1.35364803e+1, 142227, 2
5.24329776e+1, 1.35366456e+1, 147247, 2
5.24329661e+1, 1.35366101e+1, 152216, 2
5.24329595e+1, 1.35365891e+1, 157202, 2
5.24329603e+1, 1.35365774e+1, 161562, 2
5.24331792e+1, 1.35363254e+1, 167215, 2
5.24333033e+1, 1.35364228e+1, 172211, 2
5.24334118e+1, 1.35364887e+1, 177241, 2
5.2433589e+1, 1.35362433e+1, 182215, 2
5.24337425e+1, 1.35360622e+1, 187237, 2
5.24338972e+1, 1.35358691e+1, 192225, 2
5.24340016e+1, 1.35356931e+1, 197225, 1
5.24340414e+1, 1.35355182e+1, 202245, 1
5.24341538e+1, 1.35353831e+1, 207246, 1
5.24342576e+1, 1.35351912e+1, 212230, 1
5.24343596e+1, 1.35350276e+1, 217218, 1
5.24344633e+1, 1.35348742e+1, 222221, 1
5.24345635e+1, 1.35347371e+1, 227221, 1
5.24346101e+1, 1.35347102e+1, 232230, 1
5.24346161e+1, 1.35347214e+1, 237223, 1
5.24346399e+1, 1.35346983e+1, 242241, 5
5.24346775e+1, 1.35346428e+1, 247204, 5
5.24347477e+1, 1.35348397e+1, 252220, 5
5.24348376e+1, 1.3535045e+1, 257243, 5
5.24349783e+1, 1.3535276e+1, 262240, 5
5.24351147e+1, 1.35354705e+1, 267242, 5
5.24352434e+1, 1.35354668e+1, 272223, 3
5.24353581e+1, 1.35352587e+1, 277235, 3
5.24354758e+1, 1.35350122e+1, 282270, 3
5.24355994e+1, 1.35348312e+1, 287247, 3
5.24356803e+1, 1.35347258e+1, 292168, 3
5.24357767e+1, 1.35344736e+1, 297050, 3
5.24357266e+1, 1.35343109e+1, 302219, 3
5.2435645e+1, 1.35341172e+1, 306830, 3
5.24356381e+1, 1.35339572e+1, 312223, 3
5.24357258e+1, 1.35337557e+1, 316963, 3
5.24357176e+1, 1.35335637e+1, 321837, 3
5.24356067e+1, 1.3533397e+1, 326463, 3
5.2435441e+1, 1.35331077e+1, 332177, 3
5.2435414e+1, 1.35329913e+1, 336788, 5
5.24352844e+1, 1.35326793e+1, 342220, 5
5.24351343e+1, 1.35324295e+1, 347238, 5
5.24349821e+1, 1.35321722e+1, 352223, 5
5.24348169e+1, 1.35319062e+1, 357221, 5
5.24346749e+1, 1.35316629e+1, 362216, 5
5.24345492e+1, 1.35314144e+1, 367239, 4
5.24344187e+1, 1.35311879e+1, 372228, 4
5.24342862e+1, 1.35309407e+1, 377233, 4
5.24341362e+1, 1.3530698e+1, 382222, 4
5.24339888e+1, 1.35304476e+1, 387239, 4
5.24338462e+1, 1.35301896e+1, 392211, 4
5.24336901e+1, 1.35299369e+1, 397238, 4
5.24335696e+1, 1.35296945e+1, 401730, 4
5.24334084e+1, 1.35294137e+1, 406766, 4
5.24332328e+1, 1.35290827e+1, 412222, 4
5.24331322e+1, 1.35289408e+1, 416701, 3
5.2432938e+1, 1.35285732e+1, 422221, 3
5.24328049e+1, 1.35283428e+1, 426665, 3
5.24326419e+1, 1.35280405e+1, 431223, 3
5.2432482e+1, 1.35278595e+1, 435919, 3
5.24323331e+1, 1.35275342e+1, 441129, 3
5.24322366e+1, 1.35273158e+1, 446466, 3
5.24320397e+1, 1.35270731e+1, 451146, 3
5.24318954e+1, 1.3527177e+1, 455645, 3
5.24316961e+1, 1.35273421e+1, 460356, 3
5.24314836e+1, 1.35275452e+1, 465721, 3
5.24312922e+1, 1.35277e+1, 470523, 3
5.24310596e+1, 1.35279546e+1, 477247, 3
5.24308507e+1, 1.35281212e+1, 482224, 3
5.2430649e+1, 1.35282898e+1, 487232, 3
5.24304636e+1, 1.35284493e+1, 492234, 3
5.24303952e+1, 1.35287212e+1, 497232, 3
5.24304061e+1, 1.3529067e+1, 502241, 3
5.24304186e+1, 1.35294224e+1, 507240, 3
5.24304219e+1, 1.35297495e+1, 512239, 3
5.24304036e+1, 1.35301027e+1, 517258, 3
5.24303838e+1, 1.35304028e+1, 522261, 3
5.24303914e+1, 1.35306817e+1, 527241, 3
5.24304842e+1, 1.35308917e+1, 532246, 3
5.2430462e+1, 1.35309661e+1, 537224, 3
