time,rating
53.525,3
54.312,3
72.469,1
74.569,1
77.181,2
77.819,3
79.438,4
80.856,4
89.494,4
137.562,4
172.650,2
174.100,2
175.594,1
182.619,3
192.350,4
215.862,1
238.875,3
240.181,4
242.219,4
281.025,1
294.925,2
297.369,2
324.844,2
326.912,2
375.156,3
376.881,3
411.025,4
411.900,4
441.212,3
448.319,3
464.175,2
466.300,2
485.606,2
497.075,2
498.425,2
522.444,1
529.588,2
530.925,3
534.456,3
547.681,1
553.281,2
558.512,3
572.219,2
601.975,2
605.431,2
637.475,1
641.162,1
643.956,1
691.750,2
692.962,3
704.444,3
706.438,4
743.162,4
744.019,4
753.512,3
754.425,3
