0015a, audio, north_route
5.24305367e+1, 1.35311128e+1, 3805, 3
5.24305537e+1, 1.3531119e+1, 8823, 3
5.2430572e+1, 1.35311307e+1, 13795, 3
5.24305735e+1, 1.35311244e+1, 18737, 3
5.24305647e+1, 1.35311325e+1, 23759, 3
5.24305669e+1, 1.35311542e+1, 28758, 3
5.24305661e+1, 1.35311804e+1, 33752, 3
5.24305524e+1, 1.35311202e+1, 38763, 3
5.24305462e+1, 1.35311127e+1, 43759, 3
5.24305899e+1, 1.35310407e+1, 48758, 3
5.24307055e+1, 1.35308553e+1, 53754, 3
5.24307194e+1, 1.35308645e+1, 58749, 3
5.24308348e+1, 1.35306577e+1, 63770, 3
5.24309757e+1, 1.3530411e+1, 68764, 3
5.2431117e+1, 1.35301901e+1, 73293, 1
5.24312952e+1, 1.35298063e+1, 78789, 3
5.24313704e+1, 1.35296944e+1, 83576, 4
5.24315498e+1, 1.35295014e+1, 88664, 4
5.24316601e+1, 1.35293531e+1, 93767, 4
5.2431804e+1, 1.35291766e+1, 98457, 4
5.24319844e+1, 1.35289538e+1, 103690, 4
5.24319634e+1, 1.35289739e+1, 108277, 4
5.24321564e+1, 1.35286211e+1, 113273, 4
5.24323776e+1, 1.35283723e+1, 117911, 4
5.2432465e+1, 1.35282099e+1, 122992, 4
5.24325624e+1, 1.35279628e+1, 128774, 4
5.24325922e+1, 1.35279447e+1, 133611, 4
5.24327438e+1, 1.3527876e+1, 138729, 4
5.24328186e+1, 1.35277187e+1, 143600, 4
5.243296e+1, 1.35274917e+1, 148681, 4
5.24331399e+1, 1.35272027e+1, 153646, 4
5.24332876e+1, 1.35269636e+1, 158513, 4
5.24333105e+1, 1.35269188e+1, 163484, 4
5.24335386e+1, 1.35265621e+1, 168349, 4
5.24336382e+1, 1.3526461e+1, 173775, 2
5.24336437e+1, 1.35263451e+1, 178692, 1
5.24337192e+1, 1.35263012e+1, 183337, 3
5.24338372e+1, 1.35261173e+1, 188776, 3
5.24339861e+1, 1.35259553e+1, 193758, 4
5.24341428e+1, 1.35257503e+1, 198792, 4
5.24342402e+1, 1.35255816e+1, 203783, 4
5.24342823e+1, 1.35254216e+1, 208773, 4
5.24343671e+1, 1.35253839e+1, 213627, 4
5.24345006e+1, 1.35253454e+1, 218789, 1
5.2434396e+1, 1.3525421e+1, 223770, 1
5.24344662e+1, 1.35252453e+1, 228754, 1
5.24344625e+1, 1.3525152e+1, 233754, 1
5.24345567e+1, 1.35250214e+1, 238786, 1
5.24346498e+1, 1.35248507e+1, 243771, 4
5.24347521e+1, 1.35246842e+1, 248763, 4
5.24348826e+1, 1.35244513e+1, 253784, 4
5.24350242e+1, 1.35242328e+1, 258786, 4
5.24351569e+1, 1.35239806e+1, 263769, 4
5.2435307e+1, 1.35237764e+1, 268786, 4
5.24354448e+1, 1.35235562e+1, 273775, 4
5.24355553e+1, 1.35233666e+1, 278780, 4
5.24356288e+1, 1.35232661e+1, 283787, 1
5.24356772e+1, 1.35231543e+1, 288779, 1
5.24357492e+1, 1.35230429e+1, 293765, 1
5.24358475e+1, 1.35228948e+1, 298798, 2
5.24359629e+1, 1.35227236e+1, 303768, 2
5.2436077e+1, 1.3522541e+1, 308786, 2
5.24361846e+1, 1.3522416e+1, 313791, 2
5.24363095e+1, 1.35224909e+1, 318768, 2
5.2436439e+1, 1.35224944e+1, 323764, 2
5.24365785e+1, 1.35224536e+1, 328773, 2
5.24367522e+1, 1.35224033e+1, 333766, 2
5.24369409e+1, 1.35223597e+1, 338765, 2
5.24371282e+1, 1.35223095e+1, 343777, 2
5.24373335e+1, 1.35222655e+1, 348768, 2
5.24375381e+1, 1.3522222e+1, 353771, 2
5.24377314e+1, 1.35221636e+1, 358772, 2
5.24379154e+1, 1.35221183e+1, 363761, 2
5.24380357e+1, 1.35220975e+1, 368776, 2
5.24381484e+1, 1.35221974e+1, 373779, 2
5.24381564e+1, 1.35224523e+1, 378782, 3
5.24381539e+1, 1.35227388e+1, 383798, 3
5.24381478e+1, 1.35230243e+1, 388768, 3
5.24381473e+1, 1.35233192e+1, 393784, 3
5.24381468e+1, 1.35236229e+1, 398782, 3
5.24381595e+1, 1.35239503e+1, 403769, 3
5.24381533e+1, 1.35242882e+1, 408767, 3
5.2438158e+1, 1.35246058e+1, 413783, 4
5.24381582e+1, 1.35249358e+1, 418776, 4
5.24381586e+1, 1.35252747e+1, 423509, 4
5.24381394e+1, 1.35255879e+1, 428577, 4
5.24381682e+1, 1.35258881e+1, 433136, 4
5.24381572e+1, 1.35261936e+1, 438780, 4
5.24380555e+1, 1.35263718e+1, 443771, 3
5.24379013e+1, 1.35266119e+1, 448756, 3
5.24377337e+1, 1.35268224e+1, 453774, 3
5.2437593e+1, 1.3527019e+1, 458776, 3
5.24374594e+1, 1.35272269e+1, 463776, 3
5.24373008e+1, 1.35274205e+1, 468779, 2
5.2437156e+1, 1.35276345e+1, 473765, 2
5.24370128e+1, 1.35278714e+1, 478787, 2
5.24368524e+1, 1.35281096e+1, 483788, 2
5.24366809e+1, 1.35283131e+1, 488791, 2
5.24365336e+1, 1.35285236e+1, 493774, 2
5.24363994e+1, 1.35287225e+1, 498777, 2
5.24362427e+1, 1.35289223e+1, 503792, 2
5.24360898e+1, 1.35291885e+1, 508784, 2
5.24359347e+1, 1.35294369e+1, 513764, 2
5.24357944e+1, 1.35296738e+1, 518772, 2
5.24356842e+1, 1.35297773e+1, 523783, 1
5.24356229e+1, 1.35296857e+1, 528780, 1
5.24355127e+1, 1.35294786e+1, 533766, 3
5.24353783e+1, 1.3529244e+1, 538775, 3
5.24352643e+1, 1.35290612e+1, 543779, 3
5.24351784e+1, 1.35288878e+1, 548789, 1
5.24351108e+1, 1.35287607e+1, 553755, 2
5.24349737e+1, 1.35287698e+1, 558776, 3
5.24348303e+1, 1.35289433e+1, 563777, 3
5.24347048e+1, 1.35290903e+1, 568339, 3
5.24346163e+1, 1.35292967e+1, 573328, 2
5.24344774e+1, 1.35294408e+1, 578253, 2
5.2434374e+1, 1.35296502e+1, 582889, 2
5.24342105e+1, 1.35298339e+1, 587897, 2
5.24341066e+1, 1.3530088e+1, 593110, 2
5.24339315e+1, 1.35303175e+1, 598074, 2
5.24338539e+1, 1.35303682e+1, 602763, 2
5.2433796e+1, 1.35305683e+1, 608779, 2
5.24336785e+1, 1.35307519e+1, 613659, 2
5.24335163e+1, 1.35309706e+1, 618593, 2
5.2433366e+1, 1.35312814e+1, 623162, 2
5.24331993e+1, 1.35314726e+1, 627814, 2
5.2433097e+1, 1.35317356e+1, 632899, 2
5.24329737e+1, 1.3531774e+1, 637455, 2
5.2432847e+1, 1.35315852e+1, 642928, 1
5.24327304e+1, 1.35317761e+1, 647664, 1
5.24326309e+1, 1.35319818e+1, 652370, 1
5.24324718e+1, 1.35322645e+1, 657215, 1
5.24323549e+1, 1.35324536e+1, 661971, 1
5.2432224e+1, 1.35326518e+1, 666517, 1
5.24321111e+1, 1.35328404e+1, 671496, 1
5.24319648e+1, 1.35330472e+1, 676461, 1
5.24317814e+1, 1.35332702e+1, 681493, 1
5.24316613e+1, 1.3533447e+1, 686364, 1
5.24314865e+1, 1.35336813e+1, 692331, 2
5.24314252e+1, 1.35335355e+1, 696967, 3
5.24313019e+1, 1.35333091e+1, 701912, 3
5.2431135e+1, 1.35331343e+1, 706654, 4
5.2431043e+1, 1.35329493e+1, 711387, 4
5.24309843e+1, 1.35328456e+1, 717006, 4
5.24309347e+1, 1.35327163e+1, 723781, 4
5.24309486e+1, 1.35327367e+1, 728765, 4
5.24309525e+1, 1.35327562e+1, 733774, 4
5.2430916e+1, 1.35326055e+1, 738783, 4
5.24309543e+1, 1.35326995e+1, 743410, 4
5.24307417e+1, 1.35321584e+1, 748058, 4
5.24306295e+1, 1.35318918e+1, 752789, 4
5.24305437e+1, 1.35316666e+1, 757549, 3
5.24304496e+1, 1.3531384e+1, 762572, 3
5.24303458e+1, 1.35311374e+1, 768455, 3
5.24303178e+1, 1.35309542e+1, 773776, 3
5.2430335e+1, 1.35310013e+1, 778769, 3
