c0fc9, device, east_route
5.24299276e+1, 1.35309473e+1, 4907, 3
5.24299276e+1, 1.35309473e+1, 9899, 3
5.24299276e+1, 1.35309473e+1, 14913, 3
5.24299333e+1, 1.3530986e+1, 19916, 3
5.2429938e+1, 1.35309791e+1, 24315, 3
5.24299579e+1, 1.35309585e+1, 29308, 4
5.24302375e+1, 1.3531477e+1, 34014, 4
5.24303392e+1, 1.35317432e+1, 38574, 4
5.24303902e+1, 1.35318401e+1, 43118, 4
5.24305362e+1, 1.35322464e+1, 47711, 4
5.24306441e+1, 1.35325673e+1, 52923, 3
5.24307577e+1, 1.35328479e+1, 57774, 3
5.24308614e+1, 1.35331812e+1, 62885, 3
5.24309931e+1, 1.35334572e+1, 67469, 3
5.24310771e+1, 1.35336386e+1, 72063, 4
5.2431242e+1, 1.35338738e+1, 76730, 4
5.24314289e+1, 1.35341659e+1, 82151, 2
5.24315902e+1, 1.35344024e+1, 87247, 2
5.24317326e+1, 1.35346238e+1, 92226, 2
5.24318795e+1, 1.35348574e+1, 97264, 1
5.24320227e+1, 1.35351084e+1, 102488, 1
5.24321577e+1, 1.35352841e+1, 107105, 3
5.24323122e+1, 1.35355227e+1, 112121, 3
5.24324398e+1, 1.35357267e+1, 116970, 3
5.24325606e+1, 1.35359532e+1, 121639, 3
5.24327117e+1, 1.35361959e+1, 127010, 3
5.24328324e+1, 1.35363542e+1, 133928, 3
5.24328154e+1, 1.35363203e+1, 139935, 3
5.24328134e+1, 1.35363375e+1, 144909, 3
5.24328187e+1, 1.35363518e+1, 149914, 3
5.24328209e+1, 1.35363543e+1, 154641, 3
5.24328422e+1, 1.3536394e+1, 159924, 3
5.24329529e+1, 1.35365261e+1, 164915, 3
5.24329543e+1, 1.35365273e+1, 169913, 3
5.24329341e+1, 1.35365135e+1, 174920, 3
5.24329338e+1, 1.35365133e+1, 179907, 3
5.24329338e+1, 1.35365133e+1, 184908, 3
5.24329338e+1, 1.35365133e+1, 189911, 3
5.24329338e+1, 1.35365133e+1, 194907, 2
5.24329338e+1, 1.35365133e+1, 199899, 2
5.24329338e+1, 1.35365133e+1, 204922, 2
5.24329338e+1, 1.35365133e+1, 209907, 2
5.24329338e+1, 1.35365133e+1, 214912, 2
5.24329338e+1, 1.35365133e+1, 219911, 2
5.24329338e+1, 1.35365133e+1, 224940, 2
5.24329338e+1, 1.35365133e+1, 229910, 2
5.24329338e+1, 1.35365133e+1, 234916, 2
5.24329338e+1, 1.35365133e+1, 239909, 2
5.24329338e+1, 1.35365133e+1, 244913, 2
5.24329338e+1, 1.35365133e+1, 249915, 2
5.24329338e+1, 1.35365133e+1, 254913, 2
5.24329338e+1, 1.35365133e+1, 259923, 2
5.24329338e+1, 1.35365133e+1, 264934, 2
5.24329338e+1, 1.35365133e+1, 269921, 2
5.24329338e+1, 1.35365133e+1, 274923, 2
5.24329338e+1, 1.35365133e+1, 279907, 2
5.24329338e+1, 1.35365133e+1, 284925, 2
5.24329338e+1, 1.35365133e+1, 289919, 2
5.24329338e+1, 1.35365133e+1, 294910, 2
5.24329338e+1, 1.35365133e+1, 299915, 2
5.24329338e+1, 1.35365133e+1, 304909, 2
5.24329338e+1, 1.35365133e+1, 309911, 1
5.24329338e+1, 1.35365133e+1, 314921, 1
5.24329338e+1, 1.35365133e+1, 319927, 1
5.24329338e+1, 1.35365133e+1, 324901, 1
5.24329448e+1, 1.35365488e+1, 329919, 1
5.24329796e+1, 1.35364235e+1, 334934, 1
5.2433094e+1, 1.35362634e+1, 339909, 1
5.24332511e+1, 1.35362633e+1, 344905, 1
5.24333537e+1, 1.35363878e+1, 349926, 1
5.24334121e+1, 1.35365529e+1, 354932, 1
5.24334981e+1, 1.35364028e+1, 359943, 2
5.24336349e+1, 1.35361799e+1, 364928, 2
5.24337454e+1, 1.35359977e+1, 369937, 2
5.24338669e+1, 1.35358138e+1, 374928, 2
5.24339837e+1, 1.35356984e+1, 379918, 2
5.24340154e+1, 1.35355586e+1, 384919, 1
5.24341214e+1, 1.35354245e+1, 389915, 1
5.24342072e+1, 1.35352542e+1, 394920, 1
5.24343343e+1, 1.3535098e+1, 399928, 1
5.24344384e+1, 1.35349276e+1, 404924, 1
5.2434531e+1, 1.3534777e+1, 409924, 1
5.24346101e+1, 1.35347261e+1, 414935, 1
5.24346586e+1, 1.35346721e+1, 419927, 1
5.24347277e+1, 1.35347067e+1, 424934, 2
5.24348253e+1, 1.35349312e+1, 429945, 3
5.24349386e+1, 1.35351253e+1, 434941, 2
5.24350952e+1, 1.35353972e+1, 439941, 2
5.24351913e+1, 1.35355289e+1, 444933, 2
5.24353034e+1, 1.35353537e+1, 449914, 1
5.24354325e+1, 1.35351478e+1, 454929, 3
5.24355869e+1, 1.35348948e+1, 459916, 3
5.24357272e+1, 1.35346736e+1, 464925, 3
5.24357925e+1, 1.35343688e+1, 469924, 3
5.24356285e+1, 1.3534096e+1, 474878, 3
5.24356378e+1, 1.35338056e+1, 479922, 3
5.24357512e+1, 1.35336351e+1, 484930, 2
5.24356314e+1, 1.35334711e+1, 489948, 2
5.24354897e+1, 1.35332552e+1, 494957, 2
5.24354068e+1, 1.35330838e+1, 499926, 2
5.2435381e+1, 1.35328492e+1, 504925, 3
5.24351992e+1, 1.35325625e+1, 509936, 3
5.24350317e+1, 1.3532281e+1, 514943, 3
5.24348611e+1, 1.35320002e+1, 519937, 3
5.24347299e+1, 1.35317682e+1, 524925, 3
5.24346634e+1, 1.35316247e+1, 529943, 3
5.24346785e+1, 1.35316487e+1, 534928, 3
5.2434681e+1, 1.35316531e+1, 539923, 3
5.24346629e+1, 1.35315332e+1, 544925, 3
5.24345164e+1, 1.35313264e+1, 549924, 3
5.24343484e+1, 1.3531087e+1, 554934, 3
5.24341636e+1, 1.35307978e+1, 559948, 3
5.24340163e+1, 1.35305213e+1, 564935, 2
5.24338591e+1, 1.35302337e+1, 569932, 2
5.24336816e+1, 1.35299478e+1, 574927, 2
5.24335101e+1, 1.35296803e+1, 579930, 2
5.24333487e+1, 1.35294462e+1, 584955, 2
5.24331913e+1, 1.35292013e+1, 589922, 2
5.243309e+1, 1.35289447e+1, 594943, 2
5.24329479e+1, 1.35286623e+1, 599956, 2
5.2432794e+1, 1.3528386e+1, 604941, 2
5.24326672e+1, 1.35281596e+1, 609936, 2
5.24324827e+1, 1.35278878e+1, 614919, 2
5.24322956e+1, 1.35276422e+1, 619928, 2
5.24321261e+1, 1.35274522e+1, 624936, 2
5.2432056e+1, 1.35272218e+1, 629937, 2
5.24319631e+1, 1.35272116e+1, 634338, 3
5.24317214e+1, 1.35273432e+1, 639711, 3
5.24314216e+1, 1.35275612e+1, 644922, 3
5.24312094e+1, 1.35277894e+1, 649916, 3
5.24309928e+1, 1.35279984e+1, 654918, 3
5.2430768e+1, 1.35281917e+1, 659922, 3
5.2430532e+1, 1.35283823e+1, 664906, 3
5.24303682e+1, 1.35286022e+1, 669931, 3
5.24304018e+1, 1.35289559e+1, 674921, 3
5.24304079e+1, 1.35293406e+1, 679929, 2
5.24303899e+1, 1.35297502e+1, 684912, 2
5.24303731e+1, 1.35302022e+1, 689916, 2
5.24303586e+1, 1.35305945e+1, 694945, 3
5.24304707e+1, 1.3530889e+1, 699928, 3
5.24304492e+1, 1.3531032e+1, 704948, 3
5.2430372e+1, 1.35311149e+1, 709940, 3
