1d8da, mapping, south_route
5.24299008e+1, 1.35310069e+1, 1469, 3
5.24298904e+1, 1.35310132e+1, 6432, 3
5.24299001e+1, 1.35310415e+1, 11475, 3
5.24299037e+1, 1.35310199e+1, 16457, 3
5.24298914e+1, 1.35310958e+1, 21491, 3
5.24298887e+1, 1.3531107e+1, 26284, 3
5.24298043e+1, 1.35314101e+1, 31409, 3
5.24296501e+1, 1.35315004e+1, 36441, 3
5.24295108e+1, 1.35315983e+1, 41417, 3
5.24295285e+1, 1.35315664e+1, 46404, 3
5.2429528e+1, 1.3531566e+1, 51413, 3
5.24294967e+1, 1.35315981e+1, 56417, 3
5.24294166e+1, 1.35316976e+1, 61413, 3
5.24294038e+1, 1.353155e+1, 66221, 3
5.24291878e+1, 1.35320192e+1, 70803, 3
5.24290014e+1, 1.35322416e+1, 76121, 3
5.24288232e+1, 1.35324742e+1, 81427, 3
5.24287117e+1, 1.35327777e+1, 85863, 3
5.24285747e+1, 1.35330675e+1, 90842, 3
5.24284369e+1, 1.35331807e+1, 95782, 3
5.24282437e+1, 1.35335293e+1, 101440, 3
5.24280645e+1, 1.35337747e+1, 106446, 3
5.24278494e+1, 1.3534006e+1, 111425, 3
5.24277052e+1, 1.35342457e+1, 116450, 3
5.24275123e+1, 1.35344647e+1, 121440, 3
5.24273621e+1, 1.35346875e+1, 126467, 3
5.24272114e+1, 1.35349997e+1, 131449, 3
5.24272042e+1, 1.35353553e+1, 136444, 3
5.24273769e+1, 1.3535632e+1, 141431, 3
5.24275414e+1, 1.35359352e+1, 146459, 3
5.24277069e+1, 1.35362172e+1, 151451, 2
5.24278857e+1, 1.35365036e+1, 156434, 2
5.24280586e+1, 1.35368053e+1, 161425, 2
5.24282248e+1, 1.35370745e+1, 166430, 2
5.24283899e+1, 1.35373395e+1, 171448, 2
5.24285479e+1, 1.35376262e+1, 176443, 2
5.24286807e+1, 1.35379323e+1, 181441, 2
5.24287565e+1, 1.35379436e+1, 186415, 2
5.24289504e+1, 1.35383589e+1, 191240, 2
5.24291079e+1, 1.35385984e+1, 195765, 2
5.24293086e+1, 1.35388153e+1, 201426, 2
5.24294743e+1, 1.35391159e+1, 206156, 2
5.24295975e+1, 1.35393195e+1, 210795, 2
5.24298175e+1, 1.35396764e+1, 216433, 2
5.24299801e+1, 1.35399411e+1, 221462, 2
5.24301626e+1, 1.35402164e+1, 226444, 2
5.24302968e+1, 1.3540474e+1, 231451, 2
5.24303571e+1, 1.35406313e+1, 236452, 2
5.24303754e+1, 1.35406578e+1, 241450, 2
5.24303651e+1, 1.35406239e+1, 246436, 2
5.24304212e+1, 1.35406716e+1, 251439, 2
5.24304219e+1, 1.35405476e+1, 255842, 2
5.24306131e+1, 1.35404178e+1, 260463, 2
5.24307243e+1, 1.35401661e+1, 265233, 2
5.24308701e+1, 1.35400583e+1, 270205, 2
5.24310835e+1, 1.35397047e+1, 276452, 2
5.24312386e+1, 1.35394147e+1, 281442, 2
5.24313876e+1, 1.35391311e+1, 286464, 2
5.24315364e+1, 1.35389396e+1, 291474, 2
5.24316663e+1, 1.35386739e+1, 296413, 2
5.24317903e+1, 1.35384583e+1, 301445, 2
5.24319151e+1, 1.35382313e+1, 306442, 2
5.24320728e+1, 1.35380021e+1, 311442, 2
5.24322214e+1, 1.35377581e+1, 316436, 2
5.24323829e+1, 1.35375115e+1, 321440, 2
5.24325135e+1, 1.35372834e+1, 326443, 2
5.24326438e+1, 1.35370227e+1, 331445, 2
5.24327488e+1, 1.35368186e+1, 336446, 2
5.24328449e+1, 1.35366775e+1, 341441, 2
5.24328824e+1, 1.35366229e+1, 346442, 2
5.24328737e+1, 1.35366418e+1, 351427, 2
5.24328714e+1, 1.35366465e+1, 356450, 2
5.24328714e+1, 1.35366466e+1, 361444, 2
5.24328714e+1, 1.35366466e+1, 366436, 2
5.24328714e+1, 1.35366466e+1, 371447, 2
5.24329068e+1, 1.35365654e+1, 376436, 2
5.24329881e+1, 1.35364323e+1, 381436, 2
5.24330916e+1, 1.35362262e+1, 386440, 3
5.24330603e+1, 1.35360253e+1, 391452, 3
5.24329422e+1, 1.35358631e+1, 396424, 3
5.24328036e+1, 1.35356529e+1, 401446, 3
5.24326679e+1, 1.3535437e+1, 406448, 3
5.24325391e+1, 1.35352372e+1, 411461, 3
5.24324885e+1, 1.3535025e+1, 416446, 4
5.24326018e+1, 1.3534848e+1, 421441, 4
5.24327592e+1, 1.35346236e+1, 426445, 4
5.24329289e+1, 1.35343976e+1, 431454, 4
5.24330817e+1, 1.35341784e+1, 436462, 4
5.24332116e+1, 1.35339403e+1, 441448, 4
5.24333441e+1, 1.35337098e+1, 446445, 4
5.24334886e+1, 1.35334855e+1, 451447, 4
5.24336458e+1, 1.35332689e+1, 456449, 4
5.24337457e+1, 1.3533046e+1, 461469, 3
5.24336206e+1, 1.35328116e+1, 466457, 3
5.24334854e+1, 1.35325724e+1, 471459, 3
5.24333357e+1, 1.35323247e+1, 476448, 3
5.24331939e+1, 1.35320862e+1, 481459, 3
5.24330823e+1, 1.35318312e+1, 486471, 3
5.24331805e+1, 1.35316148e+1, 491441, 3
5.24333207e+1, 1.35314201e+1, 496447, 3
5.24333677e+1, 1.35312423e+1, 501456, 1
5.24332347e+1, 1.35310629e+1, 506447, 1
5.24331299e+1, 1.35308077e+1, 511455, 1
5.24329908e+1, 1.35305823e+1, 516459, 1
5.24328501e+1, 1.35303511e+1, 521430, 1
5.24327385e+1, 1.35301551e+1, 526461, 1
5.24326846e+1, 1.35299812e+1, 531433, 1
5.24325349e+1, 1.3529951e+1, 536465, 2
5.24323699e+1, 1.35301888e+1, 541447, 2
5.24322406e+1, 1.35304249e+1, 546454, 2
5.24321218e+1, 1.35305396e+1, 551465, 1
5.24319937e+1, 1.35303327e+1, 556447, 1
5.24318436e+1, 1.35300742e+1, 561453, 1
5.24317179e+1, 1.35298416e+1, 566431, 1
5.24316058e+1, 1.35296338e+1, 571455, 1
5.24314823e+1, 1.35295345e+1, 576450, 3
5.24313344e+1, 1.35296738e+1, 581450, 3
5.24311836e+1, 1.35298945e+1, 586471, 1
5.24310783e+1, 1.35301345e+1, 591467, 2
5.24309006e+1, 1.35303851e+1, 596470, 2
5.24307365e+1, 1.35306394e+1, 601454, 2
5.24305977e+1, 1.35309073e+1, 606458, 2
5.24304583e+1, 1.35310269e+1, 611455, 2
5.24303652e+1, 1.35311338e+1, 616465, 2
