e921d, audio, south_route
5.24299136e+1, 1.35309257e+1, 2917, 3
5.24298921e+1, 1.35309361e+1, 7894, 3
5.24298864e+1, 1.35309274e+1, 12917, 3
5.24298574e+1, 1.35309286e+1, 17927, 3
5.24298791e+1, 1.35309163e+1, 22920, 3
5.24298806e+1, 1.35309433e+1, 27889, 3
5.24298727e+1, 1.35309574e+1, 32926, 3
5.24298752e+1, 1.35309726e+1, 37911, 3
5.24298672e+1, 1.35309667e+1, 42914, 3
5.24299054e+1, 1.35309717e+1, 47921, 3
5.24298962e+1, 1.35310446e+1, 52922, 3
5.24297829e+1, 1.3531186e+1, 57917, 3
5.24296535e+1, 1.35313632e+1, 62936, 3
5.24295261e+1, 1.35314891e+1, 67918, 3
5.24294e+1, 1.35317019e+1, 72932, 3
5.24292602e+1, 1.35319103e+1, 77933, 3
5.2429088e+1, 1.35321087e+1, 82937, 3
5.24289378e+1, 1.35323541e+1, 87918, 3
5.24288179e+1, 1.3532581e+1, 92933, 3
5.24287262e+1, 1.35327463e+1, 97918, 3
5.24285907e+1, 1.35329398e+1, 102930, 3
5.2428471e+1, 1.3533182e+1, 107927, 3
5.24283576e+1, 1.35334029e+1, 112942, 3
5.24281864e+1, 1.35335953e+1, 117947, 3
5.24280364e+1, 1.35338008e+1, 122954, 3
5.24279018e+1, 1.35340006e+1, 127949, 3
5.24278032e+1, 1.35341532e+1, 132931, 3
5.24277128e+1, 1.35342611e+1, 137947, 3
5.2427565e+1, 1.35344617e+1, 142525, 3
5.24273328e+1, 1.35348156e+1, 147926, 3
5.24272534e+1, 1.35349192e+1, 152953, 3
5.2427138e+1, 1.3535266e+1, 157725, 3
5.24272595e+1, 1.35354585e+1, 162224, 3
5.24274143e+1, 1.35356918e+1, 167487, 3
5.24275535e+1, 1.35358979e+1, 172386, 3
5.24276659e+1, 1.35361269e+1, 177067, 3
5.24278119e+1, 1.35363632e+1, 182228, 3
5.24278858e+1, 1.35365057e+1, 187471, 3
5.24280803e+1, 1.35368687e+1, 192570, 3
5.24282612e+1, 1.3537112e+1, 197883, 3
5.24284424e+1, 1.35373413e+1, 202941, 3
5.24285555e+1, 1.35375617e+1, 207614, 3
5.24286386e+1, 1.35377818e+1, 212930, 3
5.24287682e+1, 1.35380132e+1, 217930, 3
5.24288517e+1, 1.35382351e+1, 222939, 3
5.24290288e+1, 1.35384527e+1, 227937, 3
5.24290712e+1, 1.35385768e+1, 232935, 3
5.24292955e+1, 1.35388396e+1, 237954, 3
5.2429397e+1, 1.35390174e+1, 242666, 3
5.24295406e+1, 1.35392485e+1, 247945, 3
5.24296665e+1, 1.35394872e+1, 252931, 3
5.24297819e+1, 1.35396786e+1, 257470, 3
5.24299451e+1, 1.35399446e+1, 262963, 3
5.24300826e+1, 1.3540164e+1, 267935, 3
5.24302799e+1, 1.35404026e+1, 272944, 3
5.24303488e+1, 1.35405914e+1, 277919, 3
5.24303676e+1, 1.35406004e+1, 282946, 3
5.2430387e+1, 1.35406175e+1, 287970, 3
5.24303898e+1, 1.35406087e+1, 292929, 3
5.24304691e+1, 1.35406547e+1, 297920, 3
5.24304469e+1, 1.35406202e+1, 302528, 3
5.24306853e+1, 1.35404056e+1, 307186, 3
5.24307645e+1, 1.35401711e+1, 311839, 4
5.24309302e+1, 1.35399581e+1, 317950, 4
5.24310487e+1, 1.35397564e+1, 322948, 4
5.24311917e+1, 1.35394931e+1, 327928, 4
5.24313315e+1, 1.3539298e+1, 332939, 4
5.24314696e+1, 1.35390156e+1, 337946, 4
5.24316097e+1, 1.3538754e+1, 342948, 4
5.24317379e+1, 1.35385317e+1, 347908, 4
5.24318649e+1, 1.35383514e+1, 352951, 4
5.24319694e+1, 1.35381493e+1, 357483, 4
5.24320998e+1, 1.35379194e+1, 362682, 4
5.24322398e+1, 1.35377468e+1, 367702, 4
5.24323363e+1, 1.35374998e+1, 372767, 4
5.243249e+1, 1.35373565e+1, 377366, 4
5.24326086e+1, 1.35371133e+1, 382047, 4
5.24327189e+1, 1.35368881e+1, 387008, 4
5.24328004e+1, 1.35366843e+1, 392012, 4
5.24328345e+1, 1.35366616e+1, 397945, 4
5.24328753e+1, 1.3536636e+1, 402934, 4
5.24328554e+1, 1.35366701e+1, 407933, 4
5.2432857e+1, 1.35366878e+1, 412927, 4
5.24328534e+1, 1.35366731e+1, 417930, 4
5.24328524e+1, 1.3536671e+1, 422938, 4
5.24328935e+1, 1.35366011e+1, 427932, 4
5.24328713e+1, 1.35366628e+1, 432529, 4
5.24330859e+1, 1.35362767e+1, 437958, 4
5.2432974e+1, 1.35360048e+1, 442947, 4
5.24328628e+1, 1.35357547e+1, 447955, 4
5.24327681e+1, 1.35355219e+1, 452942, 4
5.24326399e+1, 1.35353475e+1, 457955, 4
5.24325182e+1, 1.35352179e+1, 462931, 4
5.24324481e+1, 1.35351323e+1, 467945, 4
5.24324285e+1, 1.35350465e+1, 472944, 4
5.24325524e+1, 1.35348496e+1, 477934, 4
5.24326967e+1, 1.3534681e+1, 482955, 4
5.24328512e+1, 1.35344695e+1, 487951, 4
5.24329673e+1, 1.35342635e+1, 492921, 4
5.24331112e+1, 1.35340673e+1, 497938, 4
5.24332168e+1, 1.35338519e+1, 502940, 4
5.24333553e+1, 1.35336444e+1, 507946, 4
5.24334938e+1, 1.35334331e+1, 512925, 4
5.24336341e+1, 1.35332174e+1, 517958, 4
5.24337251e+1, 1.35330793e+1, 522939, 4
5.24336418e+1, 1.35328368e+1, 527941, 4
5.24334778e+1, 1.35325825e+1, 532970, 3
5.24333279e+1, 1.35323535e+1, 537935, 3
5.2433217e+1, 1.35321372e+1, 542947, 3
5.24330994e+1, 1.353193e+1, 547942, 3
5.24331162e+1, 1.35316827e+1, 552973, 3
5.24332853e+1, 1.35315063e+1, 557946, 3
5.24333596e+1, 1.35313027e+1, 562949, 3
5.24332403e+1, 1.35311073e+1, 567948, 4
5.24331451e+1, 1.35308725e+1, 572933, 4
5.24330449e+1, 1.35306947e+1, 577804, 3
5.24329496e+1, 1.35305518e+1, 582785, 3
5.24328106e+1, 1.3530352e+1, 587599, 3
5.24327078e+1, 1.35301313e+1, 592620, 4
5.24327011e+1, 1.35299716e+1, 597672, 4
5.24325812e+1, 1.35300531e+1, 602370, 4
5.24325026e+1, 1.35301528e+1, 607128, 3
5.24323521e+1, 1.35303921e+1, 611671, 3
5.2432282e+1, 1.35305077e+1, 616505, 3
5.24321838e+1, 1.35304924e+1, 621660, 3
5.24320194e+1, 1.35303529e+1, 626498, 3
5.2431916e+1, 1.3530169e+1, 632006, 3
5.24317682e+1, 1.35299225e+1, 637932, 3
5.24316687e+1, 1.35297409e+1, 642940, 3
5.24315678e+1, 1.35295674e+1, 647937, 3
5.24315048e+1, 1.3529613e+1, 652938, 4
5.24313604e+1, 1.35297619e+1, 657947, 4
5.24312158e+1, 1.35298759e+1, 662949, 4
5.24311079e+1, 1.35300161e+1, 667950, 3
5.24309702e+1, 1.35302514e+1, 672949, 3
5.24307984e+1, 1.3530483e+1, 677946, 3
5.24307189e+1, 1.35306782e+1, 682939, 3
5.24305995e+1, 1.35308631e+1, 687938, 3
5.24304303e+1, 1.3531007e+1, 692509, 3
5.24304371e+1, 1.35309671e+1, 697940, 3
5.24304511e+1, 1.35309769e+1, 702937, 3
