d606f, mapping, east_route
5.24299207e+1, 1.35309341e+1, 1210, 3
5.24299207e+1, 1.35309341e+1, 6182, 3
5.24299207e+1, 1.35309341e+1, 11188, 3
5.24299374e+1, 1.35309312e+1, 16217, 3
5.24300025e+1, 1.35309984e+1, 21210, 3
5.24300656e+1, 1.35311498e+1, 26219, 3
5.24301616e+1, 1.35313306e+1, 31236, 3
5.24302447e+1, 1.35315363e+1, 36209, 3
5.24303532e+1, 1.3531751e+1, 41223, 3
5.24304344e+1, 1.35319912e+1, 46233, 3
5.24305124e+1, 1.35322301e+1, 51224, 3
5.24305898e+1, 1.35324819e+1, 56166, 3
5.24306828e+1, 1.35327147e+1, 61194, 3
5.24307746e+1, 1.35329733e+1, 66182, 3
5.24308789e+1, 1.35332054e+1, 71054, 3
5.24309562e+1, 1.35334282e+1, 76219, 3
5.24311101e+1, 1.35336387e+1, 81102, 3
5.24312493e+1, 1.35338672e+1, 86224, 3
5.24314088e+1, 1.3534089e+1, 91247, 3
5.24315429e+1, 1.35343033e+1, 96269, 3
5.24316903e+1, 1.35345044e+1, 100768, 3
5.2431797e+1, 1.35346873e+1, 105894, 3
5.24318557e+1, 1.35348919e+1, 110560, 3
5.24320092e+1, 1.35350627e+1, 115608, 3
5.24321433e+1, 1.35352464e+1, 120184, 3
5.2432244e+1, 1.3535426e+1, 125180, 3
5.24324056e+1, 1.35356996e+1, 130307, 3
5.24325377e+1, 1.35358774e+1, 135055, 3
5.24326366e+1, 1.35360698e+1, 139967, 3
5.2432749e+1, 1.35362163e+1, 144840, 3
5.24328211e+1, 1.35363418e+1, 149699, 3
5.24328603e+1, 1.35363007e+1, 154967, 3
5.2432922e+1, 1.353624e+1, 159492, 3
5.24329732e+1, 1.35360826e+1, 166261, 3
5.24330095e+1, 1.3536001e+1, 171204, 4
5.24330936e+1, 1.35361192e+1, 176231, 4
5.24331907e+1, 1.35362263e+1, 181208, 4
5.24332865e+1, 1.35363431e+1, 186235, 4
5.24333856e+1, 1.35365212e+1, 191261, 4
5.24334826e+1, 1.35363736e+1, 196228, 4
5.24335957e+1, 1.35362235e+1, 201222, 4
5.24336954e+1, 1.35360584e+1, 206234, 4
5.24338292e+1, 1.35359117e+1, 211258, 4
5.24339212e+1, 1.35357823e+1, 216230, 4
5.24339806e+1, 1.35356454e+1, 221225, 1
5.24340204e+1, 1.35355407e+1, 226234, 1
5.24341237e+1, 1.35354298e+1, 231232, 1
5.24342079e+1, 1.3535297e+1, 236224, 1
5.24342776e+1, 1.35351591e+1, 241220, 1
5.24343566e+1, 1.35350204e+1, 246221, 1
5.24344193e+1, 1.35348755e+1, 251246, 1
5.24345002e+1, 1.35347673e+1, 256244, 1
5.24345708e+1, 1.35347333e+1, 261265, 1
