9defa, device, north_route
5.24306136e+1, 1.35309413e+1, 1776, 3
5.2430611e+1, 1.35309122e+1, 6811, 3
5.24306183e+1, 1.35309238e+1, 11822, 3
5.24306364e+1, 1.3530922e+1, 16832, 3
5.24306463e+1, 1.35308575e+1, 21807, 3
5.24306613e+1, 1.35308305e+1, 26808, 3
5.24306668e+1, 1.35308249e+1, 31819, 3
5.2430729e+1, 1.35307762e+1, 36841, 3
5.24308972e+1, 1.35305371e+1, 41829, 3
5.24310129e+1, 1.35304009e+1, 46502, 3
5.24311028e+1, 1.35302289e+1, 51191, 3
5.24311511e+1, 1.35301626e+1, 56834, 3
5.24312887e+1, 1.3529804e+1, 61503, 4
5.24312963e+1, 1.35297586e+1, 66679, 4
5.24314106e+1, 1.3529604e+1, 71633, 4
5.24315877e+1, 1.35293769e+1, 76831, 4
5.24318137e+1, 1.35291583e+1, 81369, 4
5.24318702e+1, 1.35291147e+1, 86300, 4
5.24320055e+1, 1.35289354e+1, 90937, 4
5.24322108e+1, 1.35285101e+1, 96323, 4
5.24323904e+1, 1.35283774e+1, 101143, 4
5.24325012e+1, 1.35282315e+1, 105681, 4
5.24326145e+1, 1.35281302e+1, 111186, 4
5.2432669e+1, 1.3527961e+1, 116816, 5
5.24327703e+1, 1.35277619e+1, 121819, 5
5.24328172e+1, 1.35277587e+1, 126855, 4
5.24329563e+1, 1.35275688e+1, 131839, 4
5.24330737e+1, 1.35273572e+1, 136603, 4
5.24331802e+1, 1.35272015e+1, 141602, 4
5.24332945e+1, 1.35270554e+1, 146201, 4
5.24334011e+1, 1.3526856e+1, 150863, 4
5.24334914e+1, 1.35267387e+1, 155404, 4
5.24336067e+1, 1.35265852e+1, 160558, 4
5.24337317e+1, 1.35264348e+1, 165516, 4
5.24337963e+1, 1.3526232e+1, 170023, 5
5.24338992e+1, 1.35260846e+1, 175017, 5
5.24340151e+1, 1.35259297e+1, 180283, 5
5.24341368e+1, 1.35256934e+1, 185042, 5
5.24342289e+1, 1.35255453e+1, 189562, 5
5.24343779e+1, 1.35254209e+1, 196638, 5
5.24345077e+1, 1.35254494e+1, 201603, 5
5.2434489e+1, 1.35253812e+1, 206625, 3
5.24344487e+1, 1.3525287e+1, 211777, 3
5.24344743e+1, 1.35251993e+1, 216829, 2
5.24344618e+1, 1.35252252e+1, 221830, 1
5.24344552e+1, 1.35252247e+1, 226390, 1
5.24344591e+1, 1.35252064e+1, 230822, 5
5.2434536e+1, 1.35251026e+1, 235759, 5
5.24347284e+1, 1.35247408e+1, 240892, 5
5.24348725e+1, 1.35245201e+1, 245572, 5
5.24349936e+1, 1.35243276e+1, 250220, 5
5.24350957e+1, 1.35241525e+1, 255039, 5
5.24352305e+1, 1.35240176e+1, 259839, 5
5.24353592e+1, 1.35238394e+1, 265223, 5
5.24354748e+1, 1.3523632e+1, 270762, 5
5.24355705e+1, 1.35234523e+1, 275325, 5
5.24356281e+1, 1.35233362e+1, 280024, 5
5.24356739e+1, 1.35232326e+1, 286834, 5
5.24357454e+1, 1.35230977e+1, 291835, 5
5.24358456e+1, 1.35229216e+1, 296832, 5
