ec805, mapping, east_route
5.24298953e+1, 1.35309446e+1, 2787, 4
5.24298944e+1, 1.35309537e+1, 7824, 4
5.24298973e+1, 1.35309571e+1, 12828, 4
5.24298986e+1, 1.35309581e+1, 17827, 4
5.24298977e+1, 1.35309594e+1, 22835, 4
5.24298985e+1, 1.3530953e+1, 27840, 4
5.24299063e+1, 1.35309487e+1, 32835, 4
5.24299123e+1, 1.35309562e+1, 37834, 4
5.24299235e+1, 1.35309423e+1, 42826, 4
5.24299254e+1, 1.35309412e+1, 47828, 4
5.24299253e+1, 1.35309428e+1, 52819, 4
5.24299255e+1, 1.35309437e+1, 57799, 4
5.24299345e+1, 1.35309429e+1, 62819, 4
5.24300619e+1, 1.35311221e+1, 67840, 4
5.24302088e+1, 1.3531448e+1, 72841, 4
5.24303262e+1, 1.35317588e+1, 77843, 4
5.24304576e+1, 1.35320871e+1, 82821, 4
5.24305684e+1, 1.35323917e+1, 87853, 4
5.24306516e+1, 1.3532592e+1, 92854, 4
5.24306907e+1, 1.35326824e+1, 97842, 4
5.24307799e+1, 1.35329326e+1, 102861, 4
5.24308909e+1, 1.35332394e+1, 107858, 4
5.2431019e+1, 1.35335106e+1, 112846, 4
5.2431164e+1, 1.35337866e+1, 117865, 4
5.24313397e+1, 1.35340519e+1, 122851, 4
5.24315221e+1, 1.35343158e+1, 127833, 4
5.24316902e+1, 1.35346051e+1, 132848, 4
5.24318675e+1, 1.35348788e+1, 137844, 4
5.24320312e+1, 1.35351279e+1, 142840, 4
5.2432081e+1, 1.3535196e+1, 147847, 4
5.24320731e+1, 1.35352243e+1, 152846, 4
5.24320694e+1, 1.35352215e+1, 157865, 4
5.24320691e+1, 1.35352213e+1, 162819, 4
5.24320715e+1, 1.35352202e+1, 167821, 4
5.24320719e+1, 1.353522e+1, 172839, 4
5.24320719e+1, 1.353522e+1, 177831, 4
5.24320719e+1, 1.353522e+1, 182847, 4
5.24320892e+1, 1.35352478e+1, 187842, 4
5.24320914e+1, 1.35352778e+1, 192595, 4
5.24321729e+1, 1.35353757e+1, 197368, 4
5.24324518e+1, 1.3535831e+1, 202398, 4
5.24326222e+1, 1.35360835e+1, 207266, 4
5.2432852e+1, 1.35363403e+1, 212052, 4
5.24328118e+1, 1.35364441e+1, 217163, 4
5.24330446e+1, 1.3536715e+1, 222827, 4
5.24329826e+1, 1.35366339e+1, 227869, 2
5.24329989e+1, 1.35365985e+1, 232756, 2
5.24330534e+1, 1.35364411e+1, 237801, 2
5.24331443e+1, 1.35363039e+1, 242357, 4
5.24333429e+1, 1.35364413e+1, 247855, 4
5.2433446e+1, 1.35365045e+1, 252836, 4
5.24335941e+1, 1.35362888e+1, 257830, 4
5.2433737e+1, 1.35361147e+1, 262868, 4
5.2433879e+1, 1.35359478e+1, 267859, 4
5.24339546e+1, 1.35358428e+1, 272853, 4
5.24339492e+1, 1.35357691e+1, 277859, 1
5.24340038e+1, 1.35356066e+1, 282848, 1
5.2434111e+1, 1.35354302e+1, 287846, 1
5.24342255e+1, 1.35352462e+1, 292847, 1
5.24343357e+1, 1.35350716e+1, 297866, 1
5.24344491e+1, 1.35348902e+1, 302856, 1
