7e3ce, device, north_route
5.24306013e+1, 1.35310403e+1, 2981, 3
5.24306084e+1, 1.35310306e+1, 8013, 3
5.24306138e+1, 1.35310301e+1, 12997, 3
5.24306115e+1, 1.35310179e+1, 18016, 3
5.24305995e+1, 1.35310206e+1, 23008, 3
5.24305905e+1, 1.35310284e+1, 28038, 3
5.24305873e+1, 1.35310282e+1, 33044, 3
5.24305885e+1, 1.35310278e+1, 38023, 3
5.24306265e+1, 1.3530934e+1, 43063, 3
5.24306216e+1, 1.35310169e+1, 47345, 3
5.24308365e+1, 1.35305807e+1, 52374, 3
5.24309771e+1, 1.35303624e+1, 58019, 4
5.24311069e+1, 1.35301711e+1, 63021, 4
5.24312614e+1, 1.35297558e+1, 67814, 4
5.24314144e+1, 1.3529594e+1, 72313, 4
5.24315769e+1, 1.35293962e+1, 77336, 4
5.24317563e+1, 1.3529182e+1, 82475, 5
5.24319037e+1, 1.35290041e+1, 87018, 5
5.24319989e+1, 1.3528843e+1, 91816, 5
5.24323138e+1, 1.35284867e+1, 97934, 5
5.2432523e+1, 1.35282082e+1, 102979, 5
5.24326514e+1, 1.35280674e+1, 107974, 4
5.24327397e+1, 1.35278979e+1, 112969, 4
5.24328706e+1, 1.35277294e+1, 117990, 4
5.24330331e+1, 1.35274813e+1, 122974, 5
5.24332195e+1, 1.35271944e+1, 127963, 5
5.24333992e+1, 1.35268804e+1, 132962, 5
5.24335735e+1, 1.35266201e+1, 137998, 5
5.24336881e+1, 1.3526443e+1, 142937, 5
5.24337327e+1, 1.35263007e+1, 147973, 5
5.24338874e+1, 1.3526114e+1, 152976, 5
5.24340352e+1, 1.35258576e+1, 157957, 5
5.24341721e+1, 1.35256373e+1, 162951, 5
5.24343183e+1, 1.35254764e+1, 167962, 5
5.24344608e+1, 1.35254026e+1, 172990, 3
5.24344682e+1, 1.35253615e+1, 177968, 3
5.24344401e+1, 1.3525353e+1, 182964, 3
5.24344402e+1, 1.35253558e+1, 187979, 3
5.24344302e+1, 1.35253654e+1, 192961, 3
5.24344331e+1, 1.3525321e+1, 197947, 3
5.24344532e+1, 1.35252482e+1, 202952, 3
5.24345174e+1, 1.35251176e+1, 207999, 3
5.24346666e+1, 1.35248961e+1, 212986, 5
5.24348188e+1, 1.35246436e+1, 217974, 5
5.24350214e+1, 1.35243531e+1, 222976, 5
5.24352312e+1, 1.35240221e+1, 227975, 5
5.24353945e+1, 1.35237534e+1, 232992, 5
5.24355649e+1, 1.3523532e+1, 237973, 5
5.2435668e+1, 1.35233925e+1, 242975, 5
5.24356527e+1, 1.35233005e+1, 247995, 5
5.24356663e+1, 1.3523263e+1, 252983, 5
5.24357007e+1, 1.3523214e+1, 257975, 5
5.24357188e+1, 1.35231493e+1, 262967, 5
5.24357846e+1, 1.35230362e+1, 267966, 5
5.24358597e+1, 1.3522913e+1, 272986, 5
5.24359705e+1, 1.35227555e+1, 277989, 5
5.24360935e+1, 1.3522555e+1, 282977, 5
5.2436201e+1, 1.35224115e+1, 287972, 5
5.24363555e+1, 1.35225193e+1, 292988, 5
5.2436538e+1, 1.35224712e+1, 297981, 5
5.24366975e+1, 1.35224277e+1, 302974, 2
5.24368888e+1, 1.35223797e+1, 307980, 2
5.24370916e+1, 1.35223328e+1, 312976, 2
5.24372777e+1, 1.35222902e+1, 317981, 2
5.24374702e+1, 1.35222386e+1, 322982, 2
5.24376983e+1, 1.35221876e+1, 327987, 2
5.24379294e+1, 1.35221301e+1, 332976, 2
5.24381071e+1, 1.35221214e+1, 337978, 2
5.24381613e+1, 1.35223277e+1, 342982, 3
5.24381496e+1, 1.35227221e+1, 347985, 5
5.24381574e+1, 1.35231651e+1, 352990, 5
5.24381569e+1, 1.35236636e+1, 357968, 5
5.24381586e+1, 1.35242487e+1, 362946, 5
5.24381572e+1, 1.35247665e+1, 367972, 5
5.24381609e+1, 1.35252556e+1, 372972, 5
5.2438162e+1, 1.35257319e+1, 377961, 5
5.24381611e+1, 1.35261424e+1, 383001, 5
5.24380966e+1, 1.35262829e+1, 387965, 5
5.24380056e+1, 1.35264698e+1, 392992, 5
5.24378856e+1, 1.35266406e+1, 397937, 5
5.24378464e+1, 1.35266933e+1, 402982, 4
5.24378431e+1, 1.3526704e+1, 407986, 4
5.24378428e+1, 1.3526705e+1, 412971, 4
5.24378428e+1, 1.3526705e+1, 417971, 4
5.24378317e+1, 1.35267137e+1, 422983, 4
5.2437733e+1, 1.35268398e+1, 427980, 4
5.24376189e+1, 1.35270184e+1, 432975, 4
5.24374967e+1, 1.35271818e+1, 437987, 4
5.24373196e+1, 1.35273237e+1, 442993, 4
5.24370846e+1, 1.35276683e+1, 447997, 4
5.24368813e+1, 1.35279887e+1, 452982, 4
5.24367209e+1, 1.35282539e+1, 457961, 4
5.24365457e+1, 1.35285347e+1, 462979, 4
5.24363732e+1, 1.35287564e+1, 467976, 4
5.24362053e+1, 1.35290269e+1, 472967, 4
5.24360253e+1, 1.35293082e+1, 477958, 4
5.24358626e+1, 1.35295592e+1, 482993, 4
5.24357349e+1, 1.35297511e+1, 487994, 4
5.24356314e+1, 1.35296896e+1, 492990, 4
5.24355244e+1, 1.35294861e+1, 497979, 3
5.24353613e+1, 1.3529248e+1, 502979, 3
5.24352439e+1, 1.35289813e+1, 508000, 3
5.24351689e+1, 1.35288209e+1, 512981, 3
5.24350337e+1, 1.35287592e+1, 517987, 3
5.24348561e+1, 1.35289096e+1, 522989, 4
5.24347295e+1, 1.3529163e+1, 527941, 4
5.2434609e+1, 1.35293374e+1, 532606, 4
5.24345119e+1, 1.35295242e+1, 537160, 3
5.24343112e+1, 1.35297131e+1, 542044, 3
5.24341629e+1, 1.35300562e+1, 546688, 3
