b66f9, audio, south_route
5.24298298e+1, 1.35309494e+1, 2962, 4
5.24298318e+1, 1.35309698e+1, 7945, 4
5.24298631e+1, 1.35309765e+1, 12849, 4
5.24298829e+1, 1.3530962e+1, 17899, 4
5.24299024e+1, 1.35309526e+1, 22894, 4
5.24298905e+1, 1.35309386e+1, 27903, 4
5.24298996e+1, 1.35309462e+1, 32904, 4
5.24299077e+1, 1.35309675e+1, 37906, 4
5.24299092e+1, 1.35309524e+1, 42910, 4
5.24299339e+1, 1.35309856e+1, 47890, 4
5.24299352e+1, 1.35310133e+1, 52899, 4
5.24298333e+1, 1.35311739e+1, 57917, 4
5.24297866e+1, 1.35312268e+1, 62923, 4
5.24297726e+1, 1.35312097e+1, 67909, 4
5.24297681e+1, 1.35312247e+1, 72911, 4
5.24297634e+1, 1.35312299e+1, 77891, 4
5.24296904e+1, 1.35313794e+1, 82894, 4
5.24295623e+1, 1.35315276e+1, 87909, 4
5.24294445e+1, 1.35317495e+1, 92908, 4
5.24292727e+1, 1.35319787e+1, 97898, 4
5.24290147e+1, 1.35322614e+1, 102924, 4
5.24288395e+1, 1.35325815e+1, 107888, 4
5.24286629e+1, 1.35328793e+1, 112924, 4
5.24284482e+1, 1.35332072e+1, 117897, 4
5.24282097e+1, 1.35335562e+1, 122893, 4
5.24279897e+1, 1.35338693e+1, 127909, 4
5.24278082e+1, 1.35341624e+1, 132895, 4
5.24276106e+1, 1.35344111e+1, 137909, 4
5.24274264e+1, 1.35346869e+1, 142912, 4
5.2427261e+1, 1.35349649e+1, 147897, 4
5.24271595e+1, 1.35352942e+1, 152905, 4
5.2427363e+1, 1.35355987e+1, 157904, 4
5.24275678e+1, 1.35359136e+1, 162904, 4
5.24277613e+1, 1.35362323e+1, 167900, 4
5.24279503e+1, 1.35365872e+1, 172905, 4
5.24281478e+1, 1.35369109e+1, 177909, 4
5.24283405e+1, 1.35372185e+1, 182889, 4
5.2428528e+1, 1.35375394e+1, 187909, 4
5.24287119e+1, 1.35378521e+1, 192885, 4
5.24288695e+1, 1.35381654e+1, 197891, 4
5.24290079e+1, 1.3538435e+1, 202886, 3
5.24292047e+1, 1.35387035e+1, 207896, 3
5.24293909e+1, 1.35389814e+1, 212905, 3
5.24295864e+1, 1.353932e+1, 217902, 3
5.24298159e+1, 1.35396756e+1, 222903, 3
5.24300358e+1, 1.35400215e+1, 227915, 3
5.24302466e+1, 1.35403254e+1, 232891, 3
5.24303665e+1, 1.3540576e+1, 237924, 3
5.24304048e+1, 1.35406438e+1, 242898, 3
5.24304005e+1, 1.35406392e+1, 247904, 3
5.24304002e+1, 1.35406388e+1, 252914, 3
5.24304002e+1, 1.35406388e+1, 257901, 3
5.24304002e+1, 1.35406388e+1, 262915, 3
5.24303937e+1, 1.35406338e+1, 267900, 3
5.24304954e+1, 1.35406439e+1, 272908, 3
5.24306371e+1, 1.35404354e+1, 277903, 3
5.24308032e+1, 1.35402258e+1, 282903, 3
5.24309755e+1, 1.3539952e+1, 287920, 3
5.24311379e+1, 1.35396468e+1, 292919, 3
5.2431319e+1, 1.35393413e+1, 297940, 3
5.24314579e+1, 1.35391107e+1, 302925, 3
5.24315748e+1, 1.35389311e+1, 307917, 3
5.24316703e+1, 1.3538695e+1, 312901, 3
5.24318316e+1, 1.35384189e+1, 317929, 3
5.24319922e+1, 1.35381563e+1, 322913, 3
5.24321812e+1, 1.35379205e+1, 327920, 4
5.24323473e+1, 1.35376588e+1, 332911, 4
5.24325317e+1, 1.35373985e+1, 337903, 4
5.24326851e+1, 1.35371155e+1, 342761, 4
5.24328402e+1, 1.35368621e+1, 347820, 4
5.24329444e+1, 1.35366191e+1, 352861, 4
5.24329088e+1, 1.35365811e+1, 357917, 4
5.24329024e+1, 1.35366447e+1, 362920, 4
5.24329011e+1, 1.35366419e+1, 367909, 4
5.24328935e+1, 1.35366503e+1, 372888, 4
5.24328929e+1, 1.35366511e+1, 377911, 4
5.24328884e+1, 1.35366335e+1, 382902, 4
5.24328919e+1, 1.35366209e+1, 387900, 4
5.24328597e+1, 1.35366343e+1, 392819, 4
5.2432899e+1, 1.3536506e+1, 397903, 4
5.24330358e+1, 1.3536199e+1, 402908, 4
5.2432954e+1, 1.35358545e+1, 407911, 3
5.24327632e+1, 1.35356039e+1, 412935, 3
5.24326427e+1, 1.35353761e+1, 417925, 3
5.24325657e+1, 1.35351962e+1, 422936, 3
5.2432492e+1, 1.35350306e+1, 427871, 3
5.24326296e+1, 1.35348372e+1, 432922, 3
5.24328051e+1, 1.35346329e+1, 437906, 3
5.24329814e+1, 1.35343649e+1, 442937, 3
5.24331248e+1, 1.35341056e+1, 447923, 3
5.24332721e+1, 1.35338295e+1, 452920, 3
5.24334406e+1, 1.35335762e+1, 457938, 3
5.24336207e+1, 1.35332975e+1, 462908, 3
5.24337379e+1, 1.35331345e+1, 467916, 3
5.24337421e+1, 1.35331183e+1, 472898, 3
5.24337172e+1, 1.35330129e+1, 477928, 3
5.24335853e+1, 1.35327579e+1, 482909, 3
5.2433418e+1, 1.35324861e+1, 487896, 4
5.24332593e+1, 1.35322207e+1, 492929, 4
5.24331041e+1, 1.35319431e+1, 497906, 4
5.24331148e+1, 1.35317237e+1, 502909, 4
5.24332835e+1, 1.35315003e+1, 507924, 4
5.24333939e+1, 1.3531317e+1, 512924, 4
5.24332646e+1, 1.35311322e+1, 517921, 4
5.24331243e+1, 1.35308893e+1, 522923, 2
5.24329707e+1, 1.35306195e+1, 527895, 2
5.24328156e+1, 1.35303632e+1, 532920, 2
5.24326725e+1, 1.35300692e+1, 537932, 2
5.24325926e+1, 1.35299374e+1, 542898, 2
5.24324872e+1, 1.35300135e+1, 547941, 4
5.24323514e+1, 1.35302493e+1, 552941, 4
5.24321966e+1, 1.35304966e+1, 557921, 4
5.24320184e+1, 1.35304409e+1, 562915, 4
5.24318673e+1, 1.35301746e+1, 567911, 4
5.24317186e+1, 1.35298997e+1, 572917, 4
5.24315901e+1, 1.35296778e+1, 577916, 2
5.24315194e+1, 1.35295509e+1, 582916, 4
5.24314484e+1, 1.35297287e+1, 587926, 4
5.24312553e+1, 1.35299023e+1, 592925, 4
5.24311901e+1, 1.35299989e+1, 597918, 4
5.24310544e+1, 1.35302405e+1, 602910, 4
5.24308809e+1, 1.35305049e+1, 607952, 4
5.2430715e+1, 1.3530774e+1, 612942, 4
5.24305888e+1, 1.3530986e+1, 617924, 4
5.24305034e+1, 1.35310429e+1, 622931, 4
5.243043e+1, 1.35310763e+1, 627914, 4
