9cf91, mapping, south_route
5.24298937e+1, 1.35309773e+1, 4786, 4
5.24298948e+1, 1.35309815e+1, 9775, 4
5.24298932e+1, 1.35309934e+1, 14778, 4
5.2429889e+1, 1.3530996e+1, 19781, 4
5.24298978e+1, 1.35310021e+1, 24777, 4
5.24298976e+1, 1.35309999e+1, 29769, 4
5.24299046e+1, 1.35309952e+1, 34771, 4
5.24299096e+1, 1.35310181e+1, 39776, 4
5.24297672e+1, 1.35312092e+1, 44770, 4
5.24295597e+1, 1.353148e+1, 49784, 4
5.24293857e+1, 1.35317769e+1, 54784, 4
5.24291889e+1, 1.35320508e+1, 59764, 4
5.24289649e+1, 1.3532322e+1, 64766, 4
5.24288056e+1, 1.35325989e+1, 69779, 4
5.24286448e+1, 1.35328823e+1, 74770, 4
5.24284508e+1, 1.35332132e+1, 79768, 4
5.24282657e+1, 1.35335258e+1, 84766, 4
5.24280698e+1, 1.35338005e+1, 89771, 4
5.24279001e+1, 1.35340076e+1, 94792, 4
5.24277397e+1, 1.35342017e+1, 99772, 4
5.24275667e+1, 1.3534447e+1, 104774, 4
5.24273816e+1, 1.35347365e+1, 109794, 4
5.24272216e+1, 1.35349968e+1, 114820, 4
5.24271461e+1, 1.35352294e+1, 119774, 4
5.24273346e+1, 1.35355224e+1, 124780, 4
5.24275136e+1, 1.35358295e+1, 129789, 4
5.2427694e+1, 1.35361201e+1, 134789, 4
5.24278767e+1, 1.35364298e+1, 139773, 4
5.24280588e+1, 1.35367398e+1, 144766, 4
5.24282487e+1, 1.35370395e+1, 149771, 4
5.24284406e+1, 1.35373609e+1, 154771, 4
5.24285939e+1, 1.35376902e+1, 159768, 4
5.24287724e+1, 1.35380217e+1, 164775, 4
5.24289641e+1, 1.35382926e+1, 169770, 4
5.24291482e+1, 1.35385995e+1, 174768, 4
5.24293429e+1, 1.35389072e+1, 179752, 4
5.24295378e+1, 1.35392323e+1, 184779, 4
5.24297131e+1, 1.35395476e+1, 189776, 4
5.24299131e+1, 1.3539863e+1, 194770, 4
5.24301094e+1, 1.35401621e+1, 199776, 4
5.24302935e+1, 1.35404438e+1, 204777, 4
5.24304066e+1, 1.35406079e+1, 209793, 4
5.24305499e+1, 1.35405828e+1, 214777, 3
5.24307181e+1, 1.35402811e+1, 219791, 3
5.24308882e+1, 1.35400554e+1, 224774, 3
5.24310453e+1, 1.35397457e+1, 229774, 3
5.2431223e+1, 1.35394417e+1, 234811, 3
5.24314054e+1, 1.35391245e+1, 239764, 3
