6d18a, device, east_route
5.24299937e+1, 1.35310099e+1, 4458, 3
5.2429989e+1, 1.35310278e+1, 9463, 3
5.24299907e+1, 1.35310274e+1, 14062, 3
5.24299956e+1, 1.35310252e+1, 18726, 3
5.24302003e+1, 1.35314165e+1, 24157, 3
5.24303181e+1, 1.35317288e+1, 29223, 3
5.24305443e+1, 1.35323286e+1, 34470, 3
5.24306901e+1, 1.35327203e+1, 39470, 3
5.24307998e+1, 1.35330422e+1, 44463, 3
5.24309413e+1, 1.35333864e+1, 49455, 3
5.24311229e+1, 1.35337273e+1, 54467, 3
5.24313284e+1, 1.35340337e+1, 59467, 4
5.24315249e+1, 1.35343414e+1, 64462, 4
5.24317273e+1, 1.35346379e+1, 69449, 4
5.24318936e+1, 1.35349172e+1, 74472, 3
5.24320516e+1, 1.35351369e+1, 79459, 3
5.24321262e+1, 1.35352154e+1, 84468, 4
5.24321033e+1, 1.35352218e+1, 89474, 4
5.24321272e+1, 1.35352974e+1, 94473, 4
5.24322689e+1, 1.35355808e+1, 99466, 4
5.24324659e+1, 1.35358695e+1, 104468, 4
5.24326533e+1, 1.35361311e+1, 109466, 4
5.24328053e+1, 1.35363635e+1, 114472, 4
5.24328397e+1, 1.35363449e+1, 119469, 4
5.24328403e+1, 1.35363371e+1, 124485, 4
5.24329025e+1, 1.3536259e+1, 129460, 3
5.24329243e+1, 1.35362113e+1, 134464, 3
5.2432923e+1, 1.35362122e+1, 139477, 3
5.24329229e+1, 1.35362122e+1, 144464, 3
5.24329229e+1, 1.35362122e+1, 149466, 3
5.24329229e+1, 1.35362122e+1, 154465, 3
5.24328866e+1, 1.35362458e+1, 159455, 3
5.24328852e+1, 1.35362471e+1, 164453, 3
5.24328592e+1, 1.3536286e+1, 169452, 3
5.24328344e+1, 1.35363386e+1, 174454, 3
5.24328559e+1, 1.35363158e+1, 179502, 3
5.24329194e+1, 1.35361966e+1, 184513, 3
5.24329782e+1, 1.3536104e+1, 189495, 3
5.2432983e+1, 1.35360826e+1, 193947, 3
5.24329783e+1, 1.35361871e+1, 199045, 3
5.24333104e+1, 1.35364626e+1, 203821, 3
5.24334202e+1, 1.35366594e+1, 209526, 3
5.24334289e+1, 1.35364172e+1, 214435, 4
5.24336225e+1, 1.35362059e+1, 219538, 4
5.24336408e+1, 1.35358421e+1, 224513, 4
5.24339219e+1, 1.3535692e+1, 229559, 4
5.24339955e+1, 1.35356551e+1, 234516, 4
5.24340008e+1, 1.35355849e+1, 239097, 4
5.24340977e+1, 1.35353874e+1, 243604, 4
5.24342281e+1, 1.35351457e+1, 248221, 3
5.24344195e+1, 1.35349363e+1, 254474, 2
5.2434524e+1, 1.35347523e+1, 259464, 2
5.24346283e+1, 1.35346943e+1, 264476, 2
5.24346863e+1, 1.35346022e+1, 269464, 2
5.24346874e+1, 1.35345874e+1, 274478, 2
5.24346635e+1, 1.35346489e+1, 279465, 2
5.24347647e+1, 1.35348753e+1, 284481, 4
5.24349248e+1, 1.35351365e+1, 289460, 4
5.24350744e+1, 1.35354072e+1, 294487, 4
5.24352101e+1, 1.35356386e+1, 299475, 4
5.24352492e+1, 1.35357612e+1, 304490, 4
5.24352535e+1, 1.35357637e+1, 309479, 4
5.243524e+1, 1.35356101e+1, 314471, 4
5.24352033e+1, 1.35355275e+1, 319472, 4
5.24352159e+1, 1.35354532e+1, 324466, 4
5.24353304e+1, 1.35352745e+1, 329468, 4
5.24354767e+1, 1.3535034e+1, 334489, 4
5.24356252e+1, 1.35348131e+1, 339494, 4
5.24357591e+1, 1.35345887e+1, 344474, 4
5.24357555e+1, 1.3534342e+1, 349473, 4
5.24355879e+1, 1.35340648e+1, 354457, 4
5.24356339e+1, 1.35338261e+1, 359472, 4
5.24357515e+1, 1.3533697e+1, 364467, 4
5.24356608e+1, 1.35335173e+1, 369487, 4
5.2435531e+1, 1.35333091e+1, 374501, 4
5.24354083e+1, 1.35331132e+1, 379482, 4
5.24354458e+1, 1.35329896e+1, 384451, 4
5.24353177e+1, 1.35327144e+1, 389470, 4
5.24351613e+1, 1.35324475e+1, 394475, 4
5.24349891e+1, 1.35321643e+1, 399488, 4
5.24348286e+1, 1.35318897e+1, 404481, 4
5.24346867e+1, 1.35316577e+1, 409483, 4
5.24345948e+1, 1.353148e+1, 414469, 4
5.24344603e+1, 1.35312433e+1, 419481, 4
5.24343811e+1, 1.35311356e+1, 424476, 4
5.2434293e+1, 1.3530997e+1, 429468, 4
5.24341385e+1, 1.3530682e+1, 434481, 4
5.24339634e+1, 1.35304153e+1, 439483, 4
5.24338069e+1, 1.35301433e+1, 444483, 4
5.243366e+1, 1.35298979e+1, 449265, 4
5.24335e+1, 1.35296394e+1, 453964, 4
5.24333303e+1, 1.35293042e+1, 459480, 4
5.24332778e+1, 1.35294806e+1, 464080, 4
5.24330338e+1, 1.35287894e+1, 469413, 4
5.24328856e+1, 1.35285128e+1, 474459, 4
5.24327924e+1, 1.35284096e+1, 479055, 4
5.24325136e+1, 1.35279116e+1, 484202, 4
5.24323755e+1, 1.35276024e+1, 489199, 4
5.24322119e+1, 1.3527367e+1, 494497, 4
5.24320784e+1, 1.35270982e+1, 498918, 4
5.24319076e+1, 1.35271064e+1, 504001, 4
5.24317317e+1, 1.35272001e+1, 508912, 4
5.24315674e+1, 1.3527596e+1, 513997, 5
5.24311477e+1, 1.35278885e+1, 519449, 5
5.24309086e+1, 1.35280847e+1, 524462, 5
5.24306633e+1, 1.3528294e+1, 529461, 5
5.24304695e+1, 1.35284534e+1, 534464, 4
5.24303608e+1, 1.35285239e+1, 538831, 4
5.24304134e+1, 1.35290592e+1, 543717, 4
5.24304412e+1, 1.35294772e+1, 549084, 4
5.24304065e+1, 1.35300039e+1, 554484, 4
5.24303968e+1, 1.35304207e+1, 559487, 4
5.24304108e+1, 1.35307751e+1, 564475, 4
5.24304693e+1, 1.35309526e+1, 569463, 4
5.24304633e+1, 1.35309562e+1, 574476, 4
