dcf45, audio, north_route
5.24304918e+1, 1.35309626e+1, 4167, 4
5.24304918e+1, 1.35309626e+1, 9198, 4
5.24304918e+1, 1.35309626e+1, 14192, 4
5.24304918e+1, 1.35309626e+1, 19195, 4
5.24304918e+1, 1.35309626e+1, 24188, 4
5.24304918e+1, 1.35309626e+1, 29166, 4
5.24304918e+1, 1.35309626e+1, 34201, 4
5.24304918e+1, 1.35309626e+1, 39184, 4
5.24304918e+1, 1.35309626e+1, 44199, 4
5.24304918e+1, 1.35309626e+1, 49176, 4
5.24304918e+1, 1.35309626e+1, 54204, 4
5.24304917e+1, 1.35309182e+1, 59196, 4
5.24304806e+1, 1.35309104e+1, 64215, 4
5.24304797e+1, 1.35309098e+1, 69160, 4
5.24304797e+1, 1.35309098e+1, 74198, 4
5.24304823e+1, 1.35309214e+1, 79201, 4
5.24306188e+1, 1.35308318e+1, 84173, 4
5.24308061e+1, 1.35305633e+1, 89193, 4
5.24309691e+1, 1.35302982e+1, 94184, 4
5.24311798e+1, 1.35300428e+1, 99156, 4
5.24312776e+1, 1.35297854e+1, 104159, 4
5.24314344e+1, 1.35295515e+1, 109200, 4
5.24316216e+1, 1.35293505e+1, 114157, 4
5.24318161e+1, 1.35291344e+1, 119235, 4
5.24320071e+1, 1.35288837e+1, 124189, 4
5.24321751e+1, 1.35285973e+1, 129187, 4
5.24323633e+1, 1.35283395e+1, 134190, 4
5.24325101e+1, 1.35281761e+1, 139233, 4
5.24325927e+1, 1.35281119e+1, 144195, 4
5.24326275e+1, 1.35280883e+1, 149200, 4
5.24327581e+1, 1.35279386e+1, 154219, 4
5.24329202e+1, 1.35276937e+1, 159219, 4
5.24330352e+1, 1.35274974e+1, 164218, 4
5.24332177e+1, 1.35272555e+1, 169209, 4
5.24333843e+1, 1.35269682e+1, 174212, 4
5.2433553e+1, 1.35266923e+1, 179191, 4
5.2433679e+1, 1.35264413e+1, 184206, 4
5.24338092e+1, 1.35262558e+1, 189192, 4
5.24339454e+1, 1.35259918e+1, 194197, 4
5.24341063e+1, 1.35257088e+1, 199191, 4
5.24342688e+1, 1.35254961e+1, 204220, 4
5.24344469e+1, 1.35254924e+1, 209214, 4
5.24344536e+1, 1.35253574e+1, 214207, 4
5.24344693e+1, 1.35252455e+1, 219206, 4
5.24344388e+1, 1.35251938e+1, 224222, 4
5.24345651e+1, 1.35250612e+1, 229197, 4
5.24347389e+1, 1.35247884e+1, 234218, 4
5.24349234e+1, 1.35245589e+1, 239217, 4
5.24350727e+1, 1.35243502e+1, 244216, 4
5.24352629e+1, 1.35240945e+1, 249184, 4
5.24353928e+1, 1.35238377e+1, 254216, 4
5.24355522e+1, 1.35236397e+1, 259228, 4
5.24356745e+1, 1.35235702e+1, 263923, 4
5.24356712e+1, 1.35233483e+1, 269215, 4
5.24356766e+1, 1.35233145e+1, 274223, 4
5.24356671e+1, 1.35233382e+1, 279214, 4
5.24356669e+1, 1.35233407e+1, 284193, 4
5.24356708e+1, 1.35233226e+1, 289206, 4
5.24356754e+1, 1.3523315e+1, 294202, 4
5.24356839e+1, 1.35232982e+1, 298847, 4
5.24357406e+1, 1.35232554e+1, 303701, 4
5.24359746e+1, 1.3522713e+1, 308321, 4
5.24361404e+1, 1.35225674e+1, 313493, 4
5.24363453e+1, 1.35224825e+1, 318364, 4
5.24364443e+1, 1.35224542e+1, 322962, 3
5.24366577e+1, 1.3522436e+1, 328157, 3
5.24369058e+1, 1.35223918e+1, 332753, 3
5.24373095e+1, 1.3522279e+1, 339195, 3
5.24375416e+1, 1.35222156e+1, 344189, 3
5.24377687e+1, 1.35221595e+1, 349202, 3
5.2437975e+1, 1.35221072e+1, 354262, 3
5.24381515e+1, 1.3522189e+1, 359199, 3
5.24381568e+1, 1.35225318e+1, 364217, 3
5.2438151e+1, 1.35229226e+1, 369211, 4
5.24381449e+1, 1.35232874e+1, 374239, 4
5.24381463e+1, 1.35236973e+1, 379227, 4
5.24381446e+1, 1.35240829e+1, 384190, 4
5.24381482e+1, 1.35244888e+1, 389211, 4
5.24381463e+1, 1.3524899e+1, 394196, 4
5.24381456e+1, 1.35252956e+1, 399201, 4
5.24381485e+1, 1.35256908e+1, 404198, 4
5.24381528e+1, 1.35260711e+1, 409218, 4
5.24380908e+1, 1.35263377e+1, 414229, 4
5.24379448e+1, 1.35265389e+1, 419209, 4
5.24378442e+1, 1.35266564e+1, 424222, 4
5.24378244e+1, 1.35266964e+1, 429240, 4
5.24378266e+1, 1.35266976e+1, 434204, 4
5.24378282e+1, 1.35266957e+1, 439216, 4
5.24378283e+1, 1.35266956e+1, 444199, 4
5.24378283e+1, 1.35266956e+1, 449213, 4
5.24378283e+1, 1.35266956e+1, 454169, 4
5.24378283e+1, 1.35266956e+1, 459210, 4
5.24378283e+1, 1.35266956e+1, 464187, 4
5.24377704e+1, 1.35267714e+1, 469195, 4
