b2477, device, east_route
5.24298914e+1, 1.35309313e+1, 3271, 4
5.24298651e+1, 1.35309341e+1, 8300, 4
5.24298643e+1, 1.35309387e+1, 13288, 4
5.24298792e+1, 1.35309585e+1, 18289, 4
5.24298938e+1, 1.35309559e+1, 23301, 4
5.24298909e+1, 1.35309588e+1, 28300, 4
5.24298842e+1, 1.35309664e+1, 33291, 4
5.24298827e+1, 1.35309685e+1, 38296, 4
5.24298977e+1, 1.35309602e+1, 43287, 4
5.24298992e+1, 1.35309635e+1, 48302, 4
5.24298987e+1, 1.35309624e+1, 53294, 4
5.24299062e+1, 1.35309536e+1, 58293, 4
5.24299167e+1, 1.35309512e+1, 63304, 4
5.24300065e+1, 1.3530999e+1, 68322, 4
5.24300126e+1, 1.35310075e+1, 72989, 4
5.24302511e+1, 1.35315876e+1, 78313, 3
5.24303937e+1, 1.35319155e+1, 83324, 3
5.24305254e+1, 1.35322547e+1, 88318, 2
5.2430587e+1, 1.35324213e+1, 93309, 2
5.24306158e+1, 1.35325054e+1, 98321, 2
5.24306198e+1, 1.35325099e+1, 103305, 2
5.24306508e+1, 1.35325956e+1, 108310, 2
5.24307342e+1, 1.35328547e+1, 113303, 2
5.24308274e+1, 1.35331075e+1, 117707, 2
5.24309388e+1, 1.35333775e+1, 122651, 2
5.24310975e+1, 1.35336087e+1, 127556, 3
5.2431217e+1, 1.35338481e+1, 132261, 3
5.24313818e+1, 1.35341186e+1, 137134, 3
5.24316409e+1, 1.35345131e+1, 143291, 3
5.24318661e+1, 1.35349099e+1, 148290, 3
5.24320432e+1, 1.35351889e+1, 153328, 3
5.24320977e+1, 1.3535254e+1, 158295, 3
5.24320925e+1, 1.35352527e+1, 163259, 3
5.24320888e+1, 1.35352475e+1, 168295, 3
5.2432088e+1, 1.35352464e+1, 173301, 3
5.24321087e+1, 1.3535258e+1, 178291, 3
5.24321153e+1, 1.35352707e+1, 182905, 3
5.24321401e+1, 1.35352805e+1, 187495, 3
5.24326288e+1, 1.35361398e+1, 193298, 3
5.24328684e+1, 1.35365314e+1, 198304, 3
5.24329461e+1, 1.3536692e+1, 203305, 3
5.24329402e+1, 1.35366712e+1, 208287, 3
5.24329241e+1, 1.35366271e+1, 213288, 3
5.24329296e+1, 1.35365723e+1, 218315, 3
5.24330122e+1, 1.35364889e+1, 223310, 2
5.24330983e+1, 1.35363739e+1, 228306, 2
5.24331354e+1, 1.35363215e+1, 233301, 2
5.24332569e+1, 1.35363469e+1, 238277, 2
5.24333274e+1, 1.35364274e+1, 243292, 2
5.24334058e+1, 1.35365517e+1, 248306, 2
5.24334943e+1, 1.35364292e+1, 253304, 3
5.24336256e+1, 1.35362121e+1, 258305, 4
5.24338005e+1, 1.35359535e+1, 263313, 4
5.24339136e+1, 1.3535745e+1, 268314, 4
5.24339717e+1, 1.35356632e+1, 273317, 4
5.24340309e+1, 1.35355172e+1, 278304, 2
5.24341725e+1, 1.35353504e+1, 283329, 1
5.24343008e+1, 1.35351486e+1, 288309, 1
5.24344168e+1, 1.35349766e+1, 293296, 1
5.24345347e+1, 1.35348093e+1, 298304, 1
5.24346175e+1, 1.35347308e+1, 303308, 1
5.24346421e+1, 1.35346846e+1, 308303, 1
5.24347288e+1, 1.35347521e+1, 313297, 1
5.24348545e+1, 1.35350235e+1, 318308, 4
5.24349941e+1, 1.35353382e+1, 323309, 4
5.24351657e+1, 1.35355264e+1, 328316, 4
5.24352613e+1, 1.35354106e+1, 333318, 4
5.24353351e+1, 1.35353031e+1, 338302, 4
5.24354463e+1, 1.35351142e+1, 343308, 3
5.24355909e+1, 1.35348772e+1, 348322, 3
5.24357607e+1, 1.35346541e+1, 353323, 3
5.24357681e+1, 1.35343601e+1, 358330, 3
5.24355916e+1, 1.35341286e+1, 363321, 3
5.24356617e+1, 1.35339404e+1, 368322, 3
5.24357844e+1, 1.35337147e+1, 373260, 3
5.24358161e+1, 1.3533704e+1, 378291, 3
5.24357618e+1, 1.35336691e+1, 383313, 3
5.24356497e+1, 1.35335418e+1, 388310, 3
5.2435536e+1, 1.35333443e+1, 393291, 3
5.24353968e+1, 1.35331728e+1, 398308, 3
5.2435423e+1, 1.35329698e+1, 403270, 3
5.24353188e+1, 1.35327534e+1, 408319, 4
5.24351626e+1, 1.35324794e+1, 413323, 4
5.24349886e+1, 1.3532185e+1, 418314, 4
5.24347897e+1, 1.35318781e+1, 423306, 4
5.24346617e+1, 1.35316511e+1, 428331, 4
5.24345529e+1, 1.35314285e+1, 433320, 4
5.24343656e+1, 1.35310903e+1, 438279, 4
5.24341464e+1, 1.35307141e+1, 443260, 4
5.24339457e+1, 1.35304105e+1, 448287, 4
5.24337352e+1, 1.35300572e+1, 453319, 4
5.24335213e+1, 1.35296763e+1, 458315, 4
5.24333041e+1, 1.35293088e+1, 463269, 4
5.243311e+1, 1.35289824e+1, 468283, 4
5.24329046e+1, 1.35286203e+1, 473301, 4
5.24327117e+1, 1.35283106e+1, 478307, 3
5.24325462e+1, 1.35280142e+1, 483306, 3
5.24323792e+1, 1.35277341e+1, 488266, 3
5.24323589e+1, 1.35277291e+1, 493196, 3
5.24321173e+1, 1.35272016e+1, 497715, 3
5.24320781e+1, 1.35270727e+1, 502282, 3
5.24318862e+1, 1.35271354e+1, 507011, 3
5.2431546e+1, 1.35274155e+1, 513304, 3
5.24313233e+1, 1.35276616e+1, 518313, 3
5.24310707e+1, 1.3527917e+1, 523305, 3
5.24308185e+1, 1.35281356e+1, 528293, 3
5.24305706e+1, 1.35283431e+1, 533315, 3
5.24303923e+1, 1.35285467e+1, 538305, 3
5.24303853e+1, 1.35289567e+1, 543301, 4
5.24303949e+1, 1.35293892e+1, 548297, 4
5.24303841e+1, 1.35298523e+1, 553321, 4
5.24303715e+1, 1.35303236e+1, 558306, 4
5.24303827e+1, 1.35307298e+1, 563330, 4
5.24305088e+1, 1.35309669e+1, 568298, 4
5.24305101e+1, 1.35309795e+1, 573335, 4
