941b7, mapping, south_route
5.24298572e+1, 1.35309291e+1, 2849, 4
5.24298572e+1, 1.35309291e+1, 7877, 4
5.24298572e+1, 1.35309291e+1, 12892, 4
5.24298572e+1, 1.35309291e+1, 17886, 4
5.24298572e+1, 1.35309291e+1, 22881, 4
5.24298572e+1, 1.35309291e+1, 27849, 4
5.24298418e+1, 1.35309324e+1, 32885, 4
5.24298465e+1, 1.35309538e+1, 37886, 4
5.24298903e+1, 1.35309942e+1, 42874, 4
5.24298899e+1, 1.35310039e+1, 47878, 4
5.24298941e+1, 1.3531032e+1, 52866, 4
5.24297906e+1, 1.35311947e+1, 57893, 4
5.24296618e+1, 1.35314163e+1, 62888, 4
5.24294679e+1, 1.35316734e+1, 67896, 4
5.2429222e+1, 1.35320057e+1, 72901, 4
5.24289882e+1, 1.35323105e+1, 77889, 4
5.24288389e+1, 1.3532557e+1, 82911, 4
5.24287255e+1, 1.35327543e+1, 87902, 4
5.2428562e+1, 1.35329825e+1, 92899, 4
5.24283976e+1, 1.35332817e+1, 97903, 4
5.24282219e+1, 1.35335965e+1, 102907, 4
5.24279717e+1, 1.35338901e+1, 107897, 4
5.24277692e+1, 1.353417e+1, 112890, 4
5.24275806e+1, 1.35344305e+1, 117904, 4
5.24273878e+1, 1.35347209e+1, 122888, 4
5.2427189e+1, 1.35350134e+1, 127889, 4
5.24272406e+1, 1.35354083e+1, 132898, 4
5.24274699e+1, 1.35357462e+1, 137888, 4
5.24276642e+1, 1.35360935e+1, 142896, 4
5.24278692e+1, 1.35364589e+1, 147887, 4
5.24280961e+1, 1.35368426e+1, 152906, 4
5.24283588e+1, 1.35372557e+1, 157901, 4
5.24285905e+1, 1.35376158e+1, 162878, 4
5.24287646e+1, 1.35379776e+1, 167879, 4
5.24288358e+1, 1.35381301e+1, 172913, 4
5.24288712e+1, 1.35381782e+1, 177892, 4
5.24289746e+1, 1.35383225e+1, 182885, 4
5.24290489e+1, 1.35384659e+1, 187902, 4
5.24291819e+1, 1.35386537e+1, 192887, 4
5.24293313e+1, 1.35388907e+1, 197898, 4
5.24294973e+1, 1.35391532e+1, 202905, 4
5.24296425e+1, 1.3539409e+1, 207891, 4
5.24298001e+1, 1.35396958e+1, 212905, 4
5.24299959e+1, 1.35399799e+1, 217903, 4
5.24301907e+1, 1.35402888e+1, 222896, 4
5.24303549e+1, 1.35405167e+1, 227937, 2
5.24304479e+1, 1.35406727e+1, 232906, 2
5.24305762e+1, 1.35404876e+1, 237906, 2
5.24307342e+1, 1.35401716e+1, 242920, 2
5.24309544e+1, 1.35398843e+1, 247916, 2
5.24311424e+1, 1.3539554e+1, 252893, 3
5.24313319e+1, 1.35392337e+1, 257890, 3
5.24315115e+1, 1.35389177e+1, 262885, 3
5.24316993e+1, 1.3538647e+1, 267899, 3
5.24318763e+1, 1.35383442e+1, 272869, 3
5.24320279e+1, 1.35380545e+1, 277903, 3
5.24321408e+1, 1.35378829e+1, 282893, 3
5.24323273e+1, 1.35375848e+1, 287892, 3
5.24325155e+1, 1.35372725e+1, 292928, 3
5.24326788e+1, 1.35369896e+1, 297884, 3
5.24327469e+1, 1.3536944e+1, 302752, 3
5.24329093e+1, 1.35365565e+1, 307913, 3
5.2432916e+1, 1.35365417e+1, 312903, 3
5.24328471e+1, 1.35366039e+1, 317908, 3
5.24328576e+1, 1.3536606e+1, 322686, 3
5.24329426e+1, 1.35365347e+1, 327772, 3
5.24329736e+1, 1.35361512e+1, 332892, 3
5.24327485e+1, 1.35356291e+1, 337910, 3
5.24325453e+1, 1.35352636e+1, 342922, 3
5.24324373e+1, 1.35350238e+1, 347910, 4
5.24326064e+1, 1.35347853e+1, 352908, 4
5.24328231e+1, 1.35345093e+1, 357900, 4
5.24330354e+1, 1.35342136e+1, 362914, 4
5.24332173e+1, 1.35339076e+1, 367895, 4
5.24334198e+1, 1.35335936e+1, 372891, 4
5.24336184e+1, 1.35332725e+1, 377892, 4
5.24337112e+1, 1.35329428e+1, 382892, 4
5.2433492e+1, 1.35325751e+1, 387898, 4
5.24333008e+1, 1.35322913e+1, 392890, 4
5.24331279e+1, 1.35319869e+1, 397890, 4
5.24331311e+1, 1.35316696e+1, 402914, 4
5.24333261e+1, 1.35314328e+1, 407913, 4
5.2433347e+1, 1.35311987e+1, 412905, 3
5.24331914e+1, 1.3530943e+1, 417890, 3
5.24330123e+1, 1.35306547e+1, 422909, 3
5.24328308e+1, 1.35303627e+1, 427928, 3
5.24326769e+1, 1.35300774e+1, 432910, 3
5.24326394e+1, 1.35300117e+1, 437891, 3
5.24325941e+1, 1.35299533e+1, 442894, 4
5.24324619e+1, 1.35300134e+1, 447900, 4
5.24323042e+1, 1.3530287e+1, 452922, 4
5.24321541e+1, 1.35305142e+1, 457904, 3
5.24320092e+1, 1.35303786e+1, 462899, 3
5.24318649e+1, 1.35301e+1, 467924, 3
5.24317039e+1, 1.35298432e+1, 472920, 2
5.24315674e+1, 1.35295964e+1, 477893, 2
5.24314381e+1, 1.35294916e+1, 482914, 4
5.2431292e+1, 1.35297384e+1, 487916, 4
5.24311513e+1, 1.35299567e+1, 492906, 4
5.24309903e+1, 1.35302137e+1, 497913, 4
5.24307917e+1, 1.35305181e+1, 502928, 4
5.24306391e+1, 1.35307895e+1, 507917, 4
5.24304902e+1, 1.35309787e+1, 512912, 4
5.24304098e+1, 1.35310631e+1, 517895, 4
5.24304089e+1, 1.35310496e+1, 522919, 4
