513fb, audio, north_route
5.24304222e+1, 1.35310457e+1, 43, 4
5.24304233e+1, 1.35310439e+1, 5040, 4
5.24304234e+1, 1.35310437e+1, 10016, 4
5.24304234e+1, 1.35310437e+1, 15027, 4
5.24304234e+1, 1.35310437e+1, 20033, 4
5.24304234e+1, 1.35310437e+1, 25035, 4
5.24304234e+1, 1.35310437e+1, 30032, 4
5.24304234e+1, 1.35310437e+1, 35024, 4
5.24304234e+1, 1.35310437e+1, 40027, 4
5.24304234e+1, 1.35310437e+1, 44994, 4
5.24304234e+1, 1.35310437e+1, 50032, 4
5.24304234e+1, 1.35310437e+1, 55032, 4
5.24304234e+1, 1.35310437e+1, 60038, 4
5.24304234e+1, 1.35310437e+1, 65028, 4
5.24304234e+1, 1.35310437e+1, 70033, 4
5.24304234e+1, 1.35310437e+1, 75046, 4
5.24304234e+1, 1.35310437e+1, 80046, 4
5.24304381e+1, 1.35310646e+1, 85032, 4
5.24304454e+1, 1.35310439e+1, 90047, 4
5.24304646e+1, 1.35310046e+1, 95045, 4
5.24304851e+1, 1.35309703e+1, 100034, 4
5.24304791e+1, 1.35309933e+1, 105048, 4
5.24305521e+1, 1.35308944e+1, 109982, 4
5.24309106e+1, 1.35304618e+1, 115047, 4
5.2431121e+1, 1.35302436e+1, 120072, 4
5.24312281e+1, 1.35300216e+1, 124582, 4
5.24313819e+1, 1.3529775e+1, 129486, 4
5.24315074e+1, 1.35295859e+1, 134506, 3
5.24316842e+1, 1.35293583e+1, 139447, 3
5.24318478e+1, 1.35291245e+1, 144042, 3
5.24320659e+1, 1.35288046e+1, 150051, 3
5.24322648e+1, 1.35285284e+1, 155022, 3
5.24324514e+1, 1.35282913e+1, 160043, 3
5.24326183e+1, 1.352814e+1, 165052, 3
5.2432663e+1, 1.35280985e+1, 170039, 3
5.24327142e+1, 1.35279144e+1, 175047, 3
5.24328778e+1, 1.3527745e+1, 180034, 3
5.24330086e+1, 1.35274819e+1, 185049, 3
5.24331933e+1, 1.35272256e+1, 190065, 3
5.24333729e+1, 1.35269414e+1, 195048, 3
5.24335345e+1, 1.35266446e+1, 200047, 3
5.24336998e+1, 1.35264045e+1, 205057, 3
5.24337867e+1, 1.35261885e+1, 210039, 3
5.24339441e+1, 1.35259936e+1, 215050, 4
5.2434099e+1, 1.35257294e+1, 220010, 4
5.24342574e+1, 1.35255002e+1, 225042, 4
5.24344107e+1, 1.35254214e+1, 230061, 4
5.24344901e+1, 1.3525381e+1, 235051, 4
5.24344274e+1, 1.35253238e+1, 240048, 4
5.24344737e+1, 1.35252422e+1, 245059, 4
5.24344534e+1, 1.35251736e+1, 250035, 4
5.24345792e+1, 1.35250289e+1, 255053, 4
5.24347328e+1, 1.35247696e+1, 260050, 4
5.24349314e+1, 1.35244961e+1, 265033, 4
5.24351377e+1, 1.3524203e+1, 270052, 4
5.2435354e+1, 1.35238859e+1, 275039, 4
5.24355587e+1, 1.35236315e+1, 280054, 4
5.2435698e+1, 1.35234263e+1, 285058, 4
5.24357105e+1, 1.35233493e+1, 290064, 4
5.24356951e+1, 1.35232384e+1, 295048, 4
5.24357065e+1, 1.35231226e+1, 300059, 4
5.24357962e+1, 1.35230167e+1, 305055, 4
5.24359255e+1, 1.35228087e+1, 310059, 3
5.24360785e+1, 1.35225735e+1, 315046, 3
5.24362217e+1, 1.35224002e+1, 320049, 3
5.24364137e+1, 1.35224982e+1, 325057, 3
5.24366157e+1, 1.35224479e+1, 330047, 3
5.24368355e+1, 1.35223962e+1, 335051, 2
5.24370624e+1, 1.35223421e+1, 340061, 2
5.24372959e+1, 1.35222858e+1, 345055, 2
5.24375401e+1, 1.35222341e+1, 350055, 2
5.24377791e+1, 1.35221671e+1, 355063, 2
5.24379951e+1, 1.35221153e+1, 360061, 2
5.24381547e+1, 1.35221828e+1, 365048, 2
5.24381453e+1, 1.3522476e+1, 370058, 3
5.24381394e+1, 1.35228864e+1, 375049, 3
5.24381429e+1, 1.35232917e+1, 380052, 3
5.24381413e+1, 1.35237108e+1, 385051, 3
5.24381427e+1, 1.3524118e+1, 390044, 3
5.24381454e+1, 1.35245642e+1, 395054, 3
5.24381497e+1, 1.35249977e+1, 400037, 3
5.24381499e+1, 1.35254464e+1, 405056, 3
5.24381534e+1, 1.35258629e+1, 410047, 3
5.24381355e+1, 1.35262373e+1, 415060, 3
5.24379761e+1, 1.35265146e+1, 420050, 3
5.24378421e+1, 1.35266819e+1, 425061, 3
5.24378352e+1, 1.35266817e+1, 430061, 3
5.24378382e+1, 1.35266774e+1, 435064, 3
5.24378384e+1, 1.35266772e+1, 440057, 3
5.24378384e+1, 1.35266772e+1, 445010, 3
