019b1, device, north_route
5.24304618e+1, 1.35310115e+1, 3795, 3
5.24304654e+1, 1.35310126e+1, 8789, 3
5.24304657e+1, 1.35310127e+1, 13758, 3
5.24304657e+1, 1.35310127e+1, 18780, 3
5.24304778e+1, 1.35309917e+1, 23778, 3
5.24305018e+1, 1.35309408e+1, 28777, 5
5.24304574e+1, 1.35309394e+1, 33265, 5
5.24306983e+1, 1.3530698e+1, 38234, 5
5.24308988e+1, 1.35305014e+1, 43176, 5
5.2431022e+1, 1.35303124e+1, 47890, 5
5.2431169e+1, 1.35300496e+1, 52674, 5
5.24312577e+1, 1.3529837e+1, 57204, 4
5.24313714e+1, 1.35296475e+1, 62218, 4
5.24315046e+1, 1.35294495e+1, 67259, 4
5.24316516e+1, 1.3529244e+1, 72102, 4
5.24317823e+1, 1.35290649e+1, 77069, 4
5.2431938e+1, 1.35288598e+1, 81897, 4
5.24320678e+1, 1.35286577e+1, 86472, 4
5.243223e+1, 1.35284409e+1, 91505, 4
5.24323977e+1, 1.35282808e+1, 96902, 4
5.24325971e+1, 1.35280382e+1, 102058, 4
5.24325934e+1, 1.35279718e+1, 106801, 4
5.24327262e+1, 1.35278422e+1, 111745, 4
5.24329084e+1, 1.35276048e+1, 116783, 4
5.24330245e+1, 1.35273584e+1, 121523, 4
5.24331735e+1, 1.35271476e+1, 126180, 4
5.24333065e+1, 1.35269671e+1, 130906, 4
5.24334546e+1, 1.35267168e+1, 135983, 4
5.24335785e+1, 1.35265213e+1, 141306, 4
5.24336897e+1, 1.35263584e+1, 145894, 4
5.24338325e+1, 1.35261547e+1, 150661, 4
5.24339469e+1, 1.35259918e+1, 155295, 4
5.24340882e+1, 1.35257458e+1, 160160, 4
5.24342002e+1, 1.3525546e+1, 164864, 4
5.24343539e+1, 1.35253773e+1, 170684, 5
5.24344813e+1, 1.35253969e+1, 175306, 5
5.24344488e+1, 1.35253233e+1, 180236, 5
5.24344137e+1, 1.35253536e+1, 188785, 4
5.24344122e+1, 1.35253623e+1, 193501, 4
5.24344105e+1, 1.35253639e+1, 198344, 4
5.2434429e+1, 1.35253514e+1, 203390, 4
5.24345053e+1, 1.35252118e+1, 208025, 4
5.24346967e+1, 1.35247433e+1, 213369, 4
5.24347593e+1, 1.35246239e+1, 218220, 4
5.2434902e+1, 1.35244102e+1, 223018, 4
5.24350873e+1, 1.35241929e+1, 228328, 4
5.24352102e+1, 1.3523974e+1, 233192, 4
5.24353748e+1, 1.35237394e+1, 237924, 4
5.24354596e+1, 1.35235638e+1, 243046, 4
5.24356254e+1, 1.35233898e+1, 248068, 4
5.24356621e+1, 1.35232872e+1, 252863, 4
5.24356576e+1, 1.35232644e+1, 258184, 4
5.24357037e+1, 1.35230836e+1, 263046, 4
5.24358114e+1, 1.35229259e+1, 268366, 4
5.24360106e+1, 1.3522712e+1, 273080, 4
5.24361429e+1, 1.35224469e+1, 277938, 4
5.24362315e+1, 1.35224161e+1, 282623, 4
5.24363847e+1, 1.35225143e+1, 287237, 4
5.24365332e+1, 1.35224994e+1, 292040, 3
5.24366928e+1, 1.35224353e+1, 296941, 2
5.24368506e+1, 1.35224104e+1, 301470, 2
5.2437028e+1, 1.35223492e+1, 306122, 2
5.24372013e+1, 1.35223123e+1, 310967, 2
5.24373885e+1, 1.35222545e+1, 315996, 2
5.2437573e+1, 1.35222392e+1, 320508, 2
5.24377675e+1, 1.35221725e+1, 325284, 2
5.24378953e+1, 1.35221287e+1, 330002, 2
5.24380788e+1, 1.35221155e+1, 335567, 2
5.24381511e+1, 1.35222658e+1, 340101, 2
5.24381396e+1, 1.35225621e+1, 345126, 4
5.24381453e+1, 1.35228875e+1, 350384, 4
5.24381332e+1, 1.35231683e+1, 355393, 4
5.24381597e+1, 1.35235156e+1, 360918, 4
5.24381559e+1, 1.35238486e+1, 365749, 4
5.24381484e+1, 1.35241484e+1, 370358, 4
5.24381444e+1, 1.35244784e+1, 375783, 4
5.24381445e+1, 1.35247928e+1, 380365, 4
5.24381598e+1, 1.35250927e+1, 385187, 4
5.24381428e+1, 1.35253795e+1, 389717, 4
5.24381467e+1, 1.35257128e+1, 394664, 4
5.24381564e+1, 1.35259864e+1, 399829, 4
5.24381135e+1, 1.35263154e+1, 404712, 4
5.24379483e+1, 1.35265839e+1, 411990, 4
5.24378229e+1, 1.35267212e+1, 417421, 4
5.24378241e+1, 1.35267161e+1, 422105, 4
5.24378442e+1, 1.35266833e+1, 427388, 4
5.24378369e+1, 1.35266901e+1, 432112, 4
5.24377929e+1, 1.35267231e+1, 437047, 4
5.24374763e+1, 1.35271601e+1, 442342, 4
5.24373105e+1, 1.35273827e+1, 446948, 4
5.24371787e+1, 1.35275883e+1, 451601, 4
5.24370133e+1, 1.35277997e+1, 456419, 4
5.24368478e+1, 1.35280441e+1, 461339, 4
5.24367223e+1, 1.35282485e+1, 465882, 4
5.24365619e+1, 1.35285155e+1, 471287, 4
5.24364366e+1, 1.35286863e+1, 476345, 3
5.24362719e+1, 1.35288567e+1, 481476, 3
5.24361049e+1, 1.35291435e+1, 486380, 3
5.24359686e+1, 1.35293343e+1, 491328, 4
5.24357954e+1, 1.35296316e+1, 496209, 4
5.24356341e+1, 1.352988e+1, 502159, 4
5.24356628e+1, 1.35298306e+1, 507632, 4
5.24356206e+1, 1.35297109e+1, 513668, 4
5.24355707e+1, 1.35296255e+1, 518805, 4
5.24354486e+1, 1.35293147e+1, 523566, 4
5.24352854e+1, 1.35291341e+1, 528808, 4
5.24351992e+1, 1.35289305e+1, 533801, 4
5.24351432e+1, 1.35288441e+1, 538796, 4
5.24350955e+1, 1.35287484e+1, 543705, 4
5.24348853e+1, 1.35288217e+1, 548283, 4
5.24347432e+1, 1.35290252e+1, 553224, 4
5.24346204e+1, 1.35292355e+1, 558627, 4
5.24345225e+1, 1.35293331e+1, 563648, 4
5.24343913e+1, 1.35295381e+1, 568788, 4
5.24342671e+1, 1.35297474e+1, 573794, 3
5.2434135e+1, 1.35299324e+1, 578790, 3
5.24340011e+1, 1.35301752e+1, 583788, 3
5.2433926e+1, 1.35303124e+1, 588795, 3
5.24339318e+1, 1.35303216e+1, 593803, 3
5.24338175e+1, 1.35304798e+1, 598804, 3
5.24336801e+1, 1.35306652e+1, 603813, 3
5.24335499e+1, 1.35308677e+1, 608815, 3
5.24334223e+1, 1.35311363e+1, 613798, 3
5.24332834e+1, 1.35313529e+1, 618793, 3
5.24331656e+1, 1.35315281e+1, 623799, 2
5.24330522e+1, 1.35316908e+1, 628784, 2
5.24329562e+1, 1.35315706e+1, 633805, 2
5.24328687e+1, 1.35315503e+1, 638785, 2
5.24327704e+1, 1.35317215e+1, 643792, 2
5.24326822e+1, 1.35319111e+1, 648782, 2
5.24325786e+1, 1.35320913e+1, 653805, 2
5.24324604e+1, 1.35322772e+1, 658790, 2
5.24323308e+1, 1.35324705e+1, 663812, 2
5.24322188e+1, 1.35326628e+1, 668801, 3
