1e331, mapping, east_route
5.24299882e+1, 1.35310983e+1, 4251, 3
5.24299862e+1, 1.35311221e+1, 9272, 3
5.2429986e+1, 1.3531124e+1, 14294, 3
5.24300077e+1, 1.35311226e+1, 19291, 3
5.24300292e+1, 1.35311387e+1, 24131, 3
5.24301054e+1, 1.35312344e+1, 28688, 3
5.24302738e+1, 1.35316348e+1, 33457, 3
5.24304077e+1, 1.35319693e+1, 39300, 3
5.24305151e+1, 1.35322674e+1, 44279, 3
5.24306078e+1, 1.35325281e+1, 49313, 3
5.24306453e+1, 1.35325984e+1, 54261, 3
5.24306449e+1, 1.35325955e+1, 59292, 3
5.24306449e+1, 1.35325954e+1, 64284, 3
5.24306449e+1, 1.35325954e+1, 69280, 3
5.24306502e+1, 1.3532626e+1, 74277, 3
5.243073e+1, 1.35328504e+1, 79271, 3
5.24308218e+1, 1.35331026e+1, 84321, 3
5.24309213e+1, 1.35333581e+1, 89308, 3
5.24310458e+1, 1.35335985e+1, 94265, 3
5.24312156e+1, 1.35338688e+1, 99279, 3
5.24313935e+1, 1.35341328e+1, 104318, 3
5.24315589e+1, 1.35343966e+1, 109270, 3
5.24317366e+1, 1.35346269e+1, 114283, 3
5.24319192e+1, 1.35348673e+1, 119283, 3
5.24320744e+1, 1.3535142e+1, 124302, 3
5.24322244e+1, 1.35353745e+1, 129342, 3
5.24323397e+1, 1.3535598e+1, 134267, 3
5.24324851e+1, 1.35358244e+1, 139275, 3
5.24326151e+1, 1.35360688e+1, 144333, 3
5.24327619e+1, 1.35362397e+1, 149307, 3
5.24328074e+1, 1.35362861e+1, 154344, 2
5.24328852e+1, 1.35361553e+1, 159289, 2
5.2432933e+1, 1.3536081e+1, 164313, 2
5.24329332e+1, 1.35360735e+1, 169294, 2
5.24329326e+1, 1.3536074e+1, 174281, 2
5.24329151e+1, 1.35360583e+1, 179276, 2
5.24329141e+1, 1.35360562e+1, 184282, 2
5.24329141e+1, 1.35360561e+1, 189286, 2
5.24329842e+1, 1.353599e+1, 194293, 2
5.24330358e+1, 1.35359622e+1, 199297, 2
5.2433043e+1, 1.35359566e+1, 204273, 2
5.24330556e+1, 1.35359247e+1, 209342, 2
5.24330944e+1, 1.3535985e+1, 214287, 2
5.24331625e+1, 1.35361699e+1, 219289, 2
5.24332741e+1, 1.35364112e+1, 224342, 2
5.24333854e+1, 1.35365687e+1, 229331, 2
5.24335089e+1, 1.35363968e+1, 234299, 2
5.24336237e+1, 1.35362028e+1, 239298, 2
5.24337672e+1, 1.35360014e+1, 244301, 2
5.24339035e+1, 1.35358177e+1, 249289, 2
5.24339347e+1, 1.35356524e+1, 254312, 1
5.2433996e+1, 1.35356443e+1, 259342, 1
5.243406e+1, 1.35355063e+1, 264323, 1
5.24341869e+1, 1.35353387e+1, 269298, 1
5.24343104e+1, 1.35351234e+1, 274291, 1
5.24344123e+1, 1.35349296e+1, 279308, 1
5.24345072e+1, 1.35347651e+1, 284330, 1
5.24345977e+1, 1.3534702e+1, 289325, 1
5.24346467e+1, 1.35346113e+1, 294289, 3
5.24346917e+1, 1.35346887e+1, 299337, 3
