4976c, audio, south_route
5.24312831e+1, 1.35331202e+1, 368, 4
5.24297395e+1, 1.35318746e+1, 5410, 4
5.24297741e+1, 1.3531782e+1, 10056, 4
5.24299624e+1, 1.35311413e+1, 15411, 4
5.24299642e+1, 1.35311571e+1, 20441, 4
5.2429968e+1, 1.35311648e+1, 25404, 4
5.24299703e+1, 1.35311695e+1, 30428, 4
5.24299646e+1, 1.35311702e+1, 35419, 4
5.24299658e+1, 1.35311718e+1, 40407, 4
5.24299673e+1, 1.35311741e+1, 45406, 4
5.24295379e+1, 1.35324844e+1, 50394, 4
5.24295465e+1, 1.35324932e+1, 55438, 4
5.24299543e+1, 1.3531222e+1, 60423, 4
5.24299631e+1, 1.35311786e+1, 64986, 4
5.24299534e+1, 1.35311861e+1, 70439, 4
5.24299059e+1, 1.35312207e+1, 75262, 4
5.24296541e+1, 1.35314076e+1, 80430, 4
5.24294113e+1, 1.35316538e+1, 84984, 4
5.24292795e+1, 1.35319028e+1, 89737, 4
5.24291198e+1, 1.35321354e+1, 94461, 4
5.2428974e+1, 1.35323099e+1, 99245, 4
5.24288902e+1, 1.35324342e+1, 104233, 4
5.24286883e+1, 1.35327931e+1, 109096, 4
5.24285289e+1, 1.35330047e+1, 113950, 4
5.24284025e+1, 1.35331978e+1, 118806, 4
5.24282586e+1, 1.3533455e+1, 123591, 4
5.24280841e+1, 1.35336913e+1, 128697, 4
5.24279141e+1, 1.35338836e+1, 133223, 4
5.24277768e+1, 1.35340924e+1, 137819, 4
5.24276116e+1, 1.35343369e+1, 142593, 4
5.24274626e+1, 1.35345782e+1, 147508, 4
5.24273336e+1, 1.35348121e+1, 152357, 4
5.24271769e+1, 1.3535059e+1, 156890, 4
5.24271828e+1, 1.35352814e+1, 161980, 4
5.242732e+1, 1.35355001e+1, 166741, 4
5.24274254e+1, 1.3535659e+1, 171320, 3
5.24275835e+1, 1.35359452e+1, 176565, 3
5.24277213e+1, 1.35362353e+1, 181334, 3
5.24278634e+1, 1.35364535e+1, 186049, 4
5.24280135e+1, 1.35366985e+1, 191430, 4
5.24281831e+1, 1.35369931e+1, 196372, 4
5.2428363e+1, 1.35372576e+1, 201438, 4
5.24284857e+1, 1.35375085e+1, 206361, 4
5.24286217e+1, 1.35377884e+1, 211560, 4
5.24287984e+1, 1.35381396e+1, 217520, 4
5.24289672e+1, 1.35383687e+1, 222595, 4
5.24291167e+1, 1.35385692e+1, 227268, 4
5.24292497e+1, 1.35387898e+1, 232078, 4
5.24294265e+1, 1.3539061e+1, 236975, 4
5.24295176e+1, 1.3539221e+1, 241745, 4
5.24296822e+1, 1.35395288e+1, 246605, 4
5.24298951e+1, 1.3539813e+1, 251716, 4
5.24300319e+1, 1.35400657e+1, 256451, 4
5.24302011e+1, 1.35402901e+1, 261533, 4
5.24303192e+1, 1.35405448e+1, 266336, 4
5.24303642e+1, 1.35405952e+1, 273992, 4
5.24303747e+1, 1.35406108e+1, 278630, 4
5.2430419e+1, 1.35405721e+1, 283657, 3
5.24305307e+1, 1.35404739e+1, 288278, 3
5.24307254e+1, 1.35401555e+1, 293017, 2
5.24309778e+1, 1.3539803e+1, 300446, 3
5.2431128e+1, 1.35395923e+1, 305464, 3
5.24313019e+1, 1.35393357e+1, 310439, 3
5.24314867e+1, 1.35390374e+1, 315431, 3
5.24316379e+1, 1.35387298e+1, 320446, 3
5.24317594e+1, 1.35384477e+1, 325422, 3
5.24318984e+1, 1.35382176e+1, 330410, 3
5.24320622e+1, 1.35379598e+1, 335410, 3
5.24322425e+1, 1.35376538e+1, 340428, 3
5.24324271e+1, 1.35374118e+1, 345429, 3
5.24326332e+1, 1.3537211e+1, 350403, 3
5.24327641e+1, 1.35369048e+1, 355406, 3
5.2432918e+1, 1.3536575e+1, 360419, 3
5.24330491e+1, 1.35362788e+1, 365429, 3
5.24330359e+1, 1.35360615e+1, 370412, 3
5.24328891e+1, 1.35358099e+1, 375405, 3
5.2432732e+1, 1.35355368e+1, 380420, 3
5.24325785e+1, 1.35353e+1, 385424, 3
5.2432449e+1, 1.35350789e+1, 390416, 3
5.24325009e+1, 1.35348401e+1, 395413, 4
5.24326666e+1, 1.3534597e+1, 400486, 4
5.24328961e+1, 1.35343032e+1, 405481, 4
